"County","AdamsCounty","AllenCounty","BartholomewCounty","BentonCounty","BlackfordCounty","BooneCounty","BrownCounty","CarrollCounty","CassCounty","ClarkCounty","ClayCounty","ClintonCounty","CrawfordCounty","DaviessCounty","DearbornCounty","DecaturCounty","DeKalbCounty","DelawareCounty","DuboisCounty","ElkhartCounty","FayetteCounty","FloydCounty","FountainCounty","FranklinCounty","FultonCounty","GibsonCounty","GrantCounty","GreeneCounty","HamiltonCounty","HancockCounty","HarrisonCounty","HendricksCounty","HenryCounty","HowardCounty","HuntingtonCounty","JacksonCounty","JasperCounty","JayCounty","JeffersonCounty","JenningsCounty","JohnsonCounty","KnoxCounty","KosciuskoCounty","LaGrangeCounty","LakeCounty","LaPorteCounty","LawrenceCounty","MadisonCounty","MarionCounty","MarshallCounty","MartinCounty","MiamiCounty","MonroeCounty","MontgomeryCounty","MorganCounty","NewtonCounty","NobleCounty","OhioCounty","OrangeCounty","OwenCounty","ParkeCounty","PerryCounty","PikeCounty","PorterCounty","PoseyCounty","PulaskiCounty","PutnamCounty","RandolphCounty","RipleyCounty","RushCounty","StJosephCounty","ScottCounty","ShelbyCounty","SpencerCounty","StarkeCounty","SteubenCounty","SullivanCounty","SwitzerlandCounty","TippecanoeCounty","TiptonCounty","UnionCounty","VanderburghCounty","VermillionCounty","VigoCounty","WabashCounty","WarrenCounty","WarrickCounty","WashingtonCounty","WayneCounty","WellsCounty","WhiteCounty","WhitleyCounty"
"MadisonCounty",76.2,90.9,91.3,113,43.3,61.4,97.6,83,74.8,152.1,113,58,166.9,163.3,115.2,73.2,107.9,25.8,176.9,113.2,65.4,160.1,107.1,77.2,92.3,210.5,32.9,129.6,27.8,30.2,180.4,70,29.5,51.2,60.8,113.9,129,51.3,119.8,97.6,69.8,187.7,86.7,129.1,169.8,154.1,127.8,10.9,49.5,112.1,154.4,62.5,104.8,85.8,78.7,133.1,110.9,133.9,150.3,110.1,111.1,197.2,182.3,165.2,263.7,106.8,100,45.3,91.5,51.9,139.6,131,49.5,202.1,118.9,126.1,153.1,142.9,83.9,34.5,79.2,233.6,124,130.9,56.8,108.3,216.6,148.9,59.8,78.9,101.4,85.3
"MarionCounty",114.5,130.6,46.4,93.7,82.9,27,52.7,71.9,81.5,107.2,62.8,46.4,122,118.4,98.3,56.3,147.5,63.5,132,160,59,115.2,76.2,70.8,99,160.3,69.1,81,30.8,20,135.6,23.6,48.4,57.9,100.5,69,109.7,89.7,88.8,66.6,24.9,137.5,127.4,168.8,150.5,149.4,82.9,49.5,10.3,118.8,109.5,82.8,59.9,54.9,30.1,113.8,150.6,116.9,105.4,61.5,64.7,152.3,137.4,164,213.5,107.7,54.6,82.4,74.6,41.8,146.3,86.1,32.6,157.2,119.8,165.8,102.9,126,64.6,48.8,74.2,183.4,77.6,80.7,98.8,87.1,171.7,104,64.8,118.6,87.2,125
"MarshallCounty",106.6,68.7,160.6,101.1,99.9,109.9,166.9,64.1,44.6,221.4,174,82.8,233,225.3,203.6,161.7,85.7,119.5,243,42.1,164.3,229.4,121.1,176.2,19.9,271.5,91.3,192.3,97.3,125.4,249.8,129.5,130.8,63.9,70.7,183.2,75.1,130.9,203,180.8,139.1,248.7,24.6,67.7,67.5,42.9,193.9,112.1,118.8,10.9,220.5,47.7,170.9,118.7,141.4,90.3,59.9,222.3,216.4,172.7,154.5,263.3,244.3,54,324.8,44.4,159.5,142.3,179.9,147.1,28.4,200.3,137.9,268.2,31.1,91.8,214.1,231.4,82.9,83.1,179.5,294.6,157.2,191.9,63.7,118,282.7,218.2,170.2,97.4,68.9,45
"MartinCounty",219.5,235.5,88.9,190.7,187.9,123.9,78.6,168.9,175.7,82.4,78.7,143.3,49.5,22.5,139.7,110.4,252.5,168.5,32.2,261.7,147,70.1,135.7,156.7,200.7,69.3,174,40.2,132.5,125,69.5,105.3,153.4,159.7,205.4,60.9,206.6,194.6,92.4,81.8,97.6,38.3,229.1,273.7,247.4,246.3,30.1,154.4,109.5,220.5,9.5,184.5,54.5,116.5,80.7,210.8,255.6,133.6,27,63.8,107.2,73.6,42,260.9,106.7,204.6,90.9,187.3,109.9,139.7,248,70.7,112.5,57.4,216.7,270.7,60.9,122.1,161.5,150.5,162.2,76.5,114,88.8,200.5,151.6,71.9,51.6,169.8,223.5,184.2,229.9
"MiamiCounty",72.4,67.9,124.6,76.3,53.8,73.9,130.9,39.3,19.3,185.4,138,58,197,189.3,167.6,125.6,84.8,69.8,207,75.2,128.3,193.4,96.3,140.1,27.9,235.5,41.7,156.2,61.3,89.3,213.7,93.4,94.2,27.8,39.9,147.2,81.2,78.5,166.9,144.8,103,212.7,48.7,94,114.3,89.7,157.9,62.5,82.8,47.7,184.5,10,134.9,93.8,105.3,85.3,73.6,186.3,180.4,136.7,129.6,227.3,208.2,100.8,288.7,51.3,123.5,92.7,143.9,111.1,75.2,164.3,101.9,232.1,64.3,103.1,178.1,195.3,58,47.1,131.8,258.5,132.3,155.8,20,93.2,246.7,182.2,112.9,62.8,45.8,54.7
"MonroeCounty",169.9,185.9,39.3,141,138.3,74.3,22.1,119.2,126.1,88.2,45.8,93.7,67,63.4,114.4,68.1,202.9,118.8,77,212.1,97.4,87.4,115.3,109,151.1,99.5,124.4,35.4,82.9,75.4,86.8,55.7,103.8,110,155.8,58.7,157,145,89,66.8,48,76.7,179.5,224.1,197.8,196.7,27.9,104.8,59.9,170.9,54.5,134.9,10.4,75,31.1,161.1,205.9,126.6,50.4,24.1,73.8,97.3,82.3,211.3,152.7,155,49.4,137.7,94.8,90.1,198.4,76.2,62.9,102.2,167.1,221.1,56.1,122.3,111.9,100.9,112.6,122.6,86.8,62.4,150.9,132.8,116.7,59.2,120.2,173.9,134.5,180.3
"MontgomeryCounty",150.8,166.9,94,56.3,119.2,25.1,93.4,59,76.5,154.7,56.5,37.5,137.1,112.7,145.9,104,183.8,99.8,134.2,159.9,109.7,162.8,24.3,121.5,98.9,143.4,97.2,79.6,47.2,70.3,183.1,37.5,90.1,72.7,136.8,116.6,76.9,126,136.3,114.2,69.6,120.6,138.5,205.1,117.8,116.7,98,85.8,54.9,118.7,116.5,93.8,75,11.6,64.4,81.1,186.9,164.6,120.5,60,33.6,167.4,131.6,131.2,196.7,84.7,29,118.7,122.3,92.4,146.2,133.6,80.3,159.4,104.3,202.1,86.1,173.7,29.3,63.6,124.9,166.5,44.8,60.1,109.8,41.9,179.7,151.6,115.1,154.8,54.5,144.4
"MorganCounty",143.8,159.8,52.4,111.5,112.2,44.7,34.7,89.7,96.5,113.1,50.5,64.1,93.2,85.5,117.5,75.6,176.8,92.8,103.2,182.5,81.2,121.1,85.7,93.1,121.6,119.8,98.3,52.4,53.3,49.3,112.9,26.9,77.7,80.5,129.8,74.9,127.4,119,94.7,72.6,26.1,97,149.9,198,168.3,167.1,54,78.7,30.1,141.4,80.7,105.3,31.1,64.4,10.4,131.6,179.9,136.2,76.6,32.8,66.7,123.5,104.4,181.7,173,125.4,42.3,111.6,93.9,64,168.8,92,51.8,128.3,137.6,195.1,76.3,128.5,82.3,71.3,96.4,142.8,79.7,68.3,121.3,103.3,142.9,85.3,94.1,147.8,105,154.2
"NewtonCounty",153.7,149.1,161.1,31.8,142.2,87.6,160.5,63,68,221.9,120,76.7,223.2,192.3,211,169.1,166.1,139.3,213.4,134.3,171.7,229.9,64,183.6,70.5,195.1,123,160.9,108.1,132.8,250.3,110.6,152.6,95.2,121.2,183.7,21.3,158.8,203.5,181.3,136.8,172.3,103,159.9,48.6,74.5,184.1,133.1,113.8,90.3,210.8,85.3,161.1,81.1,131.6,10.3,151.5,229.7,206.6,142.1,90.9,253.6,193.6,70.9,248.3,47.7,108.5,162.1,187.4,154.5,115,200.8,145.3,251.6,69.8,189.7,137.7,238.8,55.1,102.5,186.9,218.1,88.2,111.7,101.3,49.3,231.4,218.7,177.6,144,40.1,135.9
"NobleCounty",73,35.1,192.4,145.9,80.8,162.5,198.8,108.9,88.9,253.2,214.2,127.5,268.1,264.5,216.3,174.4,30,105.1,278,36,145.3,261.2,165.8,178.4,78.9,311.7,85.5,230.8,135.4,131.3,281.6,171.1,119.2,97.4,44.9,215,127.9,97.3,220.9,198.7,170.9,288.9,39.3,21.6,122.4,87.4,228.9,110.9,150.6,59.9,255.6,73.6,205.9,186.9,179.9,151.5,10.5,235,251.5,211.2,212.2,298.4,283.4,97.4,364.9,103.3,201.1,108.9,192.7,153.1,62.5,232.1,150.6,303.2,83.9,41.2,254.3,244.1,127.6,116.3,154.1,334.7,225.2,232,59,162.8,317.8,250,137.9,63.8,115.4,20.9
"OhioCounty",151.5,185.9,81.3,209.6,139.4,142.9,108.9,184.7,185,78.8,170.5,159.6,133.1,149.6,32.5,63.7,208.6,124,158.8,263.5,74.3,89.5,185.9,60.4,202.5,197,164.9,155.1,134.3,105.9,109.9,133.1,110.6,161.4,184.9,80.8,225.5,132.9,48.1,60.1,106.8,165.3,230.9,253.2,266.4,264.3,112.8,133.9,116.9,222.3,133.6,186.3,126.4,164.6,136.2,229.7,235,4.8,108.8,146.7,174.2,149.2,160.9,279.8,226.8,216.9,162.3,113.4,37.4,87,249.8,64.6,87.3,168.9,229.1,226.9,175.9,14.7,180.4,152.3,72,196.6,187.2,188.3,202.2,203.5,183.4,84.8,93,154.8,203.1,209.4
"OrangeCounty",215.4,231.4,84,186.6,183.8,119.8,74.5,164.8,171.6,56.8,91.3,139.2,23.9,43,128.7,105.4,248.4,164.4,38.4,257.6,139.5,44.5,160.8,151.8,196.6,95.2,169.9,60.7,128.4,120.9,43.9,101.2,149.3,155.6,201.3,52,202.5,190.5,67.6,76.9,93.5,58.7,225,269.6,243.3,242.2,26,150.3,105.4,216.4,27,180.4,50.4,120.5,76.6,206.6,251.5,108.8,10.4,69.6,119.4,54.2,53.5,256.8,125,200.5,94.9,183.2,104.9,126,243.9,45.9,108.4,67.2,212.6,266.6,81.4,97.3,157.4,146.4,163.4,94.9,132.4,107.9,196.4,178.3,81.7,26.8,165.7,219.4,180,225.8
"OwenCounty",175.1,191.2,59.4,114.6,143.6,76.1,42.2,121,127.8,117.4,22.9,95.5,86.2,59.9,136.7,88.2,208.1,124.1,81.5,213.9,105,106.6,79.9,116.6,152.9,94.2,129.7,26.8,84.7,80.7,105.9,58.4,109,111.8,161.1,77.9,158.8,150.3,109.1,86.9,55.6,71.4,181.3,229.4,199.6,198.5,47.1,110.1,61.5,172.7,63.8,136.7,24.1,60,32.8,142.1,211.2,146.7,69.6,10.1,51.4,116.5,78.8,213.1,147.4,156.8,34.4,143,114.9,95.4,200.2,96.3,70.5,106.7,168.9,226.4,50.8,142.3,87.6,102.7,120.2,117.3,64.7,39.5,152.7,102.4,120,78.4,125.5,179.2,136.3,185.6
"ParkeCounty",176.1,192.1,103.6,75.9,144.5,58.8,91.9,99.4,112.3,164.3,29.3,70.8,136,109.1,155.5,113.6,209.1,125.1,124.8,195.7,119.2,172.3,28.7,131.1,134.7,111.9,130.6,70.2,82.6,87.3,155.7,42.3,115.7,109.7,162.1,126.1,110.4,151.3,145.9,123.7,79.2,89.1,174.3,230.4,134.3,151.1,96.8,111.1,64.7,154.5,107.2,129.6,73.8,33.6,66.7,90.9,212.2,174.2,119.4,51.4,10.9,166.3,110.4,158.3,165.1,119.1,27.9,143.9,131.9,102,182,143.2,89.8,168.4,138.7,227.4,54.5,183.3,63.7,100.6,134.4,134.9,13.2,28.5,145.6,50.9,148.1,128.1,132.1,180.1,88.9,186.5
"PerryCounty",262.3,278.3,130.9,233.5,230.7,166.7,121.4,211.7,218.5,73.3,138.2,186.1,32.9,82.3,179.7,152.4,295.3,211.3,44.2,304.5,186.4,61,207.7,181.2,243.5,82.4,216.8,100.9,175.3,167.8,48.9,148.1,196.6,202.5,248.3,98.3,249.4,237.4,108,123.8,155.7,96.5,271.9,316.5,290.3,289.1,72.9,197.2,152.3,263.3,73.6,227.3,97.3,167.4,123.5,253.6,298.4,149.2,54.2,116.5,166.3,10.1,66.9,303.7,86.7,247.4,141.8,230.1,141.1,173,290.8,92.8,155.3,22.9,259.5,313.5,122.5,137.7,204.3,193.3,192.8,58.4,172.6,147.4,243.3,210.3,42.7,70.4,210.5,266.3,227,272.7
"PikeCounty",247.3,263.3,124.4,178.6,215.7,147.6,106.4,192.6,199.4,105.6,98.2,167,54.8,26.7,175.1,145.8,280.3,196.3,23.8,285.5,174.8,93.3,137.1,192.1,224.5,29.3,201.8,55.2,156.3,152.8,81.2,129.9,181.2,183.4,233.3,96.4,213.1,222.5,119.7,117.2,125.4,33.7,252.9,301.5,236.9,264.6,65.5,182.3,137.4,244.3,42,208.2,82.3,131.6,104.4,193.6,283.4,160.9,53.5,78.8,110.4,66.9,9.5,261,70,228.3,105.9,215.1,145.3,167.5,271.7,98,140.4,48.2,240.5,298.6,59.7,149.4,159.2,174.3,190.1,39.9,109.8,84.6,224.2,147.5,46.5,78.9,197.6,251.3,207.9,257.7
"PorterCounty",159,121.1,211.3,99.2,152.3,137.8,210.7,96.6,85.9,272,214.4,126.9,273.4,265.7,261.1,219.2,119.9,172.6,283.4,73.4,221.9,280,131.4,233.7,73,262.5,144.4,232.6,150.4,182.9,300.4,160.7,202.7,116.9,123.1,233.9,50.4,183.3,253.6,231.5,186.9,239.7,77,104.9,23.5,20.9,234.3,165.2,164,54,260.9,100.8,211.3,131.2,181.7,70.9,97.4,279.8,256.8,213.1,158.3,303.7,261,11.8,315.7,56.4,158.6,195.4,237.5,204.6,54.1,250.9,195.5,308.5,44,126.3,205.1,288.9,105.2,136.2,237.1,285.5,155.6,179.1,110.6,116.7,298.8,268.9,227.7,149.8,69.1,97.4
"PoseyCounty",328.8,344.8,208.6,233.2,297.2,228.1,176.8,273.1,279.9,150.9,152.9,247.5,110.5,91.4,257.3,230,361.8,277.8,89.3,365.9,264,138.7,191.8,258.8,305,54.8,283.3,120.6,236.8,234.3,126.5,205.6,262.7,263.9,314.8,161.1,267.8,304,185.6,201.4,195.8,87.3,333.4,383,291.6,319.3,130.2,263.7,213.5,324.8,106.7,288.7,152.7,196.7,173,248.3,364.9,226.8,125,147.4,165.1,86.7,70,315.7,10.5,282.2,181.6,296.6,218.7,249,352.2,170.4,232.9,65.5,321,380.1,114.4,215.3,226.8,254.8,270.4,30.4,164.5,139.3,304.7,202.2,45.2,148,279.1,332.8,252,339.2
"PulaskiCounty",108.2,93.8,155.3,68.8,105.1,91.2,154.4,49.1,33.9,216,158.1,69.5,217.1,209.4,198.3,156.3,110.7,114.1,227.1,85.6,159,224.1,92.2,170.8,24.6,229,85.9,176.3,92,120,244.4,114.2,125.5,58.5,75.7,177.9,40.6,133.6,197.6,175.5,133.7,206.2,57.1,111.1,67.5,51.5,178,106.8,107.7,44.4,204.6,51.3,155,84.7,125.4,47.7,103.3,216.9,200.5,156.8,119.1,247.4,228.3,56.4,282.2,10.7,112.1,137,174.6,141.7,71.9,194.9,132.6,252.2,22.8,129,171.6,226,58.7,77.8,174.2,252,134.1,145.6,67.2,95.2,265.2,212.9,164.8,98.5,35.6,77.5
"PutnamCounty",165,181.1,91.6,83.7,133.5,49.7,67.4,86.4,99.3,152.4,30.9,67,111.5,87,143.6,101.6,198.1,114,108.6,200.7,107.3,131.9,51.7,119.1,139.7,128.4,119.6,53.9,71.5,75.3,131.2,33.2,103.7,98.6,151,114.2,104.3,140.2,134,111.8,56.1,105.6,168.1,219.3,145.1,144,72.4,100,54.6,159.5,90.9,123.5,49.4,29,42.3,108.5,201.1,162.3,94.9,34.4,27.9,141.8,105.9,158.6,181.6,112.1,11.3,132.9,119.9,90.1,187,131.3,77.9,133.8,131.6,216.3,71,171.3,56.6,89.5,122.5,151.5,40.9,48.8,139.5,69.3,164.7,103.7,120.2,169.1,81.9,175.5
"RandolphCounty",43.5,77.8,104.5,142,40.6,94.3,130.5,112,105.1,162.5,145.9,87,199.8,196.2,85.4,83.1,100.6,25.1,209.8,138.1,48,170.5,140,63.1,122.5,243.4,57.9,162.5,67.1,62,190.9,102.9,37.5,81.4,68.8,146.8,158,24.8,129.7,107.5,102.7,220.6,118.7,127.1,198.8,184.3,160.7,45.3,82.4,142.3,187.3,92.7,137.7,118.7,111.6,162.1,108.9,113.5,183.2,143,143.9,230.1,215.1,195.4,296.6,137,132.9,11,95,61.9,169.8,141.4,81.3,235,149.1,118.8,186,122.6,112.9,63.5,44.4,266.5,156.9,163.8,86.1,137.3,249.5,159.3,31.2,50,131.6,93.3
"RipleyCounty",133.1,172.6,48.2,167.3,105.1,100.5,77.2,142.4,142.7,70.7,128.2,117.3,125,125.9,20.5,23.4,189.6,89.7,150.7,221.1,55.9,81.4,143.6,42,160.1,188.9,122.6,123.4,91.9,63.6,101.8,90.8,67.1,119.1,142.6,49.1,183.2,110.8,33.7,28.3,64.5,141.6,188.6,210.8,224.1,221.9,81,91.5,74.6,179.9,109.9,143.9,94.6,122.3,93.9,187.4,192.7,37.4,104.9,114.9,131.9,141.1,145.3,237.5,218.7,174.6,119.9,94.9,10.9,43.5,207.4,58.1,44.9,160.8,186.8,207.9,168.3,46.5,138.1,109.9,53.6,188.5,144.9,146,159.9,161.2,175.3,81,74.6,131.4,160.8,167
"RushCounty",96.9,133,47.3,134.4,66.4,67.7,67.4,109.5,109.8,105.3,98.3,84.4,142.6,148.6,58.9,26,150,51,162.2,182.2,18.2,113.3,113.7,30.1,127.3,195.8,83,114.9,59.1,27.2,133.7,60.9,28.4,86.2,102.9,70.2,150.3,72.1,72.5,50.3,43,173,141.1,171.2,191.2,189.1,113.1,51.9,41.8,147.1,139.7,111.1,90.1,92.4,64,154.5,153.1,87,126,95.4,102,173,167.5,204.6,249,141.7,90.1,61.9,43.5,10.4,174.6,84.2,23.4,192.7,153.9,168.3,138.4,96.1,105.2,77.1,33.4,218.8,115,116.1,111.2,131.3,207.2,102.1,42.3,92.7,127.9,127.4
