"County","BeaverheadCounty","BigHornCounty","BlaineCounty","BroadwaterCounty","CarbonCounty","CarterCounty","CascadeCounty","ChouteauCounty","CusterCounty","DanielsCounty","DawsonCounty","DeerLodgeCounty","FallonCounty","FergusCounty","FlatheadCounty","GallatinCounty","GarfieldCounty","GlacierCounty","GoldenValleyCounty","GraniteCounty","HillCounty","JeffersonCounty","JudithBasinCounty","LakeCounty","LewisandClarkCounty","LibertyCounty","LincolnCounty","McConeCounty","MadisonCounty","MeagherCounty","MineralCounty","MissoulaCounty","MusselshellCounty","ParkCounty","PetroleumCounty","PhillipsCounty","PonderaCounty","PowderRiverCounty","PowellCounty","PrairieCounty","RavalliCounty","RichlandCounty","RooseveltCounty","RosebudCounty","SandersCounty","SheridanCounty","SilverBowCounty","StillwaterCounty","SweetGrassCounty","TetonCounty","TooleCounty","TreasureCounty","ValleyCounty","WheatlandCounty","WibauxCounty","YellowstoneCounty"
"DawsonCounty",497.3,219.1,283.6,429.1,278.2,144.9,360.3,366,85.6,150.1,25.1,476.6,87.8,250.6,572.3,382.9,131.7,462.2,266.2,513.1,328.1,451.6,290.2,633.5,485.8,376.4,777.1,74.4,433.4,351.5,632.8,575.9,224.7,340,190.8,220.6,442.6,170.4,513.2,51,598.7,73.2,119.5,152.9,666.3,133.2,453.3,272.8,305.2,411.9,423.3,155,155.7,297.5,38,224.6
"DeerLodgeCounty",96.1,320.6,341.3,107.5,275.1,540.4,181.3,239.2,402.6,614.8,476.6,14,470,276.9,230.4,108.4,402.6,274.6,257.3,39.3,306.2,77.6,250.7,173.6,98.2,279.4,317.3,539.2,107,153.4,172.9,116,299.2,137.2,330.4,386.8,266.3,420,53.3,443.9,122.8,540.7,587,368.4,206.4,600.7,28.8,210.6,174.1,195.5,270.8,328,461.8,217.2,502.3,259
"FallonCounty",490.6,212.4,360.7,422.4,271.6,71,407.8,413.4,78.9,227.3,87.8,470,20.7,298.1,683.6,376.3,159.2,532.9,259.5,506.5,405.3,444.9,337.6,626.8,479.1,453.6,770.5,151.6,426.7,344.8,626.1,569.2,218.1,333.4,229.1,297.7,490,163.8,506.5,114.3,592.1,149.6,195.9,146.3,659.6,209.6,446.6,266.1,298.5,459.3,494.5,148.3,232.9,290.9,50.3,217.9
"FergusCounty",297.5,193.8,135.1,161.1,186,368.4,116.5,115.6,230.7,299.1,250.6,276.9,298.1,33.9,336.9,183.1,132.5,241.7,101.1,289.5,182.5,238,46.4,342.1,181.1,155.8,444.1,223.4,233.6,117.5,341.4,284.5,93.1,140.2,60.4,133,198.8,293.3,240.7,271.9,334.2,264.6,283.6,208.4,374.9,337.8,253.5,145.1,105.1,168.1,203.3,195.9,207.9,63.5,277.9,126.4
"FlatheadCounty",309.7,534.2,306.7,235.4,488.7,754,230.6,270.6,616.2,518.3,572.3,230.4,683.6,336.9,37.3,322,462.6,115.5,374.7,196.8,245.3,241.1,297.2,58.4,215.5,202.4,111.3,521.9,320.6,278.6,134,123,423.1,350.8,390.4,352.3,152.4,633.6,170.1,657.5,172.6,562,508.5,582,109.4,562.7,242.4,424.2,387.7,173.3,165.6,541.6,427.2,332.5,599.6,472.7
"GallatinCounty",129,226.8,318,60.8,181.4,446.6,182.2,240.2,308.9,521.1,382.9,108.4,376.3,183.1,322,26.4,308.8,275.6,163.6,144.8,307.1,83.3,188.1,265.2,117.5,280.4,408.8,445.4,51.7,106.7,264.5,207.6,205.5,43.5,236.7,315.9,267.3,326.3,144.9,350.1,230.5,447,493.3,274.6,298,507,85,116.9,80.4,196.5,271.8,234.2,390.8,123.4,408.5,165.3
"GarfieldCounty",423.2,224.7,215.5,286.8,227.6,229.6,242.2,247.9,93.2,180.1,131.7,402.6,159.2,132.5,462.6,308.8,35.8,367.4,161.1,415.1,268.8,363.7,172.1,467.8,306.8,288.1,569.8,104.5,359.3,243.2,467.1,410.2,134.6,265.9,72.7,193.9,324.5,178.1,366.4,133.1,459.9,145.6,164.7,158.5,500.6,218.8,379.2,222.1,230.8,293.8,329,160.6,129.8,189.2,159,168
"GlacierCounty",327.5,419.4,196.6,216.6,409.8,603.3,135.4,160.5,465.5,408.1,462.2,274.6,532.9,241.7,115.5,275.6,367.4,28.4,301.3,271.6,135.2,222.3,201.9,157.6,165.4,92.3,222.7,411.8,296.6,228.7,247,222.2,327.9,304.5,295.2,242.1,61.5,518.8,213.1,506.8,271.8,451.9,398.4,443.3,222.5,452.5,251.3,345.3,305.4,82.4,55.5,426.8,317,263.8,489.4,353.8
"GoldenValleyCounty",277.9,130.7,202.5,141.6,122.8,329.9,176.2,193.1,192.1,327.6,266.2,257.3,259.5,101.1,374.5,163.6,161.1,301.3,17.6,293.8,255.8,232.2,106,354.2,197.9,233.2,476.1,252,214,97.9,353.6,296.7,54.5,120.7,88.9,200.4,258.4,230.1,217.5,233.4,346.3,293.1,312.2,178.5,387,366.4,233.9,117.3,85.6,227.7,262.9,138.1,275.3,44,291.8,65.2
"GraniteCounty",132.6,357,340.4,127.2,311.6,576.8,180.4,238.3,439.1,551.9,513.1,39.3,506.5,289.5,196.8,144.8,415.1,271.6,293.8,21.4,305.3,114,249.8,140,107.2,278.5,283.7,575.6,143.4,170.4,139.3,82.4,335.7,173.7,343,385.9,265.4,456.5,48.5,480.3,132.1,577.2,542.2,404.8,172.8,637.2,65.3,247.1,210.6,192.5,269.9,364.4,460.9,253.6,538.7,295.5
"HillCounty",359,330.1,62.5,248.2,322.3,462.3,132.3,79.3,367,274.1,328.1,306.2,405.3,182.5,245.3,307.1,268.8,135.2,255.8,305.3,27.8,253.9,160.6,287.5,196.9,49.4,352.5,277.7,328.1,220.2,354,297.1,229.4,299.1,196.7,108.1,122.9,429.6,256.5,367.2,346.8,317.9,264.3,344.8,352.3,318.5,282.8,304,264,161.2,96.3,332.2,183,222.5,355.4,262.7
"JeffersonCounty",110.5,295.5,288.9,74.3,250,515.3,128.9,186.9,377.5,500.5,451.6,77.6,444.9,238,240.9,83.3,363.7,222.3,232.2,114,253.9,21,198.3,234.4,64.2,227.1,378,514.1,86.9,117.6,233.7,176.8,274.1,112.1,291.6,334.5,214,394.9,83.9,418.8,199.7,515.6,490.7,343.3,267.2,575.7,54.2,185.5,149,143.2,218.5,302.9,409.4,171.4,477.2,234
"JudithBasinCounty",303.5,224.1,181.2,162.6,214.5,408,76.8,93.7,270.2,338.6,290.2,250.7,337.6,46.4,297.2,188.1,172.1,201.9,106,249.8,160.6,198.3,22.3,302.4,141.4,133.9,404.4,263,238.5,119,301.7,244.8,132.6,145.2,99.9,179.1,159.1,323.5,201,311.5,294.5,304.1,323.2,248,335.2,377.3,227.3,150,110.1,128.4,163.6,231.5,254.1,68.5,317.5,158.6
"LakeCounty",252.9,477.4,348.8,215.1,431.9,697.2,235.8,287.8,559.4,560.4,633.5,173.6,626.8,342.1,58.4,265.2,467.8,157.6,354.4,140,287.5,234.4,302.4,20.9,195.2,244.6,159.9,558.7,263.8,258.3,98.9,66.2,396.3,294,395.6,394.4,194.5,576.8,136.5,600.7,115.8,697.5,550.6,525.2,91.1,604.8,185.6,367.4,330.9,215.5,207.8,484.8,469.3,312.2,659.1,415.9
"LewisandClarkCounty",169.4,329.7,232,58.5,284.2,549.5,72,129.9,411.7,443.5,485.8,98.2,479.1,181.1,215.5,117.5,306.8,165.4,197.9,107.2,196.9,64.2,141.4,195.2,30.4,170.1,317,397.7,138.4,101.8,194.5,137.6,239.7,146.4,234.6,277.5,157,429.1,58.4,453,187.2,438.8,433.8,377.5,228,487.9,93.1,219.8,183.3,86.2,161.5,337.1,352.5,155.6,511.4,268.2
"LibertyCounty",332.2,351.3,110.8,221.4,341.7,510.6,105.6,74.7,386.2,322.3,376.4,279.4,453.6,155.8,202.4,280.4,288.1,92.3,233.2,278.5,49.4,227.1,133.9,244.6,170.1,19.6,309.6,326,301.3,193.4,335.6,278.7,248.6,272.4,215.9,156.3,80,450.7,229.7,415.5,328.4,366.1,312.6,364,309.4,366.8,256,277.2,237.3,118.3,53.4,351.5,231.3,195.7,403.7,282
"LincolnCounty",396.6,621,413.9,336.9,575.6,840.8,337.8,377.9,703.1,625.5,777.1,317.3,770.5,444.1,111.3,408.8,569.8,222.7,476.3,283.7,352.5,378,404.4,159.9,317,309.6,31.2,629.1,407.4,380.2,180.8,209.8,530.3,437.7,497.7,459.5,259.6,720.5,280.1,744.3,259.5,669.3,615.7,668.8,124,669.9,329.3,511.1,474.6,280.5,272.9,628.4,534.4,434,802.7,559.5
"McConeCounty",559.8,281.6,233.1,377.7,340.8,208.6,333.1,329.6,148.1,99.7,74.4,539.2,151.6,223.4,521.9,445.4,104.5,411.8,252,575.6,277.7,514.1,263,558.7,397.7,326,629.1,26.6,495.9,334.1,558,501.1,225.6,402.5,163.6,170.1,399.5,233,457.3,113.5,550.8,88.4,84.2,215.4,591.5,138.4,515.8,335.3,367.7,384.7,372.9,217.5,105.3,280.1,101.7,287.1
"MadisonCounty",80.1,277.3,363.2,81.6,231.8,497.1,203.2,261.1,359.3,571.5,433.4,107,426.7,233.6,320.6,51.7,359.3,296.6,214,143.4,328.1,86.9,238.5,263.8,138.4,301.3,407.4,495.9,30.9,127.5,263.1,206.2,255.9,93.9,287.1,366.3,288.2,376.7,143.5,400.6,202.5,497.4,543.7,325.1,296.6,557.5,81.7,167.3,130.8,217.4,292.7,284.7,441.3,173.9,459,215.8
"MeagherCounty",174,216,255.3,45.5,201,415.2,103.6,153.2,277.4,409.7,351.5,153.4,344.8,117.5,278.4,106.7,243.2,228.7,97.9,170.2,220.2,117.6,119,258.1,101.8,193.4,380,334.1,127.5,25.2,257.5,200.6,139.8,75,171,250.2,185.8,315.4,121.4,318.7,250.2,375.2,394.3,263.8,290.9,448.4,130,136.5,100,155.1,190.3,223.4,325.2,55.7,377.1,150.4
"MineralCounty",252.3,476.7,389.1,214.4,431.2,696.5,235.1,287.1,558.8,600.7,632.8,172.9,626.1,341.4,134,264.5,467.1,247,353.8,139.3,354,233.7,301.7,98.9,194.5,335.6,180.8,558,263.1,257.7,18,65.5,395.6,293.4,395,434.7,294.4,576.2,135.8,600,115.1,696.8,590.9,524.5,69.9,645.1,185,366.8,330.3,226.1,298.9,484.1,509.6,311.5,658.4,415.2
"MissoulaCounty",195.4,419.8,332.2,157.5,374.3,639.6,178.2,230.2,501.8,543.8,575.9,116,569.2,284.5,123,207.6,410.2,222.2,296.9,82.4,297.1,176.8,244.8,66.2,137.6,278.7,209.8,501.1,206.2,200.8,65.5,26.3,338.7,236.4,338.1,377.8,237.4,519.2,78.9,543.1,58.2,639.9,534,467.6,99,588.2,128.1,309.9,273.4,169.2,242,427.2,452.7,254.6,601.5,358.3
"MusselshellCounty",319.8,128.9,176,183.4,121,288.4,202.8,208.4,150.7,301.2,224.7,299.2,218.1,93.1,423.1,205.5,134.6,327.9,54.5,335.7,229.4,274.1,132.6,396.1,239.7,248.6,530.3,225.6,255.9,139.8,395.4,338.5,22.3,162.6,62.5,173.9,285,228.3,259.4,191.9,388.2,288.8,285.8,128.4,428.9,348.8,275.8,115.5,127.4,254.3,289.5,130.9,248.9,85.9,250.3,61.4
"ParkCounty",157.8,183.9,275.1,89.6,138.5,403.7,176.7,232.2,266,478.2,340,137.2,333.4,140.2,350.8,43.5,265.9,304.5,120.7,173.7,299.1,112.1,145.2,294,146.4,272.4,437.7,402.5,93.9,75,293.4,236.4,162.6,27.3,193.8,273,259,283.4,173.7,307.2,259.3,404.1,450.4,231.7,326.8,464.1,113.8,74,37.5,225.3,263.5,191.3,347.9,80.6,365.6,122.4
"PetroleumCounty",351,163.3,143.4,214.7,155.4,299.5,170.1,175.8,163.1,239.3,190.8,330.4,229.1,60.4,390.4,236.7,72.7,295.2,88.9,343,196.7,291.6,99.9,395.6,234.6,215.9,497.7,163.6,287.1,171,395,338.1,62.5,193.8,21.1,141.3,252.3,248,294.2,203,387.7,204.8,223.8,177.9,428.4,278,307,149.9,158.7,221.6,256.8,165.4,188.9,117.1,218.1,95.9
"PhillipsCounty",439.6,274.7,63.5,293.9,266.8,354.8,213,160,271.6,166.5,220.6,386.8,297.7,133,352.3,315.9,193.9,242.1,200.4,385.9,108.1,334.5,179.1,394.4,277.5,156.3,459.5,170.1,366.3,250.2,434.7,377.8,173.9,273,141.3,37.1,229.8,356.5,337.1,259.6,427.4,210.3,156.8,289.3,459.3,210.9,363.4,261.3,237.9,261.4,203.3,276.8,75.4,196.3,247.9,207.3
"PonderaCounty",319.1,376.5,184.3,208.3,366.9,560.4,92.5,144.4,422.6,395.8,442.6,266.3,490,198.8,152.4,267.3,324.5,61.5,258.4,265.4,122.9,214,159.1,194.5,157,80,259.6,399.5,288.2,185.8,294.4,237.4,285,259,252.3,229.8,20.8,475.9,202.1,463.9,287.1,456.5,386.1,400.4,259.4,440.3,242.9,302.4,262.5,67.6,43.2,383.9,304.8,220.9,469.9,311
"PowderRiverCounty",440.6,113.9,376.2,372.4,221.6,125.6,393.7,410.5,84.9,308.6,170.4,420,163.8,293.3,633.6,326.3,178.1,518.8,230.1,456.5,429.6,394.9,323.5,576.8,429.1,450.7,720.5,233,376.7,315.4,576.2,519.2,228.3,283.4,248,356.5,475.9,29.5,456.5,137.7,542.1,234.5,280.8,94.3,609.6,294.5,396.6,216.1,248.6,445.2,480.4,140.7,292.4,261.5,196.1,167.9
"PowellCounty",132.6,357.1,291.6,78.4,311.6,576.9,131.6,189.5,439.1,503.1,513.2,53.3,506.5,240.7,170.1,144.9,366.4,213.1,217.7,48.5,256.5,84.1,201,136.5,58.4,229.7,280.1,457.3,143.5,121.6,135.8,78.9,259.6,173.7,294.2,337.1,202.1,456.5,24.9,480.4,128.5,577.2,493.4,404.9,169.3,547.5,65.3,247.1,210.6,133.9,206.6,364.5,412.1,175.5,538.8,295.6
"PrairieCounty",464.5,186.3,322.6,396.3,245.4,183.5,381.6,387.3,52.8,189.2,51,443.9,114.3,271.9,657.5,350.1,133.1,506.8,233.4,480.3,367.2,418.8,311.5,600.7,453,415.5,744.3,113.5,400.6,318.7,600,543.1,191.9,307.2,203,259.6,463.9,137.7,480.4,21.5,566,115.1,161.4,120.1,633.5,175.1,420.5,240,272.4,433.2,468.4,122.2,194.8,264.7,76.6,191.8
"RavalliCounty",129.5,442.6,381.9,207.2,397.2,662.5,227.9,279.8,524.7,593.4,598.7,122.8,592.1,334.2,172.6,230.5,459.9,271.8,346.5,132.1,346.8,199.7,294.5,115.8,187.2,328.4,259.5,550.8,202.5,250.4,115.1,58.2,388.4,259.3,387.7,427.4,287.1,542.1,128.5,566,25.2,662.8,583.7,490.5,148.6,722.8,150.9,332.7,296.2,218.9,291.6,450,502.4,304.3,624.3,381.1
"RichlandCounty",561.3,283.2,273.3,493.1,342.3,206.6,374.3,380,149.6,127.3,73.2,540.7,149.6,264.6,562,447,145.6,451.9,293.1,577.2,317.9,515.6,304.1,697.5,438.8,366.1,669.3,88.4,497.4,375.2,696.8,639.9,288.8,404.1,204.8,210.3,456.5,234.5,577.2,115.1,662.8,23.6,65.8,217,730.3,79.6,517.3,336.8,369.3,425.8,413,219,145.5,321.3,99.7,288.6
"RooseveltCounty",607.6,329.5,219.8,437.9,388.6,252.9,369.2,316.2,195.9,81.9,119.5,587,195.9,283.6,508.5,493.3,164.7,398.4,312.2,542.2,264.3,490.7,323.2,550.6,433.8,312.6,615.7,84.2,543.7,394.3,590.9,534,285.8,450.4,223.8,156.8,386.1,280.8,493.4,161.4,583.7,65.8,25,263.3,615.5,66.5,563.6,383.1,415.6,417.6,359.5,265.4,91.9,340.3,146,335
"RosebudCounty",389,79.1,291.4,320.8,170,216.6,318.1,323.8,78.9,291.1,152.9,368.4,146.3,208.4,582,274.6,158.5,443.3,178.5,404.8,344.8,343.3,248,525.2,377.5,364,668.8,215.4,325.1,263.8,524.5,467.6,128.4,231.7,177.9,289.3,400.4,94.3,404.9,120.1,490.5,217,263.3,36.5,558,277,345,164.5,196.9,369.7,404.9,46.7,272.7,209.9,178.5,116.3
"SandersCounty",285.7,510.2,413.7,247.9,464.7,730,268.6,320.5,592.2,625.3,666.3,206.4,659.6,374.9,109.4,298,500.6,222.5,387.2,172.8,352.3,267.2,335.2,91.1,228,309.4,124,591.5,296.6,291.1,69.9,99,429.1,326.8,428.4,459.3,259.4,609.6,169.3,633.5,148.6,730.3,615.5,558,27.2,669.7,218.4,400.2,363.7,259.6,272.6,517.6,534.2,345,691.9,448.7
"SheridanCounty",621.3,343.2,273.9,553.2,402.3,266.6,423.4,370.4,209.6,47.9,133.2,600.7,209.6,337.8,562.7,507,218.8,452.5,366.4,637.2,318.5,575.7,377.3,604.8,487.9,366.8,669.9,138.4,557.5,448.4,645.1,588.2,348.8,464.1,278,210.9,440.3,294.5,547.5,175.1,722.8,79.6,66.5,277,669.7,21.3,577.3,396.8,429.3,471.8,413.7,279.1,138.8,394.5,159.7,348.7
"SilverBowCounty",81.6,297.2,317.9,84.1,251.7,517,157.9,215.8,379.2,591.4,453.3,28.8,446.6,253.5,242.4,85,379.2,251.3,233.9,65.3,282.8,54.2,227.3,185.6,93.1,256,329.3,515.8,81.7,130,185,128.1,275.8,113.8,307,363.4,242.9,396.6,65.3,420.5,150.9,517.3,563.6,345,218.4,577.3,13.8,187.2,150.7,172.1,247.4,304.6,438.4,193.8,478.9,235.6
"StillwaterCounty",231.2,116.7,263.4,163,71.2,336.5,220.2,237.1,198.7,410.9,272.8,210.6,266.1,145.1,424.2,116.9,222.1,345.3,117.3,247.1,304,185.5,150,367.4,219.8,277.2,511.1,335.3,167.3,136.5,366.8,309.9,115.5,74,149.9,261.3,302.4,216.1,247.1,240,332.7,336.8,383.1,164.5,400.2,396.8,187.2,21.9,39.2,271.7,306.9,124.1,336.3,85.4,298.4,55.2
"SweetGrassCounty",194.7,149.1,240,126.5,103.6,368.9,180.2,197.1,231.1,443.4,305.2,174.1,298.5,105.1,387.7,80.4,230.8,305.4,85.6,210.6,264,149,110.1,330.9,183.3,237.3,474.6,367.7,130.8,100,330.3,273.4,127.4,37.5,158.7,237.9,262.5,248.6,210.6,272.4,296.2,369.3,415.6,196.9,363.7,429.3,150.7,39.2,22.2,231.8,267,156.5,312.8,45.4,330.8,87.6
"TetonCounty",248.3,345.8,215.8,137.5,336.2,529.7,61.8,113.8,391.9,427.4,411.9,195.5,459.3,168.1,173.3,196.5,293.8,82.4,227.7,192.5,161.2,143.2,128.4,215.5,86.2,118.3,280.5,384.7,217.4,155.1,226.1,169.2,254.3,225.3,221.6,261.4,67.6,445.2,133.9,433.2,218.9,425.8,417.6,369.7,259.6,471.8,172.1,271.7,231.8,24.6,81.5,353.2,336.3,190.2,439.2,280.3
"TooleCounty",323.6,381,157.7,212.8,371.4,564.9,97,121.7,427.1,369.3,423.3,270.8,494.5,203.3,165.6,271.8,329,55.5,262.9,269.9,96.3,218.5,163.6,207.8,161.5,53.4,272.9,372.9,292.7,190.3,298.9,242,289.5,263.5,256.8,203.3,43.2,480.4,206.6,468.4,291.6,413,359.5,404.9,272.6,413.7,247.4,306.9,267,81.5,22.7,388.4,278.2,225.4,450.6,315.5
"TreasureCounty",348.6,70.4,278.9,280.4,129.6,218.7,301.6,311.3,80.9,293.2,155,328,148.3,195.9,541.6,234.2,160.6,426.8,138.1,364.4,332.2,302.9,231.5,484.8,337.1,351.5,628.4,217.5,284.7,223.4,484.1,427.2,130.9,191.3,165.4,276.8,383.9,140.7,364.5,122.2,450,219,265.4,46.7,517.6,279.1,304.6,124.1,156.5,353.2,388.4,16.1,274.8,169.4,180.6,75.9
"ValleyCounty",514.6,338.9,138.4,368.8,341.8,289.9,287.9,234.9,207.5,91.3,155.7,461.8,232.9,207.9,427.2,390.8,129.8,317,275.3,460.9,183,409.4,254.1,469.3,352.5,231.3,534.4,105.3,441.3,325.2,509.6,452.7,248.9,347.9,188.9,75.4,304.8,292.4,412.1,194.8,502.4,145.5,91.9,272.7,534.2,138.8,438.4,336.3,312.8,336.3,278.2,274.8,36.6,271.2,183,282.2
"WheatlandCounty",237.8,162,198.4,99.3,149.9,361.2,138.6,155.5,223.5,355.8,297.5,217.2,290.9,63.5,332.3,123.4,189.2,263.8,44,224.1,222.5,171.4,68.5,312,155.6,195.7,433.8,280.1,173.9,55.7,311.3,254.4,85.9,80.6,117.1,196.3,220.9,261.5,175.3,264.7,304.1,321.3,340.3,209.9,344.8,394.5,193.8,85.4,45.4,190.2,225.4,169.4,271.2,19.5,323.1,96.5
"WibauxCounty",522.9,244.7,310.9,454.7,303.9,107.3,387.6,393.3,111.2,177.4,38,502.3,50.3,277.9,599.6,408.5,159,489.4,291.8,538.7,355.4,477.2,317.5,659.1,511.4,403.7,802.7,101.7,459,377.1,658.4,601.5,250.3,365.6,218.1,247.9,469.9,196.1,538.8,76.6,624.3,99.7,146,178.5,691.9,159.7,478.9,298.4,330.8,439.2,450.6,180.6,183,323.1,15.3,250.2
"YellowstoneCounty",279.7,68.5,209.4,211.5,60.6,288.3,228.7,241.8,150.6,362.8,224.6,259,217.9,126.4,472.7,165.3,168,353.8,65.2,295.5,262.7,234,158.6,415.9,268.2,282,559.5,287.1,215.8,150.4,415.2,358.3,61.4,122.4,95.9,207.3,311,167.9,295.6,191.8,381.1,288.6,335,116.3,448.7,348.7,235.6,55.2,87.6,280.3,315.5,75.9,282.2,96.5,250.2,26.5
