"County","AndersonCounty","BedfordCounty","BentonCounty","BledsoeCounty","BlountCounty","BradleyCounty","CampbellCounty","CannonCounty","CarrollCounty","CarterCounty","CheathamCounty","ChesterCounty","ClaiborneCounty","ClayCounty","CockeCounty","CoffeeCounty","CrockettCounty","CumberlandCounty","DavidsonCounty","DecaturCounty","DeKalbCounty","DicksonCounty","DyerCounty","FayetteCounty","FentressCounty","FranklinCounty","GibsonCounty","GilesCounty","GraingerCounty","GreeneCounty","GrundyCounty","HamblenCounty","HamiltonCounty","HancockCounty","HardemanCounty","HardinCounty","HawkinsCounty","HaywoodCounty","HendersonCounty","HenryCounty","HickmanCounty","HoustonCounty","HumphreysCounty","JacksonCounty","JeffersonCounty","JohnsonCounty","KnoxCounty","LakeCounty","LauderdaleCounty","LawrenceCounty","LewisCounty","LincolnCounty","LoudonCounty","McMinnCounty","McNairyCounty","MaconCounty","MadisonCounty","MarionCounty","MarshallCounty","MauryCounty","MeigsCounty","MonroeCounty","MontgomeryCounty","MooreCounty","MorganCounty","ObionCounty","OvertonCounty","PerryCounty","PickettCounty","PolkCounty","PutnamCounty","RheaCounty","RoaneCounty","RobertsonCounty","RutherfordCounty","ScottCounty","SequatchieCounty","SevierCounty","ShelbyCounty","SmithCounty","StewartCounty","SullivanCounty","SumnerCounty","TiptonCounty","TrousdaleCounty","UnicoiCounty","UnionCounty","VanBurenCounty","WarrenCounty","WashingtonCounty","WayneCounty","WeakleyCounty","WhiteCounty","WilliamsonCounty","WilsonCounty"
"CheathamCounty",197.3,78.8,72.9,142.9,206,189.7,215.2,78.7,91.8,320.1,9,125,244.3,108.1,261.6,91.1,140.3,139.1,25.1,91.4,87.2,24.7,164.8,171.8,148.3,117.8,122.5,96.5,236.7,273.4,127.7,244.3,172.3,280.5,154.2,128.3,284.8,147.2,103.4,99.3,53.3,49,53.9,104.3,235.4,349.1,202.8,170.9,171.7,108.2,78.7,111.6,192.7,201.4,138.4,76.9,124.1,132.3,77.3,69.5,186.4,203.3,28.4,109.3,161.8,144.7,127,81.9,146.2,208.2,107,171,167.6,25.1,55.2,182.7,137.6,234.6,193.4,79.7,65,302.8,49.3,176.9,64,310.5,227.2,123.3,96.5,297.9,110.7,117.9,117.6,41.3,52.4
"ChesterCounty",307.1,151.3,68.6,247.4,315.9,294.2,325,183.2,53.8,429.9,125,8.7,354.1,223.7,371.4,195.6,43.2,248.9,135,34.3,197.1,101.2,67.8,51.4,258.1,190.4,51.9,121.4,346.5,383.2,232.2,354.1,276.8,390.3,33.2,48.4,394.6,50.2,28.2,80.4,87,106.7,81.4,214.2,345.3,458.9,312.6,90.5,74.7,103.7,75.7,152.4,302.5,321.7,26,192.5,21.3,236.8,126.6,104.1,296.2,313.1,129.2,169.9,271.6,80.8,236.9,53,256,312.7,216.8,280.8,277.4,160,159.7,292.5,242.1,344.4,81.1,189.5,110.7,412.6,164.9,79.8,179.6,420.4,337,227.8,201.1,407.7,81,80.9,227.4,130.1,162.2
"ClaiborneCounty",56.4,245.7,306.9,148.1,67.3,129.8,33,196.3,338.5,111.6,244.3,354.1,10.8,148.8,66.6,204.2,369.4,119.7,217.8,320.5,173.2,264.6,394,401,96.1,224.9,375.2,289.5,40.7,72.1,196.8,42.2,154.2,35.4,383.4,343.6,56.7,376.4,332.6,335.3,269.6,288.9,287.9,152.9,59.9,140.6,50.1,416.8,400.9,301.2,295.8,254.7,79.6,109.7,367.6,181.3,353.3,185.3,259.1,262.5,114.4,94.3,265.5,225.8,92.5,395.4,126.7,311.1,124.7,150.5,142.8,124,88.9,258.5,218,65.6,170,82.1,422.6,175.2,306.4,94.3,217.4,406,193.9,109.3,25.9,166.5,177.6,96.6,320.8,365.7,148.8,237.2,193.2
"ClayCounty",122.8,128.2,176.5,90.7,131.5,132.1,119.7,87.3,208.1,245.6,108.1,223.7,148.8,8.3,187.1,113.2,239,64.6,92.4,190.1,64.5,134.1,263.5,270.6,53.6,139.9,244.8,172,162.1,198.9,112.1,169.8,135.7,183.2,253,226.1,210.3,245.9,202.2,190.7,147.6,156.5,157.5,24,160.9,274.6,128.3,286.3,270.5,183.7,178.3,158.3,118.2,126.9,237.2,34.2,222.9,126.6,141.6,145,111.9,128.8,126.1,134.8,86.3,257.4,27,180.7,41.8,152.8,43,96.4,93.1,89.2,100.4,87.2,102.5,160,292.2,49.3,161.7,228.3,70,275.6,48.8,236,152.7,75.5,86.6,223.4,203.3,215.7,57.9,119.7,75.6
"CockeCounty",85.7,263,324.2,155,62.5,141.3,99,204.6,355.9,74.3,261.6,371.4,66.6,187.1,10.8,211.1,386.7,126.6,235.1,337.8,190.5,281.9,411.3,418.3,145.7,236.5,392.5,306.8,53.6,32.8,203.7,25.4,165.8,55.4,400.7,360.9,59.7,393.7,349.9,347.4,286.9,306.2,305.2,182.2,29.8,103.2,61.1,434.1,418.2,318.5,313.1,266.3,91.2,121.2,384.9,222.1,370.6,196.9,276.4,279.8,126,103.9,282.8,232.7,104.9,409.8,162.4,328.4,174.3,162.1,160.1,132.1,95.8,259.7,235.3,115.2,176.9,36.2,439.9,192.5,318.4,69.3,234.7,423.3,211.2,70,79.5,173.4,184.5,57.4,338.1,383,155.7,254.5,210.5
"CoffeeCounty",146.7,32.1,148.4,73.1,155.5,105.6,175,27.2,180,269.5,91.1,195.6,204.2,113.2,211.1,10.7,210.9,85.8,66.4,162,50.4,106,235.4,242.5,114.3,24.6,216.6,71.3,186.1,222.8,43.6,193.7,88.2,229.9,224.9,148.6,234.2,217.8,174,178.7,110.7,131.6,129.4,83.2,184.9,298.5,152.2,258.2,242.4,96.3,119.2,41.9,142.1,133.1,168.8,108.4,194.7,48.2,52.7,85.9,127.3,149.5,114.1,25.1,127.8,233.9,93.1,137.9,112.2,124.2,73,98.4,117,96.3,43.3,148.7,74.1,184,264.1,67.3,149.7,252.2,88.9,247.5,92,260,176.6,53.4,26.7,247.4,125.8,207.1,55.5,67.5,66.1
"CrockettCounty",322.4,198.6,83.9,262.7,331.1,309.5,340.3,198.5,50.7,445.2,140.3,43.2,369.4,239,386.7,210.9,8.4,264.2,150.3,66.9,212.3,116.5,27.1,52.5,273.4,237.6,20.5,155.9,361.8,398.5,247.5,369.4,292.1,405.6,57,87.5,409.9,24.7,49.5,68.4,107.5,122,96.7,229.4,360.6,474.2,327.9,49.9,38.7,141.7,103.4,196.1,317.8,337,65.1,207.8,22.7,252.1,161.8,139.2,311.5,328.4,144.5,213.6,286.9,54.3,252.1,80.6,271.3,328,232.1,296.1,292.7,175.3,175,307.8,257.4,359.7,74.1,204.8,98.7,427.9,180.2,54.4,194.9,435.7,352.3,243.1,216.3,423,118,45.5,242.7,145.4,177.5
"CumberlandCounty",62.3,117.3,201.7,29.8,71,71.1,90.6,79.4,233.3,185.1,139.1,248.9,119.7,64.6,126.6,85.8,264.2,13.5,112.6,215.3,55.1,159.4,288.8,295.8,35.8,112.5,270,153.6,101.6,138.4,78.4,109.3,77.3,145.5,278.2,238.4,149.7,271.2,227.4,224.9,164.4,183.7,182.7,59.7,100.4,214.1,67.8,311.5,295.7,196,190.6,124.2,57.7,66,262.4,99.6,248.1,75.8,153.9,157.3,50.9,67.8,160.3,107.4,49.2,287.2,39.9,205.9,63.7,91.8,37.6,35.5,32.5,137.2,112.8,70.2,51.6,99.5,317.4,70,195.9,167.8,112.2,300.8,88.7,175.5,92.2,48.1,59.3,162.9,215.6,260.5,30.5,132,87.9
"DavidsonCounty",170.8,54.1,87.8,118.2,179.5,165,188.7,54,119.5,293.6,25.3,135.1,217.8,92.4,235.1,66.4,150.4,112.6,11.8,101.5,60.7,45.5,174.9,181.9,121.8,93.1,156.1,74.9,210.2,246.9,103,217.8,147.6,254,164.3,129,258.3,157.3,113.5,113,58.9,69.9,68.8,77.8,209,322.6,176.3,197.7,181.9,86.7,81.3,90,166.2,174.9,148.5,61.2,134.2,107.6,55.7,47.9,159.9,176.8,48.5,84.6,135.3,173.4,100.6,92,119.7,183.5,80.5,144.5,141.1,30.7,30.5,156.2,112.9,208.1,203.6,53.2,84.1,276.3,33.6,187,48.3,284.1,200.7,98.6,71.8,271.4,106.2,146.6,91.1,22.3,25.9
"DecaturCounty",273.5,117.7,35,213.8,282.3,260.6,291.4,149.6,45.2,396.3,91.4,34.3,320.5,190.1,337.8,162,66.9,215.3,101.4,9.6,163.4,67.6,91.4,82.9,224.5,145.7,72.6,94.6,312.9,349.6,198.6,320.5,243.2,356.7,64.7,37.6,361,73.8,17.4,56.2,53.4,73.1,47.8,180.6,311.7,425.3,279,114.2,98.4,80.4,42.1,127.4,268.9,288.1,47.8,158.9,50.7,203.2,93,70.5,262.6,279.5,95.6,144.8,238,99.1,203.3,19.4,222.4,279.1,183.2,247.2,243.8,126.4,126.1,258.9,208.5,310.8,120.1,155.9,84.7,379,131.3,103.5,146,386.8,303.4,194.2,167.4,374.1,56.7,72.3,193.8,96.5,128.6
"DeKalbCounty",126.2,60.8,149.8,61.9,134.9,108.6,144.1,24.9,181.5,249,87.2,197.1,173.2,64.5,190.5,50.4,212.3,55.1,60.7,163.4,9.3,107.5,236.9,243.9,77.2,77.1,218.1,115.1,165.6,202.3,62.5,173.2,102.5,209.4,226.3,169.2,213.6,219.3,175.5,173,112.5,131.8,130.8,41.2,164.3,278,131.7,259.7,243.8,126.8,121.4,88.8,121.6,117,189.4,61.2,196.2,83.6,84.7,88.1,102,118.9,108.4,72,90.7,235.4,55.9,140.2,75.1,129.3,35.9,86.5,96.5,85.3,39.8,111.6,69.3,163.4,265.5,31.6,144.1,231.7,60.3,248.9,50.3,239.4,156.1,42.3,23.8,226.8,146.4,208.6,24.7,74.9,36.1
"DicksonCounty",217.6,93.7,49.2,157.9,226.3,204.6,235.4,93.6,68.1,340.4,24.7,101.2,264.6,134.1,281.9,106,116.5,159.4,45.4,67.6,107.5,11.4,141,148.1,168.6,132.8,98.8,78,256.9,293.6,142.6,264.5,187.2,300.7,130.5,104.5,305,123.4,79.7,72.3,29.6,33.5,30.2,124.6,255.7,369.3,223,147.2,148,83.8,54.9,103.4,212.9,232.1,114.7,102.9,100.3,147.2,69,45.1,206.6,223.5,28.9,120.8,182,120.9,147.3,58.2,166.4,223.2,127.2,191.2,187.8,49.3,70.1,202.9,152.5,254.8,169.7,99.9,49.6,323,75.3,153.1,90,330.8,247.4,138.3,111.5,318.2,86.9,94.1,137.9,40.5,72.6
"DyerCounty",347,223.1,84.4,287.3,355.7,334,364.9,223,61.5,469.8,164.8,67.8,394,263.5,411.3,235.4,27.1,288.8,174.8,91.4,236.9,141,11.8,77,298,262.2,31.4,180.4,386.3,423,272.1,394,316.7,430.2,81.6,112.1,434.4,49.3,74.1,79.8,132.1,129.8,121.2,254,385.1,498.8,352.5,24.2,25.7,166.2,127.9,220.7,342.4,361.5,89.7,232.3,47.3,276.6,186.3,163.8,336.1,353,146.2,238.1,311.4,29.6,276.7,105.2,295.9,352.6,256.7,320.6,317.2,194.4,199.5,332.4,282,384.2,83.8,229.3,111,452.5,204.8,49.2,219.4,460.2,376.9,267.7,240.9,447.6,142.6,53.7,267.3,169.9,202.1
"FayetteCounty",354,230.2,115.5,294.3,362.7,341.1,371.9,230.1,88.6,476.8,171.8,51.4,401,270.6,418.3,242.5,52.5,295.8,181.9,82.9,243.9,148.1,77,13.7,305,223.1,70.9,154.1,393.4,430.1,279.1,401,323.7,437.2,35,81.1,441.5,33.2,81.1,110.4,139.1,153.6,128.3,261,392.1,505.8,359.5,99.8,55.8,136.4,124.3,185.1,349.4,368.5,58.7,239.4,54.3,283.6,193.4,170.8,343.1,360,176.1,202.6,318.5,104.2,283.7,101.5,302.9,359.6,263.7,327.7,324.3,206.9,206.6,339.4,289,391.3,34.9,236.4,140.7,459.5,211.8,42.8,226.5,467.3,383.9,274.7,247.9,454.6,113.7,95.9,274.3,176.9,209.1
"FentressCounty",75.2,149.7,210.9,61.9,102.7,103.2,67,100.3,242.6,204.2,148.3,258.1,96.1,53.7,145.7,114.3,273.4,35.8,121.8,224.5,77.2,168.6,298,305,11.5,141.1,279.2,193.5,128.7,157.5,113.3,128.4,109.5,130.5,287.4,247.6,151.7,280.4,236.6,234.1,173.6,192.9,191.9,57.8,119.5,233.2,88.7,320.8,304.9,205.2,199.8,152.8,89.4,98.1,271.6,86.2,257.3,107.9,163.1,166.5,83.1,100,169.5,136,41.3,296.5,31.6,215.1,30.4,124,46.8,67.6,64.3,146.4,122,34.5,83.8,119.2,326.6,79.2,205.1,186.9,121.4,310,97.9,194.6,99,76.7,87.8,182,224.8,269.7,59.1,141.2,97.2
"FranklinCounty",186.3,33.7,175.1,91.2,177.1,100.9,216.8,53.9,206.7,295,117.8,190.4,224.9,139.9,236.5,24.6,237.6,112.5,93.1,145.7,77.1,132.8,262.2,223.1,141.1,12.3,243.4,68.3,211.5,248.3,39,219.2,83.6,255.4,199.2,145.7,259.6,244.6,157.6,205.4,108,158.3,156.1,110,210.3,324,177.7,285,269.1,93.3,111.5,38.9,152.3,128.4,165.9,135.1,221.5,43.5,54.3,75.4,122.7,144.9,140.8,26.8,154.5,260.6,119.8,128,139,119.5,99.8,113.5,143.8,123,70.1,175.5,69.5,209.4,257.3,94,176.4,277.7,115.7,274.2,118.8,285.4,202.1,80.2,53.4,272.8,122.9,233.9,82.2,80.9,92.9
"GibsonCounty",328.2,204.3,54.3,268.5,336.9,315.2,346.1,204.2,31.4,451,122.5,51.9,375.2,244.8,392.5,216.6,20.5,270,156,72.6,218.1,98.8,31.4,70.9,279.2,243.4,12.6,161.6,367.5,404.3,253.3,375.2,297.9,411.4,65.7,96.2,415.6,43.2,55.3,49.1,113.3,94.8,73.9,235.2,366.3,480,333.7,54.1,51.6,147.4,109.1,201.9,323.6,342.7,73.8,213.6,31.4,257.8,167.5,145,317.3,334.2,114.5,219.4,292.6,34.3,257.9,86.4,277.1,333.8,237.9,301.8,298.5,147.9,180.8,313.6,263.2,365.4,92.5,210.5,79.3,433.7,186,72.8,200.7,441.4,358.1,248.9,222.1,428.8,123.8,30.3,248.5,151.1,183.3
"GilesCounty",242.5,52,120.3,140.8,236.2,160,260.4,100.5,134.2,365.3,96.5,121.4,289.5,172,306.8,71.3,155.9,153.6,74.9,94.6,115.1,78,180.4,154.1,193.5,68.3,161.6,12.7,281.9,318.6,98.1,289.5,142.7,325.7,130.2,76.7,330,162.8,106.4,145.8,65.7,110.6,101.3,149.5,280.6,394.3,248,203.2,187.4,24.3,52.5,30.3,211.4,187.5,96.9,135.4,138.6,102.6,26,33,181.8,204,106,47.8,207,188.1,172.2,76.8,191.4,178.6,152.2,172.6,212.8,104.9,77,227.9,128.6,279.8,183.8,124.8,126.6,348,107.8,185.8,123.5,355.8,272.4,121.2,94.4,343.1,53.9,161.3,123.2,59.7,97.6
"GraingerCounty",68.8,238.1,299.2,130,51.9,116.4,72.6,179.7,330.9,94.4,236.7,346.5,40.7,162.1,53.6,186.1,361.8,101.6,210.2,312.9,165.6,256.9,386.3,393.4,128.7,211.5,367.5,281.9,8.9,54.8,178.7,24.9,140.8,35.1,375.8,335.9,39.4,368.7,324.9,322.5,262,281.3,280.3,157.2,25.6,123.3,36.1,409.1,393.3,293.6,288.2,241.3,66.2,96.3,359.9,197.1,345.6,171.9,251.5,254.9,101,78.9,257.9,207.7,87.9,384.8,137.5,303.4,157.4,137.1,135.1,107.2,70.8,234.8,210.3,98.2,151.9,47.6,415,167.6,293.5,77,209.7,398.4,186.3,92,54.3,148.4,159.6,79.4,313.1,358,130.7,229.6,185.5
"GreeneCounty",97.5,274.8,336,166.8,87,153.1,110.7,216.4,367.6,43.7,273.4,383.2,72.1,198.9,32.8,222.8,398.5,138.4,246.9,349.6,202.3,293.6,423,430.1,157.5,248.3,404.3,318.6,54.8,12.9,215.5,30.9,177.6,59.8,412.5,372.6,36.5,405.5,361.7,359.2,298.7,318,317,193.9,41.6,72.7,72.8,445.8,430,330.3,324.9,278,102.9,133,396.7,233.8,382.4,208.7,288.2,291.6,137.8,115.7,294.6,244.4,116.7,421.5,174.2,340.2,186.1,173.9,171.9,143.9,107.6,271.5,247,126.9,188.6,63.8,451.7,204.3,330.2,38.8,246.5,435.1,223,39.4,85.7,185.2,196.3,26.8,349.9,394.7,167.5,266.3,222.2
"GrundyCounty",139.4,76.5,185,49.4,144.6,85.4,167.7,58.9,216.6,262.2,127.7,232.2,196.8,112.1,203.7,43.6,247.5,78.4,103,198.6,62.5,142.6,272.1,279.1,113.3,39,253.3,98.1,178.7,215.5,9.8,186.4,63.1,222.6,261.5,175.5,226.8,254.5,210.7,215.3,147.3,168.2,166,92.4,177.5,291.2,144.9,294.9,279,123.1,155.8,68.7,119.8,112.9,195.7,122.3,231.4,24.8,97.1,122.5,100.1,117,150.7,64.3,126.7,270.5,92,174.6,111.2,104,72,72.2,109.7,132.9,80,147.7,33.3,176.6,300.7,92.7,186.3,244.9,125.6,284.1,111.4,252.6,169.3,39.3,38.8,240,152.7,243.8,54.4,104.2,102.8
"HamblenCounty",68.4,245.7,306.9,137.7,59.6,124,81.7,187.3,338.5,77.6,244.3,354.1,42.2,169.8,25.4,193.7,369.4,109.3,217.8,320.5,173.2,264.5,394,401,128.4,219.2,375.2,289.5,24.9,30.9,186.4,6.8,148.5,31.1,383.4,343.6,35.3,376.4,332.6,330.1,269.6,288.9,287.9,164.9,18.6,106.6,43.8,416.7,400.9,301.2,295.8,248.9,73.8,103.9,367.6,204.7,353.3,179.6,259.1,262.5,108.7,86.6,265.5,215.4,87.6,392.4,145.1,311.1,157,144.8,142.8,114.8,78.5,242.4,217.9,97.8,159.6,40.8,422.6,175.2,301.1,60.3,217.4,406,193.9,68,55.8,156.1,167.2,55.4,320.8,365.6,138.4,237.2,193.1
"HamiltonCounty",115.6,121.1,229.6,55.8,106.4,30.2,146.1,108.4,261.2,224.3,172.3,276.8,154.2,135.7,165.8,88.2,292.1,77.3,147.6,243.2,102.5,187.2,316.7,323.7,109.5,83.6,297.9,142.7,140.8,177.6,63.1,148.5,12.3,184.7,281.5,220.1,188.9,299.1,255.3,259.9,191.9,212.8,210.6,115.9,139.6,253.3,106.9,339.4,323.6,167.7,200.4,113.3,81.6,57.7,257.1,155.8,276,44,141.7,167.1,43,74.2,195.3,108.9,94.4,315.1,115.6,219.2,134.8,48.8,95.5,42.2,74.5,177.5,124.6,124.8,39.6,138.7,345.3,126.3,230.9,207,170.2,328.7,145,214.7,131.4,62.9,74.5,202.1,197.3,288.4,78,148.8,147.4
