County,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
CumberlandCounty,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002
DaviessCounty,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002
EdmonsonCounty,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002
ElliottCounty,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002
EstillCounty,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002
FayetteCounty,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002
FlemingCounty,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002
FloydCounty,1.481106458,1.481106458,1.481106458,1.481106458,1.481106458,1.481106458,1.481106458,1.481106458,1.481106458,1.481106458,1.481106458,1.481106458,1.481106458
FranklinCounty,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002
FultonCounty,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002,1.3577107000000002
