"FAFZone","AdairCounty","AdamsCounty","AllamakeeCounty","AppanooseCounty","AudubonCounty","BentonCounty","BlackHawkCounty","BooneCounty","BremerCounty","BuchananCounty","BuenaVistaCounty","ButlerCounty","CalhounCounty","CarrollCounty","CassCounty","CedarCounty","CerroGordoCounty","CherokeeCounty","ChickasawCounty","ClarkeCounty","ClayCounty","ClaytonCounty","ClintonCounty","CrawfordCounty","DallasCounty","DavisCounty","DecaturCounty","DelawareCounty","DesMoinesCounty","DickinsonCounty","DubuqueCounty","EmmetCounty","FayetteCounty","FloydCounty","FranklinCounty","FremontCounty","GreeneCounty","GrundyCounty","GuthrieCounty","HamiltonCounty","HancockCounty","HardinCounty","HarrisonCounty","HenryCounty","HowardCounty","HumboldtCounty","IdaCounty","IowaCounty","JacksonCounty","JasperCounty","JeffersonCounty","JohnsonCounty","JonesCounty","KeokukCounty","KossuthCounty","LeeCounty","LinnCounty","LouisaCounty","LucasCounty","LyonCounty","MadisonCounty","MahaskaCounty","MarionCounty","MarshallCounty","MillsCounty","MitchellCounty","MononaCounty","MonroeCounty","MontgomeryCounty","MuscatineCounty","OBrienCounty","OsceolaCounty","PageCounty","PaloAltoCounty","PlymouthCounty","PocahontasCounty","PolkCounty","PottawattamieCounty","PoweshiekCounty","RinggoldCounty","SacCounty","ScottCounty","ShelbyCounty","SiouxCounty","StoryCounty","TamaCounty","TaylorCounty","UnionCounty","VanBurenCounty","WapelloCounty","WarrenCounty","WashingtonCounty","WayneCounty","WebsterCounty","WinnebagoCounty","WinneshiekCounty","WoodburyCounty","WorthCounty","WrightCounty"
"63",1707.8,1689.7,1952,1775.1,1684,1847.9,1853.4,1760.5,1871.4,1878.7,1735.2,1858.5,1737,1713.1,1668.8,1886.3,1860.1,1743.1,1891.7,1737.2,1761.9,1930.6,1932.4,1677.1,1730.6,1797.9,1726.1,1901.5,1926.4,1783.3,1933.4,1810.3,1906.2,1880.5,1833.9,1624.3,1736.2,1825.9,1707.4,1795.4,1860.2,1819.5,1644.7,1900.4,1923.6,1782.7,1715.6,1826.8,1935,1775.2,1860.5,1853.5,1899.4,1846.7,1816.2,1862.7,1875,1898.3,1762.7,1769.7,1732.8,1809.9,1785.4,1789.9,1636.6,1896.4,1680.4,1806.6,1662.2,1897.8,1772.3,1784.8,1646.9,1787.1,1723.6,1762.9,1747.2,1625.6,1801.6,1704.2,1714.4,1906.2,1664.6,1746.4,1775.6,1817.3,1678.6,1712.5,1831.2,1832.8,1759,1870.9,1752.3,1762.1,1878.4,1948.7,1709.7,1880.1,1832.3
"64",1773.96666666666,1755.85,2018.15833333334,1841.20833333334,1750.15833333334,1914.07916666667,1919.525,1826.65833333334,1937.54166666666,1944.875,1801.30833333333,1924.69166666667,1803.19166666667,1779.25,1734.96666666666,1952.49166666666,1926.26666666667,1809.225,1957.85,1803.30833333333,1828.04166666666,1996.76666666667,1998.525,1743.27916666667,1796.75,1864.10833333333,1792.29166666666,1967.67916666667,1992.53333333334,1849.43333333333,1999.55833333333,1876.46666666666,1972.35,1946.63333333334,1900.08333333334,1690.45833333334,1802.35,1892.06666666667,1773.57916666667,1861.58333333334,1926.35,1885.63333333334,1710.83333333334,1966.58333333334,1989.74166666666,1848.85,1781.725,1892.97916666666,2001.14166666667,1841.38333333334,1926.65833333334,1919.67916666667,1965.55833333333,1912.83333333334,1882.39166666667,1928.89166666667,1941.15833333334,1964.49166666666,1828.80833333333,1835.83333333334,1798.96666666666,1876.03333333334,1851.55833333333,1856.03333333334,1702.70833333334,1962.55833333333,1746.53333333334,1872.79166666666,1728.375,1963.97916666666,1838.49166666666,1850.90833333334,1713.07916666667,1853.20833333334,1789.79166666666,1829.03333333334,1813.39166666667,1691.77916666667,1867.79166666666,1770.35,1780.58333333334,1972.39166666667,1730.75,1812.53333333334,1841.76666666667,1883.43333333333,1744.725,1778.69166666667,1897.375,1898.99166666666,1825.15833333334,1937.05833333333,1818.49166666666,1828.29166666666,1944.55833333333,2014.85,1775.80833333333,1946.26666666667,1898.40833333334
"65",1798,1779.9,2042.2,1865.25,1774.2,1938.1,1943.55,1850.7,1961.6,1968.9,1825.35,1948.75,1827.25,1803.3,1759,1976.55,1950.3,1833.25,1981.9,1827.35,1852.1,2020.8,2022.55,1767.3,1820.8,1888.15,1816.35,1991.7,2016.6,1873.5,2023.6,1900.5,1996.4,1970.7,1924.1,1714.5,1826.4,1916.1,1797.6,1885.6,1950.4,1909.7,1734.9,1990.6,2013.8,1872.9,1805.75,1917,2025.2,1865.4,1950.7,1943.7,1989.6,1936.9,1906.45,1952.95,1965.2,1988.55,1852.85,1859.9,1823,1900.1,1875.6,1880.05,1726.75,1986.6,1770.6,1896.85,1752.4,1988,1862.55,1874.95,1737.1,1877.25,1813.85,1853.1,1837.45,1715.8,1891.85,1794.4,1804.6,1996.45,1754.8,1836.55,1865.8,1907.5,1768.8,1802.75,1921.4,1923.05,1849.2,1961.1,1842.55,1852.35,1968.6,2038.9,1799.85,1970.3,1922.45
"69",1738.79677419355,1720.67096774193,1983.70322580645,1806.51612903226,1714.98387096774,1878.90967741935,1884.35483870968,1791.48387096774,1902.36774193548,1909.69032258064,1766.14838709677,1889.54193548387,1768.04193548387,1744.07741935484,1699.79677419355,1917.33225806451,1892.34193548387,1774.05483870968,1924.33548387097,1768.8064516129,1794.05806451613,1961.59677419355,1963.35483870968,1708.12258064516,1761.57741935484,1829.4129032258,1757.60967741935,1932.51774193548,1956.43870967742,1814.15806451613,1964.38064516129,1840.98064516129,1937.17419354839,1911.46129032258,1864.93225806452,1655.28064516129,1767.17096774193,1856.89677419355,1738.40967741935,1826.43225806452,1891.44193548387,1850.46129032258,1675.65806451613,1930.78387096774,1954.5,1813.67419354839,1746.55483870968,1857.81129032258,1965.97258064516,1806.22258064516,1891.4064516129,1884.51774193548,1930.38064516129,1878.13225806452,1848.20322580645,1893.43225806452,1905.98387096774,1929.74193548387,1794.3064516129,1799.1064516129,1763.79677419355,1841.75483870968,1816.38387096774,1820.85806451613,1667.54838709678,1927.43548387097,1711.36451612903,1837.73225806452,1693.19032258064,1928.81290322581,1803.2064516129,1814.53548387097,1677.90967741935,1819.06451612903,1754.64193548387,1793.86451612903,1778.23225806452,1656.62258064516,1832.62903225807,1736.26129032258,1745.43225806452,1937.23225806452,1695.57741935484,1777.2064516129,1806.5935483871,1848.25806451613,1710.82903225807,1743.54193548387,1862.65806451613,1863.7935483871,1791.11612903226,1902.34516129032,1783.80322580645,1793.12903225807,1908.56774193548,1979.6129032258,1740.65806451613,1911.14516129032,1863.25483870968
"81",653.791666666667,635.675,897.991666666667,723.470833333334,629.991666666667,793.908333333333,799.3375,706.491666666667,817.375,824.7,681.129166666666,804.520833333333,683.020833333333,659.075,614.791666666667,832.320833333333,806.091666666667,689.045833333333,837.691666666667,686.045833333333,707.875,876.591666666667,878.3375,623.108333333333,676.575,746.379166666666,674.5625,847.504166666666,871.208333333333,729.254166666666,879.383333333333,756.291666666667,852.191666666667,826.4625,779.920833333333,570.283333333333,682.175,771.9,653.408333333333,741.420833333333,806.191666666667,765.4625,590.654166666666,845.979166666667,869.566666666667,728.691666666667,661.545833333333,772.804166666667,880.966666666667,721.2125,807.525,799.504166666666,845.383333333333,792.654166666666,762.2125,811.1625,820.991666666667,844.320833333333,711.545833333333,715.654166666666,678.791666666667,755.866666666667,731.383333333333,735.8625,582.529166666666,842.383333333333,626.366666666667,754.1125,608.2,843.804166666667,718.320833333333,730.745833333334,592.908333333333,733.029166666666,669.620833333334,708.866666666667,693.2125,571.608333333333,747.620833333334,651.529166666667,660.420833333333,852.2125,610.575,692.3625,721.591666666667,763.254166666666,627.220833333334,658.520833333333,779.641666666667,779.954166666667,704.991666666667,816.883333333333,700.7625,708.120833333334,824.383333333333,894.691666666667,655.6375,826.091666666667,778.245833333334
"89",764.590384615385,745.628846153846,1008.63942307692,828.467307692308,740.7875,904.557692307692,910.007692307692,817.354807692308,928.032692307692,935.35,791.934615384615,915.178846153846,793.826923076923,769.885576923077,725.590384615385,942.970192307693,916.748076923077,799.85,948.342307692308,792.126923076923,818.676923076923,987.248076923077,989.005769230769,733.9,787.3875,851.357692307692,779.549038461538,958.155769230769,964.438461538462,840.059615384615,990.033653846154,867.092307692308,962.842307692308,937.128846153846,890.566346153847,680.420192307693,792.976923076923,882.551923076923,764.2,852.066346153847,916.842307692308,876.126923076923,701.457692307692,941.448076923077,980.225,839.486538461539,772.35,883.451923076923,991.632692307692,831.857692307692,907.246153846154,910.155769230769,956.033653846154,900.613461538462,873.008653846153,916.148076923077,931.639423076923,951.913461538462,817.626923076923,826.455769230769,789.407692307692,865.811538461538,841.505769230769,846.515384615385,692.773076923077,953.033653846154,737.171153846154,855.698076923077,718.430769230769,954.451923076923,829.126923076923,841.548076923077,703.032692307692,843.838461538462,780.423076923077,819.671153846154,803.864423076923,682.398076923077,858.271153846154,758.542307692308,771.2125,962.864423076923,721.383653846153,803.159615384615,832.248076923077,873.915384615385,733.536538461538,768.426923076923,884.620192307692,880.394230769231,816.078846153846,924.788461538462,805.749038461538,818.917307692308,935.033653846154,1005.3423076923,766.446153846154,936.748076923077,888.903846153846
"91",1278.53333333333,1318.26666666667,1177.1,1215,1288.7,1159.23333333333,1189.4,1260.1,1207.75,1175.53333333333,1370.1,1229.8,1328.1,1304.7,1302.9,1096.46666666667,1283.23333333333,1393.2,1228.05,1269.7,1395.7,1144.25,1056.7,1327.33333333333,1241.7,1194.9,1293.86666666667,1124.6,1126,1421.2,1094.86666666667,1396.1,1174.6,1248.43333333333,1253.6,1380.8,1282.8,1216.53333333333,1264.33333333333,1276.46666666667,1304.2,1243.7,1360.6,1136.03333333333,1223.7,1327.9,1362.5,1136.43333333333,1104,1189.2,1152.2,1111.6,1123.2,1166.3,1336.53333333333,1145.6,1140.5,1104.5,1241.3,1463.5,1257.6,1193.3,1217.8,1213.4,1359.7,1267.7,1365.9,1198.86666666667,1338.1,1081.83333333333,1417.96666666667,1440.5,1354.9,1372.3,1439.6,1348.1,1220.13333333333,1342.03333333333,1162.13333333333,1312.9,1354.83333333333,1059.9,1327.1,1462.3,1234.76666666667,1187.4,1343.3,1296.5,1177.1,1174.4,1235.3,1126.2,1261.6,1303.26666666667,1317.3,1197.1,1425.6,1291.4,1280.1
"92",1242.23333333333,1281.93333333333,1140.8,1178.66666666667,1252.4,1122.93333333333,1153.06666666667,1223.76666666667,1171.43333333333,1139.23333333333,1333.73333333333,1193.46666666667,1291.8,1268.4,1266.56666666667,1060.13333333333,1246.93333333333,1356.9,1191.76666666667,1233.36666666667,1359.4,1107.93333333333,1020.36666666667,1291.03333333333,1205.4,1158.56666666667,1257.53333333333,1088.3,1089.66666666667,1384.86666666667,1058.53333333333,1359.76666666667,1138.3,1212.13333333333,1217.26666666667,1344.43333333333,1246.5,1180.23333333333,1228.03333333333,1240.13333333333,1267.9,1207.36666666667,1324.26666666667,1099.73333333333,1187.36666666667,1291.63333333333,1326.16666666667,1100.13333333333,1067.66666666667,1152.86666666667,1115.86666666667,1075.23333333333,1086.83333333333,1129.96666666667,1300.23333333333,1109.23333333333,1104.23333333333,1068.16666666667,1205,1427.16666666667,1221.33333333333,1156.96666666667,1181.53333333333,1177.06666666667,1323.36666666667,1231.4,1329.56666666667,1162.53333333333,1301.8,1045.53333333333,1381.63333333333,1404.16666666667,1318.56666666667,1335.96666666667,1403.23333333333,1311.76666666667,1183.83333333333,1305.73333333333,1125.83333333333,1276.63333333333,1318.53333333333,1023.56666666667,1290.8,1425.96666666667,1198.43333333333,1151.06666666667,1306.96666666667,1260.23333333333,1140.83333333333,1138.06666666667,1199.03333333333,1089.86666666667,1225.23333333333,1266.93333333333,1281.03333333333,1160.83333333333,1389.26666666667,1255.13333333333,1243.76666666667
"99",1302.85,1342.55,1201.4,1239.25,1313.05,1183.55,1213.7,1284.35,1232.075,1199.85,1394.35,1254.05,1352.45,1329.05,1327.25,1120.75,1307.55,1417.55,1252.4,1293.95,1420.05,1168.575,1080.95,1351.65,1266.05,1219.25,1318.15,1148.95,1150.3,1445.45,1119.15,1420.35,1198.95,1272.75,1277.85,1405.05,1307.15,1240.85,1288.65,1300.75,1328.55,1267.95,1384.85,1160.35,1247.95,1352.25,1386.75,1160.75,1128.3,1213.45,1176.45,1135.85,1147.45,1190.55,1360.85,1169.85,1164.85,1128.75,1265.65,1487.8,1281.95,1217.55,1242.15,1237.65,1383.95,1292.05,1390.2,1223.15,1362.4,1106.15,1442.25,1464.75,1379.15,1396.55,1463.85,1372.35,1244.45,1366.35,1186.45,1337.25,1379.15,1084.15,1351.45,1486.55,1259.05,1211.65,1367.55,1320.85,1201.45,1198.75,1259.65,1150.45,1285.85,1327.55,1341.65,1221.45,1449.85,1315.75,1304.35
"101",1140.675,1180.375,1039.225,1052.075,1150.825,1021.375,1051.525,1122.225,1069.875,1037.675,1232.175,1091.875,1190.225,1166.825,1165.025,958.575,1145.375,1255.325,1090.175,1131.775,1257.825,1006.375,918.825,1189.475,1103.825,1026.975,1155.975,986.725,961.925,1283.275,956.975,1258.225,1036.725,1110.575,1115.725,1242.875,1144.925,1078.675,1126.475,1138.575,1166.325,1105.775,1222.725,985.15,1085.825,1190.025,1224.625,998.575,966.125,1051.325,1014.275,973.675,985.275,1028.425,1198.675,971.375,1002.625,966.625,1103.425,1325.625,1119.775,1055.375,1079.925,1075.975,1221.775,1129.825,1228.025,1060.975,1200.225,943.975,1280.075,1302.625,1217.025,1234.375,1301.675,1210.225,1082.275,1204.175,1024.275,1175.025,1216.925,921.975,1189.225,1324.425,1096.875,1049.525,1205.425,1158.625,1015.05,1036.525,1097.425,988.325,1076.375,1165.375,1179.425,1059.275,1287.725,1153.525,1142.225
