"County","AlamanceCounty","AlexanderCounty","AlleghanyCounty","AnsonCounty","AsheCounty","AveryCounty","BeaufortCounty","BertieCounty","BladenCounty","BrunswickCounty","BuncombeCounty","BurkeCounty","CabarrusCounty","CaldwellCounty","CamdenCounty","CarteretCounty","CaswellCounty","CatawbaCounty","ChathamCounty","CherokeeCounty","ChowanCounty","ClayCounty","ClevelandCounty","ColumbusCounty","CravenCounty","CumberlandCounty","CurrituckCounty","DareCounty","DavidsonCounty","DavieCounty","DuplinCounty","DurhamCounty","EdgecombeCounty","ForsythCounty","FranklinCounty","GastonCounty","GatesCounty","GrahamCounty","GranvilleCounty","GreeneCounty","GuilfordCounty","HalifaxCounty","HarnettCounty","HaywoodCounty","HendersonCounty","HertfordCounty","HokeCounty","HydeCounty","IredellCounty","JacksonCounty","JohnstonCounty","JonesCounty","LeeCounty","LenoirCounty","LincolnCounty","McDowellCounty","MaconCounty","MadisonCounty","MartinCounty","MecklenburgCounty","MitchellCounty","MontgomeryCounty","MooreCounty","NashCounty","NewHanoverCounty","NorthamptonCounty","OnslowCounty","OrangeCounty","PamlicoCounty","PasquotankCounty","PenderCounty","PerquimansCounty","PersonCounty","PittCounty","PolkCounty","RandolphCounty","RichmondCounty","RobesonCounty","RockinghamCounty","RowanCounty","RutherfordCounty","SampsonCounty","ScotlandCounty","StanlyCounty","StokesCounty","SurryCounty","SwainCounty","TransylvaniaCounty","TyrrellCounty","UnionCounty","VanceCounty","WakeCounty","WarrenCounty","WashingtonCounty","WataugaCounty","WayneCounty","WilkesCounty","WilsonCounty","YadkinCounty","YanceyCounty"
"BuncombeCounty",192.7,96.6,135.4,183,111.2,65.2,357.9,357.8,284.9,330,13.2,58.4,132.6,73,406.3,391.1,216.1,79.5,212,108.4,373.3,101.5,84.4,290.9,357.2,265.8,417.6,433.8,144,124.8,325.8,223.1,300.4,145.6,263.1,106.8,368.9,101.3,251.3,316.3,166.5,306.3,256.6,27.3,25.3,352.2,236.5,414.8,105.2,52.6,273,347.8,228.1,322.8,92.7,34.4,70.2,24.3,331.1,129.1,53.8,179.2,217.1,283.3,335.2,321.5,372,213.4,378.2,397.9,354.7,383,236.7,326,42.1,172.5,208.7,253.2,183,130.7,46.3,313,229.5,164.1,166.2,154.4,64.8,38.8,397.1,155.9,261.3,244,280.5,364.8,80.9,300,108.6,290.2,136.9,37.6
"BurkeCounty",137.2,41.1,108.1,127.4,75.2,40.3,302.4,302.2,229.3,274.5,58.4,11.7,77,19.9,350.7,335.5,160.6,24,156.4,165,317.8,158.1,43,235.4,301.6,210.3,362.1,378.3,88.5,69.2,270.2,167.6,244.8,90.1,207.5,51.2,313.3,157.9,195.7,260.7,110.9,250.8,201,83.9,76.2,296.7,180.9,359.3,49.7,109.3,217.4,292.2,172.6,267.2,37.2,27.3,126.8,82.5,275.6,73.5,54.4,123.7,161.5,227.8,279.7,265.9,316.4,157.9,322.6,342.3,299.1,327.4,181.1,270.4,58.6,116.9,153.1,197.7,127.5,75.2,37,257.4,173.9,108.5,110.6,98.9,121.4,90.3,341.6,100.4,205.8,188.5,225,309.3,48.5,244.5,55.4,234.6,81.3,58.6
"CabarrusCounty",92.3,64.3,105.9,54.7,113.5,116.9,239.1,247.4,156.6,201.7,132.6,77,9.8,76.4,295.9,266.3,115.7,53.1,89,240.7,262.9,233.8,66.7,162.6,232.4,120.6,307.3,323.4,42,42.1,201,122.7,190,59.4,162.6,39.8,268.4,233.6,150.8,197.5,70.7,203.8,121.8,159.6,122.8,251.8,102.5,296,40.4,184.9,148.2,223,105.1,198,39.9,101.5,202.5,156.7,220.8,23.7,128.6,48.4,83.1,172.9,206.9,221,247.2,112.9,253.4,287.5,229.9,272.6,136.2,207.2,102.9,59.6,80.4,124.9,102.4,16.8,89.9,151.8,101.2,33.1,83.7,80.5,197.1,145.7,286.7,40.1,160.8,124.1,180.1,254.4,106.9,175.2,82.4,171.4,60.2,132.8
"CaldwellCounty",136.5,21.9,68.2,126.8,57.2,51.3,301.7,301.6,228.6,273.8,73,19.9,76.4,11.2,350.1,334.9,159.9,23.3,155.8,179.6,317.1,172.7,52.8,234.7,301,209.6,361.4,377.6,87.8,68.6,269.6,166.9,244.2,89.4,206.9,50.6,312.6,172.6,195.1,260.1,110.3,250.1,200.4,98.5,90.8,296,180.3,358.6,49,123.9,216.8,291.6,171.9,266.6,36.5,41.9,141.4,97.2,274.9,72.9,69,123,160.9,227.1,279,265.2,315.8,157.2,322,341.7,298.5,326.8,180.5,269.8,73.2,116.3,152.5,197,126.8,74.5,51.6,256.8,173.3,107.9,110,78.4,136.1,104.9,340.9,99.7,205.1,187.8,224.3,308.6,30.5,243.8,37.5,233.9,60.9,73.3
"CamdenCounty",215.6,326.2,335.7,289.7,350,376.1,92.7,64.9,220.4,248.7,406.3,350.7,295.9,350.1,9,162.6,205,328.9,212.1,512.9,39,506,355.9,246.8,128.7,199.4,14.4,63.9,265.1,285.1,170.7,184.8,107.6,264.9,153.2,329,41.8,505.8,163.9,127.7,240.4,108.3,194,431.8,412,60.9,223.3,90.4,309.4,457.1,154.5,148.4,213.5,137.5,333.7,375.1,474.7,430.4,73.8,312.9,402.3,261.4,236.4,126.5,218.9,93.1,163.2,206.1,134.6,8.8,197.5,25,184.7,107.1,392.1,247.3,264.3,234.1,238.1,288.9,379.2,189.1,241.2,282.6,289.9,303.3,469.3,438.2,67.7,318.4,146.7,173.5,128.4,54.6,350.9,150.6,318.9,125,291.5,406.5
"CarteretCounty",200.4,311,320.5,226.7,334.8,360.9,82.4,114.1,129,123.9,391.1,335.5,266.3,334.9,162.6,18.9,209.8,313.7,182.4,497.7,129.6,490.8,326.3,147.4,34.7,142.3,174,184.1,235.5,269.9,83.2,169.5,115.3,249.7,155.1,299.4,152.3,490.6,188.1,87.8,225.2,159.3,158.6,416.6,382.5,133.2,165,139.3,294.2,441.9,120,58,174.7,70.5,304.1,360,459.5,415.2,96,283.3,387,223.7,198.8,138.2,90.1,159.1,38.5,179,53.1,154.2,78.9,139.3,197.3,81.7,362.5,217.7,203.5,160.1,251.8,259.3,349.6,110,182.9,253,274.7,288.1,454.1,423,147.4,255.4,181.1,150.3,187.2,115.1,335.6,98.8,303.7,111.2,276.3,391.3
"CaswellCounty",35.8,136.1,145.5,146.8,159.9,185.9,176.1,176,167.3,224.6,216.1,160.6,115.7,159.9,205,209.8,10.7,138.7,68.9,322.8,191.5,315.8,181.6,193.1,175.9,130.9,235.8,252,76,95,144.4,41.3,118.5,66.9,81.2,153,165.9,315.7,46,134.5,50.3,110.3,92.2,241.6,234.6,149.3,124.6,233,119.3,267,91.6,166.4,79.3,141.4,144.7,185,284.5,240.3,149.3,136.9,212.1,105,102.2,101.5,194.8,118.5,190.6,33.3,196.8,216,173.4,201.1,20.6,144.1,216,68.3,132.7,165.6,33.1,99.8,194.7,131.7,129.6,112.7,66.5,99.9,279.1,248,215.3,154.2,58.4,63.9,77.6,183,160.7,118.7,128.8,108.3,101.3,216.4
"CatawbaCounty",115.3,19.2,86.3,109.8,71.9,63.8,280.5,280.4,211.6,256.8,79.5,24,53.1,23.3,328.9,313.7,138.7,10.5,134.6,186.1,295.9,179.2,41.1,217.7,279.8,188.4,340.2,356.4,66.6,47.3,248.4,145.7,223,68.2,185.7,33.6,291.5,179.1,173.9,238.9,89.1,228.9,179.2,105,97.3,274.8,159.1,337.4,27.8,130.4,195.6,270.4,150.7,245.4,19.5,48.4,147.9,103.7,253.7,55.9,75.5,101.8,139.7,205.9,262,244,294.5,136,300.8,320.5,277.3,305.5,159.3,248.6,79.7,95.1,135.5,180,105.6,53.3,58.1,235.6,156.3,84.6,88.8,77,142.6,111.4,319.7,82.7,183.9,166.6,203.1,287.4,53.8,222.6,47.4,212.8,59.5,79.8
"ChathamCounty",35.7,131.9,141.4,109.8,155.7,181.8,155.3,163.6,111.2,166.1,212,156.4,89,155.8,212.1,182.4,68.9,134.6,13.7,318.6,179.1,311.6,150.8,138.7,148.6,67.9,223.4,239.6,58.2,90.8,117.2,38.4,106.1,70.6,81.3,122.1,185.2,311.5,67.1,113.7,46.1,119.9,58.5,237.5,205.1,166.6,73,212.2,115.1,262.8,64.3,139.1,27.7,114.2,126.8,180.8,280.4,236.1,136.9,106,207.9,68,50.6,89.1,167.5,137.8,163.3,33.6,169.5,203.6,146.1,188.7,65.6,123.3,185.2,40.4,78.5,106,72.7,82,172.3,104.4,78,75.7,95.6,108.9,275,243.9,202.9,112.5,77.2,40.3,96.4,170.6,156.5,91.4,124.6,87.5,97.2,212.2
"CherokeeCounty",299.4,203.2,242,277.7,217.8,171.8,464.5,464.4,379.6,424.7,108.4,165,240.7,179.6,512.9,497.7,322.8,186.1,318.6,11.1,479.9,19,180.8,385.6,463.8,361.1,524.3,540.4,250.7,231.4,432.4,329.8,407,252.3,369.7,201.5,475.5,36.1,357.9,422.9,273.1,413,363.2,81.5,121.7,458.9,339.5,521.4,211.8,66.9,379.6,454.4,334.7,429.4,199.3,141,52,127.9,437.8,223.8,157.4,285.1,323.7,390,429.9,428.1,478.6,320,484.8,504.5,461.3,489.6,343.3,432.6,138.6,279.1,303.4,348,289.7,237.4,153,419.6,324.2,263.3,272.8,261.1,44.9,105.4,503.7,250.6,367.9,350.6,387.1,471.4,187.5,406.6,215.2,396.8,243.5,141.2
"ChowanCounty",182.6,293.3,302.7,256.7,317.1,343.1,61.6,31.9,187.4,215.8,373.3,317.8,262.9,317.1,39,129.6,191.5,295.9,179.1,479.9,7.9,473,322.9,213.9,95.7,166.4,50.4,81.3,232.1,252.1,137.8,151.8,74.6,231.9,120.2,296.1,35,472.9,155.7,94.7,207.4,101.5,161,398.8,379.1,54.1,190.3,67.2,276.5,424.1,121.5,115.4,180.6,104.6,300.8,342.2,441.7,397.5,40.8,279.9,369.3,228.4,203.5,93.5,186,86.3,130.2,173.1,101.6,30.6,164.5,15.7,179.1,74.1,359.1,214.4,231.4,201.1,234.1,255.9,346.2,156.1,208.2,249.6,256.9,270.3,436.3,405.2,44.6,285.4,146.3,140.5,121.6,31.5,317.9,117.7,285.9,92,258.5,373.5
"ClayCounty",292.4,196.3,235.1,270.8,210.9,164.9,457.6,457.5,371.9,405.6,101.5,158.1,233.8,172.7,506,490.8,315.8,179.2,311.6,19,473,7.6,173.9,373.6,456.9,354.1,517.3,533.5,243.7,224.4,425.5,322.8,400,245.3,362.8,194.6,468.5,54.6,350.9,416,266.2,406,356.3,74.5,114.8,451.9,332.6,514.5,204.9,55.7,372.6,447.5,327.8,422.5,192.4,134.1,33.1,121,430.8,216.9,150.4,278.2,316.8,383,417.9,421.1,471.6,313.1,477.8,497.5,454.4,482.6,336.4,425.6,131.6,272.2,296.5,344.5,282.7,230.4,146,412.7,317.3,256.4,265.9,254.1,63.4,86.5,496.8,243.7,361,343.7,380.2,464.5,180.5,399.7,208.3,389.8,236.6,134.3
"ClevelandCounty",158.2,59,126.1,105.5,111.7,75.1,300.9,309.2,207.4,252.5,84.4,43,68.5,52.8,357.7,328.1,181.6,41.1,150.8,180.8,324.7,173.9,11.1,213.4,294.2,188.9,369.1,385.2,107.9,87.2,250.3,188.6,251.8,108,228.6,29.3,334.4,173.7,216.8,259.3,128.9,265.5,186.3,99.7,63,317.7,167.3,357.8,60.5,125,210,284.8,166.9,259.8,26.6,49.8,142.6,103.9,282.5,51.6,76.8,112.9,147.6,234.7,257.7,287,296.5,178.9,315.2,349.3,272.6,334.4,202.2,269,43,121.4,131.2,175.7,145.4,82.7,30.1,223.8,152,91.1,128.6,116.8,137.2,85.8,348.5,78.4,226.8,185.9,246,316.2,83.2,237,87.2,233.2,99.3,81.1
"ColumbusCounty",159.7,218.7,260.3,108,268,275.2,176,198.3,30.7,41.4,290.9,235.4,162.6,234.7,246.8,147.4,193.1,217.7,138.7,385.6,213.9,373.6,213.4,15.9,133.6,72.3,258.2,274.4,169,194.3,85.9,152.9,169.7,197.2,161.6,184.8,220.7,378.6,171.4,122.2,172.7,183.5,96.1,304.5,267.8,201.3,69.1,232.9,194.8,329.9,112.8,128.5,106.1,115.8,188.6,259.8,347.4,308.8,171.7,158.3,286.9,132,99.9,153.5,59.4,201.4,103.2,162.3,154.5,238.4,74.2,223.5,180.7,142.9,247.8,151.3,89.4,45.4,204.5,169.3,234.9,64.7,70.8,138.1,222.2,235.6,342,290.6,237.7,136.8,174,133.6,188.6,205.4,265.2,98.9,236.8,124.6,223.8,291.1
"CravenCounty",166.5,277.1,286.6,215.7,300.9,327,48.5,80.2,123.9,121.8,357.2,301.6,232.4,301,128.7,34.7,175.9,279.8,148.6,463.8,95.7,456.9,292.4,133.6,14.2,130.1,140.1,150.2,201.6,236,69.8,135.6,81.4,215.8,121.2,265.5,118.4,456.7,154.2,53.9,191.3,125.4,124.7,382.7,348.6,99.3,154,105.4,260.4,408,86.1,24.1,140.8,36.7,270.2,326.1,425.6,381.3,62.1,249.4,353.2,189.8,164.9,104.3,88.1,125.2,38.9,145.1,21.8,120.3,73.6,105.4,163.4,47.8,328.6,183.8,192.5,164.8,217.9,225.4,315.7,92.6,171.9,219.1,240.8,254.2,420.2,389.1,113.6,244.4,147.2,116.4,153.3,81.2,301.8,64.9,269.8,77.3,242.4,357.4
"CumberlandCounty",88.9,185.8,195.2,83.4,209.6,235.6,140.9,150.9,43,97.9,265.8,210.3,120.6,209.6,199.4,142.3,130.9,188.4,67.9,361.1,166.4,354.1,188.9,72.3,130.1,13.2,210.7,226.9,112,144.6,60.5,90.7,107.6,124.4,99.4,160.2,186.6,354,109.3,91.2,99.9,121.3,25.7,280,243.2,153.9,21.8,197.8,169,305.3,50.7,120.7,35.3,83.6,164,234.7,322.9,290,124.2,133.8,261.8,73.9,46.3,91.3,95.7,139.2,106.7,100.1,151.1,191,89.4,176.1,118.5,108.9,223.3,94.3,60.3,39.6,126.6,126.1,210.4,34,39.7,95.2,149.4,162.8,317.5,266.1,190.2,112.2,111.8,71.4,126.4,157.9,210.4,60.9,178.4,77.2,151,266
"CurrituckCounty",226.9,337.6,347.1,301,361.4,387.5,104.1,76.3,231.8,260.1,417.6,362.1,307.3,361.4,14.4,174,235.8,340.2,223.4,524.3,50.4,517.3,367.3,258.2,140.1,210.7,11.8,53.8,276.4,296.5,182.1,196.1,119,276.2,164.5,340.4,54.8,517.2,176.9,139.1,251.8,121.3,205.4,443.1,423.4,73.9,234.7,101.8,320.8,468.5,165.9,159.8,224.9,148.9,345.1,386.5,486.1,441.8,85.1,324.3,413.6,272.8,247.8,137.8,230.3,106.1,174.6,217.4,145.9,20.2,208.9,36.4,197.7,118.5,403.5,258.7,275.7,245.4,260.9,300.2,390.5,200.5,252.6,293.9,301.3,314.6,480.7,449.5,79.1,329.8,159.7,184.8,141.4,66,362.2,162,330.3,136.4,302.9,417.9
"DareCounty",243.1,353.8,363.2,317.2,377.5,403.6,110.3,103.1,247.9,276.3,433.8,378.3,323.4,377.6,63.9,184.1,252,356.4,239.6,540.4,81.3,533.5,383.4,274.4,150.2,226.9,53.8,20.3,292.6,312.6,198.2,212.3,135.1,292.4,180.7,356.6,104.2,533.3,216.2,155.2,267.9,175.6,221.5,459.3,439.6,123.3,250.8,73.3,337,484.6,182,169.9,241.1,165.1,361.2,402.7,502.2,457.9,101.7,340.4,429.8,288.9,264,154,233.9,155.6,184.7,233.6,156.1,69.6,225,81.1,239.5,134.6,419.6,274.8,291.8,261.6,294.5,316.4,406.7,216.6,268.7,310.1,317.4,330.8,496.8,465.7,52.2,345.9,206.8,201,194.5,72.3,378.4,178.2,346.4,152.5,319,434
"DavidsonCounty",52.6,64,93.3,70.2,107.6,128.4,208.3,216.6,145.5,208.1,144,88.5,42,87.8,265.1,235.5,76,66.6,58.2,250.7,232.1,243.7,106.2,169,201.6,112,276.4,292.6,12.3,25.6,170.2,83,159.1,24.5,122.9,79.3,228.7,243.6,111.1,166.7,31.1,172.9,102.8,169.5,162.3,212.1,92.8,265.2,47.2,194.9,117.3,192.2,74.3,167.2,71,112.9,212.4,168.2,189.9,63.2,140,43.1,73.3,142.1,220.5,181.3,216.3,73.3,222.5,256.6,199.1,241.7,96.6,176.3,142.4,28.8,84,131.3,62.8,26.1,129.4,157.4,97.8,44.5,48.9,62.9,207.1,175.9,255.9,80.5,121.2,93.3,140.4,223.6,108.4,144.4,76.5,140.5,49.1,144.3
"DavieCounty",71.6,44.7,68.7,83.5,83,109.1,236.7,236.6,170.9,233.4,124.8,69.2,42.1,68.6,285.1,269.9,95,47.3,90.8,231.4,252.1,224.4,87.2,194.3,236,144.6,296.5,312.6,25.6,8.4,204.6,101.9,179.2,24.5,141.9,81.2,247.7,224.3,130.1,195.1,45.3,185.2,135.4,150.3,142.5,231.1,118.1,293.6,27.9,175.6,151.8,226.6,106.9,201.6,60.5,93.6,193.2,148.9,210,65.1,120.7,68.5,98.7,162.2,254.9,200.3,250.8,92.2,257,276.7,233.5,261.8,115.5,204.8,125,54.1,109.3,156.6,61.9,26.2,103.3,191.8,123.2,57.8,45,44.7,187.8,156.7,275.9,80.6,140.1,122.8,159.4,243.6,83.8,178.9,51.9,169,24.5,125
"DuplinCounty",135.1,245.7,255.2,144.9,269.5,295.6,97.3,122.2,59.5,85.9,325.8,270.2,201,269.6,170.7,83.2,144.4,248.4,117.2,432.4,137.8,425.5,250.3,85.9,69.8,60.5,182.1,198.2,170.2,204.6,14.7,104.2,103.5,184.4,104.1,221.6,145.1,425.3,122.8,55.3,159.9,117.3,77.7,351.3,304.6,125.7,83.2,154.3,228.9,376.6,56.3,46.5,93.8,35.3,238.8,294.6,394.2,349.9,95.6,195.2,321.8,138.2,107.7,87.2,56.1,135.2,47.6,113.7,90.8,162.3,34.7,147.4,132,64.3,284.7,152.4,121.7,93.6,186.5,194,271.8,28.2,101.1,159.5,209.4,222.8,388.8,357.7,161.6,173.6,125.3,85,139.9,129.3,270.4,42.8,238.4,68.5,211,326
