,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
0-1-0-2-0-0,0,0.118760195758564,0,0.0565207319898077,0,0
0-1-0-2-0-1,0,0.000978792822185971,0,0.000463284688441047,0,0.000493339911198816
0-1-0-2-1-0,0,0.00065252854812398,0,0.000308856458960698,0.00061012812690665,0
0-1-1-0-0-0,0,0.0163132137030995,0.012025012025012,0,0,0
0-1-1-0-0-2,0,0.00032626427406199,0.000240500240500241,0,0,0.000328893274132544
0-1-1-0-1-0,0,0.00065252854812398,0.000481000481000481,0,0.00061012812690665,0
0-1-1-1-0-0,0,0.00554649265905383,0.00408850408850409,0.00131263995058297,0,0
0-1-1-1-1-0,0,0.00424143556280587,0.00312650312650313,0.00100378349162227,0.00396583282489323,0
0-1-1-2-0-0,0,0.0163132137030995,0.012025012025012,0.00772141147401745,0,0
0-1-1-2-0-1,0,0.00032626427406199,0.000240500240500241,0.000154428229480349,0,0.000164446637066272
0-1-2-0-0-0,0,0.00456769983686786,0.00745550745550746,0,0,0
0-1-2-0-2-0,0,0.000978792822185971,0.00144300144300144,0,0.00183038438071995,0
0-1-2-1-0-0,0,0.00032626427406199,0.000481000481000481,7.72141147401745e-05,0,0
0-1-2-1-1-0,0,0.00065252854812398,0.000962000962000962,0.000154428229480349,0.00061012812690665,0
0-1-2-2-0-0,0,0.00293637846655791,0.00481000481000481,0.00138985406532314,0,0
0-2-0-0-0-0,0,0.0114192495921697,0,0,0,0
0-2-0-0-1-0,0,0.00130505709624796,0,0,0.00061012812690665,0
0-2-0-0-2-0,0,0.00163132137030995,0,0,0.0012202562538133,0
0-2-0-1-0-0,0,0.0221859706362153,0,0.00254806578642576,0,0
0-2-0-1-0-1,0,0.00065252854812398,0,7.72141147401745e-05,0,0.000164446637066272
0-2-0-1-1-0,0,0.0110929853181077,0,0.00131263995058297,0.00518608907870653,0
0-2-0-2-0-0,0,0.102120717781403,0,0.023009806192572,0,0
0-2-0-2-1-0,0,0.00065252854812398,0,0.000154428229480349,0.000305064063453325,0
0-2-1-0-0-0,0,0.00424143556280587,0.00144300144300144,0,0,0
0-2-1-1-0-0,0,0.00130505709624796,0.000481000481000481,0.000154428229480349,0,0
0-2-1-2-0-0,0,0.0137030995106036,0.00456950456950457,0.00293413636012663,0,0
0-2-2-0-0-0,0,0.00065252854812398,0.000481000481000481,0,0,0
0-2-2-0-2-0,0,0.00065252854812398,0.000481000481000481,0,0.00061012812690665,0
0-2-2-2-0-0,0,0.00228384991843393,0.00144300144300144,0.000463284688441047,0,0
1-0-0-0-0-1,0.000118680275338239,0,0,0,0,0.000164446637066272
1-0-0-0-0-2,0.000118680275338239,0,0,0,0,0.000328893274132544
1-0-0-0-1-0,0.000474721101352955,0,0,0,0.0012202562538133,0
1-0-0-0-1-1,0.000593401376691194,0,0,0,0.00152532031726663,0.00082223318533136
