"County","AuroraCounty","BeadleCounty","BennettCounty","BonHommeCounty","BrookingsCounty","BrownCounty","BruleCounty","BuffaloCounty","ButteCounty","CampbellCounty","CharlesMixCounty","ClarkCounty","ClayCounty","CodingtonCounty","CorsonCounty","CusterCounty","DavisonCounty","DayCounty","DeuelCounty","DeweyCounty","DouglasCounty","EdmundsCounty","FallRiverCounty","FaulkCounty","GrantCounty","GregoryCounty","HaakonCounty","HamlinCounty","HandCounty","HansonCounty","HardingCounty","HughesCounty","HutchinsonCounty","HydeCounty","JacksonCounty","JerauldCounty","JonesCounty","KingsburyCounty","LakeCounty","LawrenceCounty","LincolnCounty","LymanCounty","McCookCounty","McPhersonCounty","MarshallCounty","MeadeCounty","MelletteCounty","MinerCounty","MinnehahaCounty","MoodyCounty","PenningtonCounty","PerkinsCounty","PotterCounty","RobertsCounty","SanbornCounty","ShannonCounty","SpinkCounty","StanleyCounty","SullyCounty","ToddCounty","TrippCounty","TurnerCounty","UnionCounty","WalworthCounty","YanktonCounty","ZiebachCounty"
"CharlesMixCounty",61.7,116.7,194,47.8,179.1,193.3,68.2,102.5,353.9,256,17.4,177.9,103.2,204.1,312.6,331.2,74.9,217.8,209.8,285.1,31.8,193.5,353.7,161.4,245.4,58.3,215,182.7,117.9,82.8,408.6,179.3,66.8,143.5,207.5,88,153.4,149.9,147,333.5,109.3,106.6,103.3,224.5,249.8,343.8,141.6,117.4,126.6,159.3,290.8,360.1,201.1,274,98.4,242.6,150.7,175.4,185.3,139.6,86.3,93.3,121.1,239,75.2,286.1
"ClarkCounty",127.1,63.1,329.5,172.6,83.2,79.8,155.4,139.9,329,175.3,177.9,16,189.9,35.9,235.2,400.5,121.7,49.5,60,189.5,146.9,115.9,423,84.7,86.6,225.6,231.7,52.3,89.6,106.4,347.9,153.9,143.1,117.2,276.8,101.9,222.8,49.9,91.9,354.4,156.2,176,102.6,136.8,83.9,317.3,248.1,74,131.7,111.4,360.2,296.5,122.8,89.5,92.1,364,39.2,174.5,150.6,274.1,214.5,146.1,190.8,161.6,153.9,222.9
"ClayCounty",136.6,169.1,285.7,63.3,113.6,260.1,164.9,199.2,450.6,357.5,103.2,189.9,10.5,162.3,417.4,427.9,113.1,212.9,144.3,381.8,105.4,298,450.4,258.1,179.9,142.4,311.7,153.9,214.6,97.8,505.3,276,80.3,240.2,304.2,163,250.1,149.1,90.8,430.2,43.8,203.3,78.3,319,241.3,440.5,233.3,113.1,61.1,93.8,387.5,456.8,297.8,208.4,137.2,334.3,225.1,272.1,281.9,231.3,177.9,39.7,29.6,343.8,39.8,382.8
"CodingtonCounty",160.3,94,359.5,203.3,55.6,94.5,188.6,170,361,191.7,204.1,35.9,162.3,13.8,251.6,430.5,136.8,47.4,32.4,221.4,173.1,132.3,453,110.7,59.1,258.8,263.6,24.7,121.5,121.4,374.1,185.9,144.4,149.1,306.8,131.9,252.8,60.2,67.6,432.9,128.7,206,103.9,153.2,81.7,349.2,278.1,89.1,104.2,83.8,390.2,322.7,154.7,61.9,114.2,394,71.1,206.4,182.5,304.1,260.9,123.2,163.2,178,178.5,254.8
"CorsonCounty",273.3,241.9,252.1,354.1,310.7,170.6,244.7,214.4,186.2,91.9,312.7,235.2,417.4,251.6,25.9,268.1,296.8,209.9,287.5,83,303.4,123.4,290.6,158.1,255.3,310.6,160.9,275.5,193.5,311.7,156.8,157.5,338.3,170.3,193.8,249.2,197.3,279,318.3,211.6,383.7,235.2,332.2,130.4,222.4,178.5,215.5,295.4,359.2,338.9,229,105.4,121,254.1,268.2,281,206.7,158.9,133.9,241.5,268.3,375.7,418.3,76.3,377.6,80
"CusterCounty",291.8,339.2,142.4,372.6,435.8,412.1,263.1,265.2,115.6,342,331.2,400.5,427.9,430.5,268.6,20.3,315.3,444.1,466.5,242.1,321.8,359.9,40.1,345.2,502.1,300.2,149.2,409.1,310.8,330.2,170.3,246,356.8,291.1,135,300,186.9,376.3,394.4,77.1,409.4,224.7,350.7,378,472.3,105.5,205.1,364.8,384.9,416,49.2,210.2,296.3,504.8,322.6,120.3,369.6,202.2,265.9,196.1,257.8,394.1,444,325,396.1,202.1
"DavisonCounty",24,61.6,244.3,57.8,121,155.6,52.3,86.6,338,240.1,74.9,121.7,113.1,136.8,296.7,315.3,10.8,150.4,151.7,269.2,43.9,177.6,337.8,145.5,187.4,122.6,199.1,115.4,102,15.4,392.7,163.4,42,127.6,191.6,50.4,137.5,82.5,79.7,317.6,94.7,90.7,35.9,199.5,184.7,327.9,162.9,50.1,70.1,101.2,274.9,344.2,185.3,190.1,29.7,278.8,108,159.6,169.4,188.9,124.7,79.4,129.2,223.1,81.4,270.2
"DayCounty",173.9,107.6,373.2,201.3,106.2,52.6,202.2,183.6,360.4,150,217.8,49.5,212.9,47.4,209.9,444.1,150.4,17,83,220.8,186.7,90.6,466.6,108.6,50.9,272.5,276.9,71.2,134.8,135,332.4,199.2,171.7,162.8,320.4,145.5,266.4,78.5,114.1,385.7,179.3,219.6,131.3,111.5,40.9,352.7,291.7,102.7,154.8,134.4,403.8,281,154.1,53.7,127.8,407.6,84.4,219.7,181.9,317.7,274.5,195.7,213.9,136.3,182.5,254.2
"DeuelCounty",175.2,106,395.5,185.3,37.6,130.2,203.5,178.7,385,227.6,209.8,60,144.3,32.4,287.5,466.5,151.7,83,13,245.5,188.1,168.1,489,140.6,37.9,256.4,350.3,31.3,145.5,136.4,409.9,205.4,151.6,168.7,342.8,140.6,288.7,66.8,78.3,468.8,110.6,241.9,116.9,189.1,111.4,368.7,314.1,102.6,86.1,65.8,426.1,358.5,178.7,78.6,127.8,430,95.2,225.9,206.6,340,275.8,127.1,145.2,213.9,160.4,278.9
"DeweyCounty",245.8,194.9,195.6,326.5,268.7,181.5,217.1,167.2,159.6,116.8,285.1,189.5,381.8,221.4,83,241.6,269.2,220.8,245.5,25.4,275.8,134.1,264.1,113.4,261,254.1,104.4,237.8,148.8,284.1,162.6,105,310.7,125.6,142.9,202,140.8,232,273.4,185,363.4,178.7,304.6,155.3,247.3,152,159,248.4,338.8,296.9,209.9,111.2,70.5,263.9,221.2,230.1,159.1,102.3,81.4,185,211.8,348.1,397.9,101.2,350.1,53.5
"DouglasCounty",30.6,85.6,188.3,51.1,157.4,162.2,58.9,93.2,344.6,246.7,31.8,146.9,105.4,173.1,303.3,321.8,43.9,186.7,188.1,275.8,10.7,184.2,344.3,152.1,223.7,80.9,205.7,151.7,108.6,51.8,399.3,170,35.8,134.2,198.2,57,144.1,118.9,116,324.2,88.8,97.3,72.3,206.1,218.7,334.5,135.9,86.4,106.5,137.6,281.5,350.8,191.8,226.4,67.4,236.9,119.7,166.1,175.9,133.9,80.5,73.2,123.4,229.7,77.3,276.7
"EdmundsCounty",154.2,124.5,288.9,235,191.3,51.3,139.9,125.6,273.6,66.8,193.5,115.9,298,132.3,123.4,359.9,177.6,90.6,168.1,134.1,184.2,17.5,382.4,41.3,136,215.6,196.6,156.1,76,192.5,245.8,118.8,219.1,95.5,236.2,130.5,182.1,161.7,199,299,264.4,160.8,213.1,52.1,110.9,266,207.5,178,239.9,219.6,319.5,194.4,67.3,138.8,150.8,323.4,87.3,139.4,95.2,233.4,199.3,256.5,299,49.8,258.5,167.5
"FallRiverCounty",314.3,361.7,126.7,395.1,458.3,434.6,285.6,287.7,138.1,364.5,353.7,423,450.4,453,291.1,40.1,337.8,466.6,489,264.6,344.3,382.4,21.5,367.7,524.6,265.2,171.7,431.6,333.3,352.7,192.8,268.5,379.3,313.6,157.5,322.5,209.4,398.8,416.9,104.6,431.9,247.2,373.2,400.5,494.8,128,227.6,387.3,407.4,438.5,71.7,232.7,318.8,527.3,345.1,104.6,392.1,224.7,288.4,180.4,224.5,416.6,466.5,347.5,418.6,224.6
"FaulkCounty",122.1,92.4,274.2,202.9,163.8,69.3,107.8,93.5,252.9,101.5,161.4,84.7,258.1,110.7,158.1,345.2,145.5,108.6,140.6,113.4,152.1,41.3,367.7,16.3,148.8,175.5,175.9,132.9,43.9,160.4,271.8,98.1,187,55.3,221.5,98.4,167.4,129.4,170.9,278.3,239.7,120.6,181,72.3,130.4,245.3,192.8,145.9,215.2,192.1,304.8,220.4,46.7,151.6,118.7,308.7,54.2,118.7,74.5,218.8,159.1,224.4,274.3,84.5,226.4,146.8
"GrantCounty",210.9,144.7,431.1,220.9,73.2,98,239.2,220.7,400.6,195.4,245.4,86.6,179.9,59.1,255.3,502.1,187.4,50.9,37.9,261,223.7,136,524.6,148.8,13.5,292.1,314.3,73.2,172.2,172,377.8,236.6,187.3,199.8,378.4,182.6,324.4,108.7,113.9,504.4,146.2,277.6,152.5,156.9,79.2,392.9,349.7,138.2,121.7,101.4,461.8,326.4,194.3,46.4,163.4,465.6,121.8,257.1,222.1,375.7,311.5,162.7,180.8,181.7,196.1,294.4
"GregoryCounty",99.1,164.3,151.5,87.1,225.7,240.9,88.9,95.5,322.9,233.9,58.3,225.6,142.4,258.8,310.6,300.2,122.6,272.5,256.4,254.1,80.9,215.6,265.2,175.5,292.1,16.7,184,237.4,141.1,137.5,377.6,148.4,115.9,121.4,176.5,130.3,122.4,204.6,201.7,302.5,156,75.7,158,246.3,297.4,312.8,99.1,172.1,173.3,206,259.8,329.1,179.1,320.6,147.7,200.1,198.4,144.5,168.3,97.2,43.8,139.4,160.4,216.9,114.4,255.1
"HaakonCounty",175.7,187.5,108.8,256.5,319.6,244,147,149.1,171.9,178.7,215,231.7,311.7,263.6,160.9,149.2,199.1,276.9,350.3,104.4,205.7,196.6,171.7,175.9,314.3,184,22,253,142.5,214,196.2,82.7,240.6,122.8,42.3,183.9,70.7,224.6,278.3,151.5,293.3,108.6,234.6,214.7,303.4,113.2,88.9,248.7,268.8,299.8,108.9,144.8,133,317.1,206.5,129.5,201.3,57.4,102.6,114.9,141.7,278,327.8,161.7,280,108.2
"HamlinCounty",138.9,75.8,338.1,160,47.3,118.4,167.2,148.6,377.3,215.6,182.7,52.3,153.9,24.7,275.5,409.1,115.4,71.2,31.3,237.8,151.7,156.1,431.6,132.9,73.2,237.4,253,11.9,113.5,100,397.9,175.3,125.9,138.5,285.4,110.5,231.4,41.7,49.1,411.4,120.3,184.6,85.5,177.1,108.8,338.6,256.7,67.6,95.8,75.5,368.8,346.5,171,76,92.8,372.6,87.5,195.8,180.3,282.7,239.5,104.7,154.9,201.9,136.7,271.1
"HandCounty",78.6,48,239.9,159.3,123.1,101.7,64.3,50,279.1,136.9,117.9,89.6,214.6,121.5,193.5,310.8,102,134.8,145.5,148.8,108.6,76,333.3,43.9,172.2,141.1,142.5,113.5,19.5,116.9,307.2,64.8,143.5,28,187.1,54.9,133.1,85,126.5,313.1,196.2,86.3,137.4,107,161.4,228.1,158.4,101.5,171.6,154.3,270.5,255.8,82,175,74.3,274.3,59.1,85.3,69.8,184.4,124.8,180.9,230.7,119.9,182.9,182.1
"HansonCounty",38.9,71.4,259.2,66.3,105.7,169.2,67.2,101.5,352.9,255,82.8,106.4,97.8,121.4,311.6,330.2,15.4,135,136.4,284.1,51.8,192.5,352.7,160.4,172,137.5,214,100,116.9,10.7,407.6,178.3,50.5,142.5,206.5,65.3,152.4,67.2,64.3,332.5,79.3,105.6,20.6,214.4,169.4,342.8,177.8,34.7,54.8,85.9,289.8,359.1,200.1,174.8,39.5,293.7,117.8,174.4,184.3,203.8,139.6,64.1,113.9,238,66,285.1
"HardingCounty",369.3,353.4,278.9,450,433.1,293.1,340.6,342.7,87.8,214.4,408.6,347.9,505.3,374.1,156.8,169.8,392.7,332.4,409.9,162.6,399.3,245.8,192.3,271.8,377.8,377.6,196.2,397.9,307.2,407.6,26.6,251.3,434.2,284,212.4,377.4,264.3,390.4,471.8,101.6,486.8,302.2,428.1,252.8,344.9,115.5,282.5,442.2,462.3,493.4,130.6,70.8,228.9,376.5,400,204,317.5,225.9,239.8,308.5,335.2,471.6,521.4,198.8,473.6,138.5
"HughesCounty",140,109.8,175.1,220.8,184.9,166.3,111.3,80.2,219.3,101,179.3,153.9,276,185.9,157.5,246,163.4,199.2,205.4,105,170,118.8,268.5,98.1,236.6,148.4,82.7,175.3,64.8,178.3,251.3,14.6,204.9,45,122.3,115,68.3,146.8,188.3,206.9,257.6,72.9,198.9,136.9,225.7,168.3,93.6,163.3,233.1,216.1,205.7,199.9,55.2,239.4,136.1,209.5,123.5,25.5,24.9,119.6,106,242.3,292.1,83.9,244.3,128.6
"HutchinsonCounty",65.5,98,222.8,37.8,120.9,195.8,93.8,128.1,379.5,281.6,66.8,143.1,80.3,144.4,338.2,356.8,42,171.7,151.6,310.7,35.8,219.1,379.3,187,187.3,115.9,240.6,125.9,143.5,50.5,434.2,204.9,14.7,169.1,233.1,91.9,179,103.9,85.3,359.1,62.1,132.2,41.6,241,206.1,369.4,170.4,76.4,68.5,101.2,316.4,385.7,226.8,215.8,66.1,271.4,144.4,201.1,210.9,168.4,115.1,46.5,96.7,264.6,53,311.7
"HydeCounty",104.2,73,220.1,185,148.2,123.5,75.6,45.3,259.3,113.8,143.6,117.2,240.3,149.1,170.3,291.1,127.7,162.8,168.7,125.6,134.3,95.5,313.6,55.3,199.8,121.4,122.8,138.5,28,142.6,284,45,169.2,15.1,167.4,80.1,113.3,110.1,151.5,293.4,221.8,66.6,163.1,126.2,184.6,208.4,138.7,126.5,197.3,179.4,250.7,232.6,58.9,202.7,99.3,254.6,86.8,65.6,50.1,164.7,105.1,206.6,256.4,96.7,208.6,159
"JacksonCounty",168.1,215.5,65.4,248.9,312.1,288.4,139.4,141.5,157.7,218.3,207.5,276.8,304.2,306.8,193.8,135,191.6,320.4,342.8,142.9,198.2,236.2,157.5,221.5,378.4,176.5,42.3,285.4,187.1,206.5,212.4,122.3,233.1,167.4,22.3,176.3,63.2,252.6,270.7,137.3,285.7,101,227,254.3,348.6,147.6,81.4,241.1,261.2,292.3,94.6,163.9,172.6,381.2,198.9,98.5,245.9,94.9,142.3,107.3,134.1,270.5,320.3,201.3,272.4,127.3
"JerauldCounty",37.2,40.6,229,107.8,114.6,117.2,53.8,39.5,322.7,192.7,88,101.9,163,131.9,249.2,300,50.4,145.5,140.6,202,57,130.5,322.5,98.4,182.6,130.3,183.9,110.5,54.9,65.3,377.4,115,91.9,80.1,176.3,11.9,122.3,77.6,76.2,302.3,144.6,75.5,85.8,161,173.7,259.5,147.6,51.2,120,100.9,259.7,291,137.8,185.4,24,263.5,74.6,116.7,121.9,173.6,114,129.3,179.1,175.6,131.3,219.8
"JonesCounty",114.1,161.5,115.9,194.9,258,234.4,85.4,87.5,209.6,164.3,153.4,222.8,250.1,252.8,197.3,186.9,137.5,266.4,288.7,140.8,144.1,182.1,209.4,167.4,324.4,122.4,70.7,231.4,133.1,152.4,264.3,68.3,179,113.3,63.2,122.3,16,198.5,216.7,189.2,231.7,47,173,200.3,294.6,199.5,34.5,187.1,207.2,238.3,146.5,215.8,118.5,327.1,144.9,150.4,191.8,64.4,88.2,60.5,80.1,216.4,266.3,147.3,218.4,141.8
"KingsburyCounty",106,43,305.3,133.4,39.5,125.7,134.3,115.7,399,221.2,149.9,49.9,149.1,60.2,279,376.3,82.5,78.5,66.8,232,118.9,161.7,398.8,129.4,108.7,204.6,224.6,41.7,85,67.2,390.4,146.8,103.9,110.1,252.6,77.6,198.5,15.1,43.4,378.6,115.5,151.7,63.4,182.7,112.9,310.1,223.9,34.8,91,70.7,335.9,339,167.6,111.5,60,339.8,85.1,167.3,151.8,249.9,206.6,99,150.1,205.4,114.6,265.4
"LakeCounty",103.2,84.4,323.4,119.3,47.6,161.2,131.5,114.3,417.1,258.4,147,91.9,90.8,67.6,318.3,394.4,79.7,114.1,78.3,273.4,116,199,416.9,170.9,113.9,201.7,278.3,49.1,126.5,64.3,471.8,188.3,85.3,151.5,270.7,76.2,216.7,43.4,12.3,396.7,72.6,169.9,44.8,219.9,151.7,334.3,242,27.3,48.1,27.8,354.1,365.8,209,118.9,52.5,357.9,127.1,191.5,193.3,268,203.8,57.1,107.2,244.7,96.1,294.6
"LawrenceCounty",294.1,341.5,203.8,374.9,438.1,346.5,265.5,267.6,42.8,269.2,333.5,354.4,430.2,432.9,211.6,77.1,317.6,385.7,468.8,185,324.2,299,104.6,278.3,504.4,302.5,151.5,411.4,313.1,332.5,101.6,206.9,359.1,293.4,137.3,302.3,189.2,378.6,396.7,14.6,411.7,227.1,353,307.6,399.7,48.4,207.4,367.1,387.2,418.3,55.5,153.2,235.4,428.8,324.9,128.9,324,181.5,226.8,233.4,260.1,396.5,446.3,253.6,398.5,145
"LincolnCounty",118.2,150.6,275.8,84.8,79.9,226.4,146.5,180.8,432.1,323.8,109.3,156.2,43.8,128.7,383.7,409.4,94.7,179.3,110.6,363.4,88.8,264.4,431.9,239.7,146.2,156,293.3,120.3,196.2,79.3,486.8,257.6,62.1,221.7,285.7,144.6,231.7,115.5,72.6,411.7,12.4,184.9,59.8,285.3,207.6,422,257,94.6,24.1,60.1,369.1,438.3,279.4,174.8,118.7,372.9,191.4,253.7,263.5,221.5,168.1,28.9,44.7,310.1,60,364.3
"LymanCounty",67.3,114.7,153.8,148.1,211.2,187.6,38.6,40.7,247.5,168.9,106.6,176,203.3,206,235.2,224.7,90.7,219.6,241.9,178.7,97.3,160.8,247.2,120.6,277.6,75.7,108.6,184.6,86.3,105.6,302.2,72.9,132.2,66.6,101,75.5,47,151.7,169.9,227.1,184.9,21.3,126.2,191.5,247.8,237.4,72.3,140.3,160.4,191.4,184.4,253.7,123.1,280.3,98.1,188.2,145,69,92.8,98.3,57.5,169.6,219.4,151.9,171.6,179.6
"McCookCounty",59.5,91.9,279.7,75.6,86.2,178.4,87.8,122,373.4,275.5,103.3,102.6,78.3,103.9,332.1,350.7,35.9,131.3,116.9,304.6,72.3,213.1,373.2,181,152.5,158,234.6,85.5,137.4,20.6,428.1,198.9,41.6,163,227,85.8,173,63.4,44.8,353,59.8,126.2,12.4,234.9,165.6,363.3,198.3,35.9,35.3,66.4,310.4,379.6,220.7,155.3,60,314.2,138.3,195,204.8,224.3,160.1,44.6,94.4,258.5,52.4,305.6
"McPhersonCounty",185.1,147.4,307,256.8,212.3,57.5,170.8,156.5,282.3,39.7,224.5,136.8,319,153.2,130.4,378,199.5,111.5,189.1,155.3,206.1,52.1,400.5,72.3,156.9,246.3,214.7,177.1,107,214.4,252.8,136.9,241,126.2,254.3,161,200.3,182.7,219.9,307.6,285.3,191.5,234.9,17.5,93.2,274.6,225.6,200.9,260.8,240.5,337.7,201.4,85.5,124.9,173.7,341.5,108.3,157.5,113.3,251.6,230,278.4,319.9,65,280.4,176.1
"MarshallCounty",198.9,134.9,401.4,235.6,134.6,74.4,227.2,211.8,374.3,131.7,249.8,83.9,241.3,81.7,222.4,472.3,184.7,40.9,111.4,247.3,218.7,110.9,494.8,130.4,79.2,297.4,303.4,108.8,161.4,169.4,344.9,225.7,206.1,184.6,348.6,173.7,294.6,112.9,151.7,399.7,207.6,247.8,165.6,93.2,15.3,366.6,319.9,137,183.1,162.8,432,293.5,174.2,37.6,164,435.8,111,246.2,202,345.9,286.3,224.1,242.2,157,216.8,268.1
"MeadeCounty",304.5,273.1,214.1,385.2,348.2,313.4,275.8,224.7,60.8,236.1,343.8,317.3,440.5,349.2,178.5,105,327.9,352.7,368.7,152,334.5,266,127.5,245.3,392.9,312.8,113.2,338.6,228.1,342.8,115.5,168.3,369.4,208.4,147.6,259.5,199.5,310.1,334.3,48.4,422,237.4,363.3,274.6,366.6,30.4,217.7,309.3,397.5,428.6,65.9,148.6,202.3,395.7,282.1,139.2,286.9,143,188.2,243.7,270.4,406.8,456.6,220.5,408.8,112
"MelletteCounty",139.4,186.8,86,177.9,283.4,259.7,110.7,112.8,227.8,189.6,141.6,248.1,233.3,278.1,215.5,205.1,162.9,291.7,314.1,159,135.9,207.5,227.6,192.8,349.7,99.1,88.9,256.7,158.4,177.8,282.5,93.6,170.4,138.7,81.4,147.6,34.5,223.9,242,207.4,257,72.3,198.3,225.6,319.9,217.7,18.6,212.4,232.5,263.6,164.7,234,143.9,352.5,170.2,134.6,217.2,89.7,113.5,31.6,58.4,241.8,291.6,172.6,205.2,159.9
"MinerCounty",73.6,59.4,293.8,100.9,65.8,149.8,101.9,89.3,387.5,239.4,117.4,74,113.1,89.1,295.4,364.8,50.1,102.7,102.6,248.4,86.4,178,387.3,145.9,138.2,172.1,248.7,67.6,101.5,34.7,442.2,163.3,76.4,126.5,241.1,51.2,187.1,34.8,27.3,367.1,94.6,140.3,35.9,200.9,137,309.3,212.4,12.3,70.1,52.1,324.5,340.8,184,142.9,27.5,328.3,105.8,166.5,168.3,238.4,174.2,79.4,129.2,221.8,87.2,269.6
"MinnehahaCounty",93.7,126.1,313.9,102.1,55.4,201.9,121.9,156.2,407.6,299.3,126.6,131.7,61.1,104.2,359.2,384.9,70.1,154.8,86.1,338.8,106.5,239.9,407.4,215.2,121.7,173.3,268.8,95.8,171.6,54.8,462.3,233.1,68.5,197.2,261.2,120,207.2,91,48.1,387.2,24.1,160.4,35.3,260.8,183.1,397.5,232.5,70.1,14.7,35.6,344.5,413.8,254.9,150.3,94.2,348.4,166.9,229.2,239,258.5,194.3,43.9,62,285.6,77.3,339.8
