"County","AitkinCounty","AnokaCounty","BeckerCounty","BeltramiCounty","BentonCounty","BigStoneCounty","BlueEarthCounty","BrownCounty","CarltonCounty","CarverCounty","CassCounty","ChippewaCounty","ChisagoCounty","ClayCounty","ClearwaterCounty","CookCounty","CottonwoodCounty","CrowWingCounty","DakotaCounty","DodgeCounty","DouglasCounty","FaribaultCounty","FillmoreCounty","FreebornCounty","GoodhueCounty","GrantCounty","HennepinCounty","HoustonCounty","HubbardCounty","IsantiCounty","ItascaCounty","JacksonCounty","KanabecCounty","KandiyohiCounty","KittsonCounty","KoochichingCounty","LacquiParleCounty","LakeCounty","LakeoftheWoodsCounty","LeSueurCounty","LincolnCounty","LyonCounty","McLeodCounty","MahnomenCounty","MarshallCounty","MartinCounty","MeekerCounty","MilleLacsCounty","MorrisonCounty","MowerCounty","MurrayCounty","NicolletCounty","NoblesCounty","NormanCounty","OlmstedCounty","OtterTailCounty","PenningtonCounty","PineCounty","PipestoneCounty","PolkCounty","PopeCounty","RamseyCounty","RedLakeCounty","RedwoodCounty","RenvilleCounty","RiceCounty","RockCounty","RoseauCounty","StLouisCounty","ScottCounty","SherburneCounty","SibleyCounty","StearnsCounty","SteeleCounty","StevensCounty","SwiftCounty","ToddCounty","TraverseCounty","WabashaCounty","WadenaCounty","WasecaCounty","WashingtonCounty","WatonwanCounty","WilkinCounty","WinonaCounty","WrightCounty","YellowMedicineCounty"
"CassCounty",82,162.2,90,90.7,103.5,206.3,233.1,222.8,119.1,182,25.3,208.2,163.7,125.6,91.7,246.1,260,63.4,204.9,265.5,127.8,304.7,303.1,274.7,244.1,156.6,175.9,350.4,51,143.1,76.1,282,123.8,168.2,217.2,136.1,215.6,198.9,183.1,230.4,268.5,243.1,168.7,101.7,185.4,254.7,157.3,106.6,77.6,284.9,270.5,213.2,304.2,138.1,271.5,123,154.2,137.3,281.4,145,147.7,186.5,141,235.9,204.6,223.6,308.7,194.1,120.4,199.3,138,192,132.4,248,172.5,177.8,103.8,183.8,274.2,74.8,262.9,199.4,239.6,155.8,311.6,152.5,229.2
"ChippewaCounty",205,143.1,156.2,249.9,109,66.6,136.2,94.3,217.4,104.1,208.2,12.5,164.3,152.5,228.1,358.8,104.1,175.3,139.2,199.8,77.3,177.8,238.9,189.5,179.8,79.2,122.2,286.1,194.8,143.7,259.1,126.2,148.8,40.1,318.7,315.7,39.1,311.5,342.2,134.4,73.7,58.8,75.2,189.1,268.2,149.3,64.4,136.1,130.7,219.2,86.2,116.3,123.3,180.3,207.3,125.2,236.9,180.3,97.1,219.3,52.3,139.1,223.7,79,51.9,157.9,124.4,296.4,273.9,122.9,124.7,96.6,85.1,182.3,53.1,30.4,108.8,93.2,209.9,152.1,159,156.4,117.2,116.1,247.3,107.4,31.3
"ChisagoCounty",103.3,43.1,208.9,235.3,69.7,197.8,141.8,163.8,91.7,87.1,163.7,164.3,10.8,231.1,236.3,233.1,198.6,126,64.8,117.5,140.8,176,160.2,146,101.1,169.9,57.9,207.4,191.6,23.6,170.6,213.2,43.5,124.3,397.4,248.8,191.8,185.9,299.4,114.6,230.6,205.2,114.7,243.2,322.2,185.9,119.8,60.1,99.2,144,235.8,132.5,235.4,258.9,128.6,188.8,291,54.6,243.5,281.8,139,45.8,277.8,180.4,149.1,94.9,262,338.7,148.2,79.9,58.9,122,88.5,119.4,164,154.9,129,190.2,131.2,166.6,134.2,56.1,170.9,201.5,168.7,85.1,196.4
"ClayCounty",171.7,220.9,45.8,148.3,175.8,113.2,279.9,234.4,217.1,231.7,125.6,152.5,231.1,16.7,105.7,358.1,250.1,142,254.6,315.2,98.1,354.4,352.8,324.4,293.8,79.3,225.6,400.1,95.5,210.5,181.8,272.2,215.6,157.2,171.7,214.8,149.7,310.8,220.6,280.1,217.8,201.9,215.5,68.7,127.7,289.4,179.5,181.7,137.4,334.6,230.1,260,303,35.1,321.2,83.1,113.2,215.9,249.9,74.1,120.1,236.2,95.3,224.9,193.6,273.3,280.2,174.5,226,249,194.8,238.8,156.3,297.7,108.9,135.1,113.1,87.5,323.9,94,312.6,249,257.3,48.3,361.3,202.2,179.7
"ClearwaterCounty",145.6,228.9,90.7,43.8,176.7,208,297.8,257.6,168.2,246.7,91.7,228.1,236.3,105.7,16.5,295.2,281,136,269.6,330.2,140,369.4,367.9,339.4,308.8,153,240.6,415.1,62.1,215.7,112.1,303.1,196.4,188.1,126.7,110.3,229.4,255,136.8,295.1,274.5,263,233.4,37.8,94.9,319.4,202.7,179.2,144.2,349.6,290.4,277.9,327.5,74.3,336.3,127.3,63.7,202.6,301.3,54.5,159.9,251.2,50.4,255.8,224.5,288.3,384.5,112.2,156.4,264,202.7,256.7,179.5,312.7,182.6,190.1,121.1,182.4,338.9,86.2,327.6,264,280.5,144.8,376.3,217.2,235.7
"CookCounty",187.6,262.2,316.2,294.2,264.1,392.3,361,382.9,147.4,306.2,246.1,358.8,233.1,358.1,295.2,29.7,417.7,224.8,284,336.6,335.3,395.2,379.3,365.2,320.3,364.4,277,370.6,272.3,234.4,216,432.4,212.5,318.8,420.7,261.3,386.2,79.8,333.2,333.8,419,393.7,333.9,319.6,388.9,405.1,307.8,239.5,260.8,363.2,421.1,351.7,454.6,356.1,347.7,316.9,357.7,185.9,432,348.5,333.5,265,344.5,399.5,368.3,314.1,481.1,383.9,172.7,299.1,274.8,341.2,283,338.5,358.5,349.4,306.7,384.7,350.4,290,353.4,275.2,390,350.5,387.8,288.8,379.8
"CottonwoodCounty",256.8,164.3,253.9,302.8,160.9,147.9,67.6,46.5,276.3,116.9,260,104.1,198.6,250.1,281,417.7,13.1,227.1,141.6,133.3,159.8,84.7,182.4,115.8,150.2,176,144.2,230.3,247.7,201.4,310.9,28.1,217.5,93,416.3,368.6,119.9,370.5,395.1,92.6,90.1,70,106.2,286.8,365.8,54.4,111.2,187.9,182.5,143,45.3,77.5,50.3,277.9,175.9,207.8,334.6,239.2,71.5,316.9,145.6,157.1,321.4,38.5,64.2,114.9,76.9,394,332.8,119.8,159.2,84.1,138,115.8,149.8,127.8,161.8,174.5,173,205,99.5,169.3,39.4,220.5,209.8,141.1,86.9
"CrowWingCounty",38.3,124.5,116.3,135,65.8,187.4,200.1,189.8,83.8,149.1,63.4,175.3,126,142,136,224.8,227.1,17.5,165,225.6,106.3,264.8,263.2,234.8,204.2,135.2,136,310.5,93.2,105.4,92.5,249.1,86.1,135.3,261.5,156.5,195.5,177.5,207,190.5,235.5,210.2,135.8,145.9,229.7,221.8,124.3,68.9,44.7,245,237.6,180.3,271.3,169.8,231.6,100.8,198.5,99.6,248.5,189.3,127.6,143.7,185.3,203,171.7,183.7,275.8,238.4,139.8,159.4,98.8,159.1,99.5,208.1,153.6,157.7,81.5,164.9,234.3,73.9,223,156.5,206.7,134.4,271.7,119.6,196.3
"DakotaCounty",154.1,44.7,237.1,268.6,104,196.7,84.8,109.6,142.6,44.1,204.9,139.2,64.8,254.6,269.6,284,141.6,165,12.5,61.1,164.3,119.3,103.8,89.3,44.7,193.4,29.7,151,219.8,74.5,221.5,156.2,94.4,115.8,420.9,299.7,168.8,236.7,350.2,57.9,177.1,151.7,65.7,271.4,350.4,147.8,88.4,99.1,127.4,87.6,178.8,75.5,178.4,282.4,72.2,212.3,319.2,105.5,190,321.4,162.5,21.1,306,126.9,100.1,38.2,205,372,199.1,23.2,76.4,67.1,112,62.7,187.5,156.8,157.2,213.7,74.8,194.8,77.5,30.5,113.9,225,112.3,63.5,147.4
"DodgeCounty",206.8,97.3,297.7,329.2,164.6,241,70.5,110.5,195.2,104.7,265.5,199.8,117.5,315.2,330.2,336.6,133.3,225.6,61.1,10.8,224.9,81.9,55.1,51.9,37.4,254,90.3,102.3,280.4,127.1,274.1,147.7,147,176.4,481.5,352.3,213.1,289.4,402.9,66.6,197.1,172.3,126.3,332,411,110.4,149,159.7,188,29.1,170.5,82.9,172.6,343,21.9,272.9,379.8,158.1,195.1,382,223.1,73.7,366.6,138.3,160.7,43.1,199.1,432.6,251.7,76.8,137.1,98.3,172.6,22.2,248.1,217.4,217.8,274.3,54.6,255.4,45.1,83.1,105.6,285.6,63.6,124.1,188.7
"DouglasCounty",136,130.6,93.5,161.8,85.5,85,189.5,144.1,193.9,141.4,127.8,77.3,140.8,98.1,140,335.3,159.8,106.3,164.3,224.9,13.8,264.1,262.5,234.1,203.5,37,135.3,309.8,106.8,120.2,190.1,181.9,125.3,66.9,264.4,227.7,98,288,254.2,189.8,143.1,127.7,125.2,127.8,206.9,199.1,89.2,112.5,64.4,244.3,155.9,169.6,193,125.9,230.9,55.8,175.6,156.8,166,164.9,29.8,145.9,162.4,134.6,103.3,182.9,193.3,235,250.3,158.7,104.4,148.5,66,207.4,51.2,59.8,44.1,62.5,233.6,64,222.3,158.7,167,68.5,271,111.8,105.5
"FaribaultCounty",266.5,152.4,336.9,368.4,203.7,235.2,52.7,87,253.8,107.1,304.7,177.8,176,354.4,369.4,395.2,84.7,264.8,119.3,81.9,264.1,13.8,100.1,33.5,130.6,237.4,129.5,148,319.5,172.9,320.6,68.1,205.6,162.4,520.6,397.6,201.9,347.9,448.1,76.6,171.9,149.1,106.6,371.2,450.2,30.9,135.2,198.9,227.2,60.7,115.3,66.9,93,382.2,93.7,312.1,419,216.7,145.3,421.2,205.6,132.3,405.8,117.2,133.2,82.3,119.6,471.8,310.3,103.8,176.2,82.3,211.8,60.3,219.2,197.2,257,261.8,131.1,294.6,58.5,144.5,58.9,324.8,127.5,163.3,166
"FillmoreCounty",249.5,140,335.3,366.8,202.2,296.3,123.7,165.3,238,142.3,303.1,238.9,160.2,352.8,367.9,379.3,182.4,263.2,103.8,55.1,262.5,100.1,15.1,70.1,72.9,291.7,127.9,48.7,318,169.8,316.8,165.8,189.8,214.1,519.1,395.1,268.4,332.1,445.6,121.4,269.6,246.8,165.3,369.6,448.7,128.6,186.6,197.3,225.6,41.8,212.9,137.7,190.7,380.6,33.2,310.5,417.4,200.8,243,419.7,260.7,116.4,404.2,193.1,199.7,97.9,217.2,470.2,294.4,122.8,174.7,153.1,210.2,77,285.8,255,255.4,311.9,69.8,293,101.2,125.8,156.5,323.2,52.5,161.7,247
"FreebornCounty",236.5,122.4,306.9,338.4,173.7,237.8,57.1,107.3,223.8,113.8,274.7,189.5,146,324.4,339.4,365.2,115.8,234.8,89.3,51.9,234.1,33.5,70.1,13.8,100.6,263.2,99.4,118,289.5,142.9,290.6,99.2,175.6,174.1,490.6,367.6,209.8,317.9,418.1,75.8,203,180.2,119.4,341.2,420.2,62,158.1,168.9,197.2,30.7,146.4,79.7,124.1,352.2,63.6,282,389,186.7,176.4,391.2,232.3,102.3,375.8,135,144.9,52.3,150.7,441.8,280.3,86,146.2,95.1,181.8,30.3,257.3,208.9,226.9,283.5,101.1,264.5,34.7,114.4,89.9,294.8,97.5,133.3,197.1
"GoodhueCounty",190.4,81,276.3,307.8,143.1,237.3,87.5,124.3,178.9,83.3,244.1,179.8,101.1,293.8,308.8,320.3,150.2,204.2,44.7,37.4,203.5,130.6,72.9,100.6,14.4,232.6,68.8,120.1,258.9,110.8,257.8,196.3,130.7,155,460,336,209.3,273,386.5,67,200.2,174.8,106.3,310.6,389.6,159.1,127.6,138.3,166.6,72.3,187.5,90.3,221.2,321.6,41.3,251.4,358.4,141.8,212.1,360.6,201.7,57.4,345.2,149.9,140.7,45.4,247.7,411.2,235.4,63.8,115.6,90.2,151.2,59.2,226.7,196,196.3,252.9,44,233.9,75.8,63.6,122.6,264.2,81.4,102.7,187.9
"GrantCounty",164.9,159.8,83.1,187.9,114.6,69.4,196.8,161.8,223,170.5,156.6,79.2,169.9,79.3,153,364.4,176,135.2,193.4,254,37,237.4,291.7,263.2,232.6,12.3,164.4,338.9,132.8,149.3,219.1,198.1,154.4,84.5,245.5,253.7,82.5,317.1,280.2,218.9,127.6,128.7,132.5,116,195,216.8,105.1,141.7,100,273.4,156.9,176.9,194,107.1,260.1,54.4,163.8,185.9,158.9,146.1,47.3,175,150.6,150.8,119.5,212.1,182.4,223.2,279.5,187.8,133.6,155.8,95.1,236.6,35.7,61.8,79.7,47,262.7,92.9,251.4,187.9,184.7,49.7,300.1,141,106.5
"HennepinCounty",137.7,24.6,208.1,239.6,74.9,173.3,87.4,104.9,135.7,28.2,175.9,122.2,57.9,225.6,240.6,277,144.2,136,29.7,90.3,135.3,129.5,127.9,99.4,68.8,164.4,12.7,175.1,190.7,52.2,191.8,158.9,82.4,88.4,391.8,268.8,151.6,229.8,319.3,63.5,171.7,146.4,55.8,242.4,321.4,131.6,60.9,70,98.4,109.6,171.3,78.1,181.1,253.4,96.3,183.2,290.2,98.5,184.7,292.4,133.5,17,277,121.5,90.3,48.3,207.6,343,192.1,28.5,47.4,63.2,83,72.8,158.5,129.4,128.1,184.7,98.9,165.7,87.6,32.7,116.5,196,136.4,36.1,137.5
"HoustonCounty",296.7,187.2,382.5,414,249.4,343.5,172.5,212.5,285.2,189.5,350.4,286.1,207.4,400.1,415.1,370.6,230.3,310.5,151,102.3,309.8,148,48.7,118,120.1,338.9,175.1,12.3,365.2,217,364.1,213.7,237,261.3,566.3,442.3,315.6,323.4,492.8,168.6,299.2,274.4,212.5,416.8,495.9,176.5,233.8,244.5,272.9,89.7,260.9,185,238.6,427.9,80.4,357.7,464.6,248.1,290.9,466.9,307.9,163.6,451.4,240.3,247,145.1,265.1,517.5,341.6,170.1,221.9,200.3,257.5,124.2,333,302.2,302.6,359.1,86.7,340.2,147.2,148.5,204.4,370.5,46.7,208.9,294.2
"HubbardCounty",108.2,179,59.9,61.1,126.8,188.7,247.9,224.4,145.3,196.9,51,194.8,191.6,95.5,62.1,272.3,247.7,93.2,219.8,280.4,106.8,319.5,318,289.5,258.9,132.8,190.7,365.2,16.3,171,102.3,269.8,153.6,154.8,187.6,126.9,194.6,225.1,153.5,245.2,239.8,229.7,183.6,61.8,155.9,269.5,172.1,136.4,94.3,299.7,257.1,228,294.2,96,286.4,101.1,124.6,167.1,268,115.4,126.7,201.4,111.4,222.5,191.2,238.4,295.3,164.5,146.6,214.1,152.8,206.8,130.2,262.9,151.5,156.8,87.8,163,289,52.9,277.7,214.2,254.5,124.6,326.5,167.3,202.4
"IsantiCounty",88.2,28.9,188.3,214.7,49.1,177.2,144.7,163,93.1,86.3,143.1,143.7,23.6,210.5,215.7,234.4,201.4,105.4,74.5,127.1,120.2,172.9,169.8,142.9,110.8,149.3,52.2,217,171,10.9,152.1,216.1,28.5,103.8,376.8,230.4,171.1,187.2,280.9,120.8,204,178.6,113.9,222.6,301.6,188.8,92.8,39.5,78.6,153.6,206,135.4,238.4,238.3,138.2,168.2,270.4,55.9,216.9,261.2,118.4,55.5,257.2,179.6,148.3,91.8,264.9,318.1,149.5,76.4,38.3,121.2,67.9,116.3,143.4,134.3,108.4,169.6,140.8,146,131.1,65.7,173.8,180.9,178.3,62.7,164.8
"ItascaCounty",68.8,176.9,146.2,96.8,149.6,271.2,270.1,273.6,89,211.7,76.1,259.1,170.6,181.8,112.1,216,310.9,92.5,221.5,274.1,190.1,320.6,316.8,290.6,257.8,219.1,191.8,364.1,102.3,152.1,27.8,341.6,124.6,219.1,237.6,79.8,279.3,175.8,145.6,246.3,319.3,294,219.6,148.8,205.8,314.3,208.1,124.7,128.5,300.8,321.4,260.9,363.8,185.2,285.2,187.3,174.6,123.4,332.3,165.4,211.4,202.5,161.4,286.8,255.5,239.5,359.6,196.3,77.1,215.2,173.8,246.7,183.3,263.9,237.4,241.5,165.3,248.7,287.9,139.2,278.8,212.7,299.2,210.9,325.3,188.2,280.1
"JacksonCounty",287.5,179,276,324.9,182.8,176,82.3,68.3,291,137.8,282,126.2,213.2,272.2,303.1,432.4,28.1,249.1,156.2,147.7,181.9,68.1,165.8,99.2,196.3,198.1,158.9,213.7,269.8,216.1,341.6,13.8,232.2,115.1,477,396.9,142.7,385.1,417.2,107.3,112.7,89.9,128.2,308.9,387.9,37.8,133.2,219.9,204.5,126.4,56.1,97.6,33.8,300,159.4,229.9,356.7,253.9,86.2,339,167.7,171.8,343.5,60.6,86.3,148,60.4,416.1,347.5,134.5,197.2,106.1,160.1,126,171.9,149.9,183.9,202.6,196.8,227.1,124.2,184,45.2,242.6,193.3,163.1,106.8
"KanabecCounty",60.6,53.3,176.7,195.4,54.1,182.3,160.8,163.4,71.1,102.4,123.8,148.8,43.5,215.6,196.4,212.5,217.5,86.1,94.4,147,125.3,205.6,189.8,175.6,130.7,154.4,82.4,237,153.6,28.5,124.6,232.2,11.9,108.8,321.9,202.8,176.2,165.2,253.3,136.9,209.1,183.7,109.3,206.4,290.1,204.9,97.9,29.6,76.1,173.6,211.1,151.5,254.4,243.4,158.2,173.3,258.9,34,222,249.7,123.5,75.4,245.7,176.5,145.2,124.5,249.3,298.8,127.6,105.8,64.8,137.3,73,148.9,148.5,139.4,105.8,174.7,160.8,134.4,163.8,85.7,189.9,186,198.2,78.8,169.8
"KandiyohiCounty",165,110.9,161,209.9,69.1,84.6,120.8,78.9,177.4,81.9,168.2,40.1,124.3,157.2,188.1,318.8,93,135.3,115.8,176.4,66.9,162.4,214.1,174.1,155,84.5,88.4,261.3,154.8,103.8,219.1,115.1,108.8,15.1,323.4,275.7,67.5,271.5,302.3,119,100.4,75,58.8,193.9,272.9,133.9,28.6,96.1,90.7,195.8,102.4,100.9,139.5,185,182.5,114.9,241.7,140.3,113.3,224,52.7,105.3,228.5,67.8,36.5,134.5,140.6,301.1,233.9,106.5,84.7,81.2,45.1,159,62.7,40.7,68.9,98.1,185.1,112.1,143.6,139,101.8,127.6,222.6,71,61.2
"KittsonCounty",271.1,387.2,164.6,151,289.3,277,446.1,400.7,293.7,398,217.2,318.7,397.4,171.7,126.7,420.7,416.3,261.5,420.9,481.5,264.4,520.6,519.1,490.6,460,245.5,391.8,566.3,187.6,376.8,237.6,477,321.9,323.4,17.1,196.3,313.6,380.5,116.8,446.3,361.6,378.1,381.7,125.5,50.5,455.7,345.8,304.7,256.8,500.8,414,426.2,446.8,111.8,487.5,201.1,66.8,328.1,393.6,87.5,286.3,402.4,82.8,391.1,359.8,439.5,424,70.8,281.9,415.2,361,405,322.5,464,275.1,301.3,232.5,251.3,490.1,209.6,478.8,415.3,423.6,212.9,527.5,368.4,346
"KoochichingCounty",147,255.1,180.8,80.8,213.6,309.6,347.2,337.7,167.2,288.8,136.1,315.7,248.8,214.8,110.3,261.3,368.6,156.5,299.7,352.3,227.7,397.6,395.1,367.6,336,253.7,268.8,442.3,126.9,230.4,79.8,396.9,202.8,275.7,196.3,28.9,315.5,196.7,85,323.3,360.7,350.6,283.6,147,183.2,369.6,272.2,201.7,192.5,377.8,378,337.9,415.1,183.4,363.5,222,152.9,201.6,388.9,163.6,247.6,280.7,159.6,343.4,312.1,316.5,416.2,135.7,122.1,292.2,246.7,306.9,247.3,341,272.4,277.7,208.7,283.9,366.1,173.8,355.8,291,354.6,245.5,403.5,267.4,323.3
