"County","AdamsCounty","AllenCounty","AshlandCounty","AshtabulaCounty","AthensCounty","AuglaizeCounty","BelmontCounty","BrownCounty","ButlerCounty","CarrollCounty","ChampaignCounty","ClarkCounty","ClermontCounty","ClintonCounty","ColumbianaCounty","CoshoctonCounty","CrawfordCounty","CuyahogaCounty","DarkeCounty","DefianceCounty","DelawareCounty","ErieCounty","FairfieldCounty","FayetteCounty","FranklinCounty","FultonCounty","GalliaCounty","GeaugaCounty","GreeneCounty","GuernseyCounty","HamiltonCounty","HancockCounty","HardinCounty","HarrisonCounty","HenryCounty","HighlandCounty","HockingCounty","HolmesCounty","HuronCounty","JacksonCounty","JeffersonCounty","KnoxCounty","LakeCounty","LawrenceCounty","LickingCounty","LoganCounty","LorainCounty","LucasCounty","MadisonCounty","MahoningCounty","MarionCounty","MedinaCounty","MeigsCounty","MercerCounty","MiamiCounty","MonroeCounty","MontgomeryCounty","MorganCounty","MorrowCounty","MuskingumCounty","NobleCounty","OttawaCounty","PauldingCounty","PerryCounty","PickawayCounty","PikeCounty","PortageCounty","PrebleCounty","PutnamCounty","RichlandCounty","RossCounty","SanduskyCounty","SciotoCounty","SenecaCounty","ShelbyCounty","StarkCounty","SummitCounty","TrumbullCounty","TuscarawasCounty","UnionCounty","VanWertCounty","VintonCounty","WarrenCounty","WashingtonCounty","WayneCounty","WilliamsCounty","WoodCounty","WyandotCounty"
"ChampaignCounty",117.3,65.3,111.5,228.9,121.1,54.3,166.3,99,77.2,181.5,10.7,19.5,104.8,61.6,193.9,117.9,80.2,170.4,49.4,122.6,55.6,121.2,75.4,58.2,47.2,133.2,142.2,197.2,33.9,129.9,87.2,66.2,42.2,171.1,112.9,84.2,96.2,125.4,114.2,119.6,184.4,84.7,195.5,162.9,76.1,21.6,152.3,116.1,31.9,204.6,54.5,140.5,144.2,74,33.7,177.1,43.3,126.3,71,103.2,149.8,123.2,105.4,99.4,62.1,108.8,177.4,66.4,87.6,98.4,82.3,106,138.6,87.3,34.5,160.6,156.9,207.6,162.1,29.9,87.5,119,63.7,160.9,130.9,137,93.1,65.9
"ClarkCounty",99.5,88.2,125.3,242.7,121.1,77.1,166.3,81.2,62.5,191.9,17,10.3,90.1,43.8,207.7,120,88.3,184.2,55.9,145.4,65,129.3,75.4,38.5,47.2,147.6,125.7,211,18,129.9,72.4,80.6,56.5,171.1,127.3,66.4,96.2,127.5,122.3,103,184.4,98.5,209.3,146.4,78.2,35.9,166.1,130.4,27.9,218.4,62.6,154.3,144.2,96.8,36,177,28.5,126.3,88.1,103.2,149.8,137.6,128.3,99.4,58.2,92.3,191.2,51.7,110.4,112.2,72.7,120.3,122.1,101.7,55.4,174.4,170.7,221.4,162.1,38,110.4,102.5,49,160.9,144.6,159.8,107.5,80.3
"ClermontCounty",55.1,138.1,192.1,309.6,137.7,127,229.1,26.6,39.3,254.7,104.8,90.2,11,40.7,280.1,185.1,180.6,251.1,105.8,195.3,134.1,220.4,133.2,65.8,114.3,201.3,122.7,277.9,62,192.8,33,168.3,144.3,234,184.2,41,135.7,193.7,219.7,98.2,247.3,162.9,276.2,120.1,142.5,123.7,232.9,216.6,97.4,285.2,152.7,221.1,147.7,146.7,85.9,239.9,64,171.8,154.9,166,212.6,235.1,178.1,162.3,93.6,72.6,258.1,65.7,160.3,179.1,74.9,217.8,90.4,195.4,105.3,241.3,237.6,288.3,225,128.1,160.3,115.8,38,180.4,211.5,209.7,193.6,181
"ClintonCounty",67.2,112.1,145.4,262.9,114.2,101,182.4,38.7,45.7,208,61.6,47,40.7,10.4,233.3,138.4,133.9,204.4,79.7,169.3,87.4,173.7,86.5,26.3,67.6,175.3,108.9,231.1,25.2,146,48.8,142.2,101.1,187.3,158.2,27.2,91.7,147,173,86.3,200.5,116.2,229.5,118.1,95.8,80.5,186.2,190.6,50.7,238.5,99.7,174.4,134,120.7,59.8,193.2,38,142.4,108.2,119.3,165.9,189.5,152.1,115.5,54.1,75.6,211.4,59,134.3,132.3,56,172.2,88.4,153.5,79.3,194.6,190.9,241.6,178.3,75.1,134.3,85.8,28.5,156.9,164.8,183.7,167.6,134.7
"ColumbianaCounty",252.8,191.1,89.4,77.1,168.9,210,73.5,270.8,269.3,30.3,193.9,214.4,280.1,233.3,11.9,89.6,121.1,76.8,240.3,228.8,147.5,123.7,160.9,210.3,161.6,202.4,215.5,76.1,224.5,91.8,270.8,168.9,166.6,64.3,203,237.2,163.6,75.4,121.9,210.3,45.5,110.8,94.9,253.6,131,192.6,95.1,185.9,188.9,23.4,137.6,78.4,185.4,229.7,242.8,103.5,235.3,142.8,129.6,115.8,115.8,150.5,230.4,144.4,191.7,218.6,42,258.5,196.2,101.7,202.3,150.2,248.4,150.2,222.3,42,56.3,37.1,55.4,167.3,215.9,187.6,250.5,143.9,71.4,230.9,185.8,143.6
"CoshoctonCounty",157.9,136.6,56.9,153.9,85.7,155.6,80.8,175.8,172.7,64.3,117.9,126.7,185.1,138.4,89.6,12.3,88.5,97.1,175,181.5,71.7,107.7,65.9,115.3,75.5,178.6,134.3,117,136.8,40.3,175.8,124.5,107,51.8,171.3,142.2,79.8,25.5,89.9,123.2,73.7,33.6,130.5,166.6,43.3,122.9,91.2,162,101.2,107.7,77.9,66.8,108.8,175.3,155.1,91.6,147.6,66.8,62.5,35.9,64.3,129,186.1,61.2,96.8,123.6,93.1,170.8,151.9,69.2,107.3,120.3,153.4,118.1,149.4,62.6,81.8,119.8,34.5,97.6,171.6,103.8,155.5,92.4,47.3,207.1,151.4,99.3
"CrawfordCounty",170.8,72.5,36.3,156.1,142.9,91.4,148.1,171.3,150.8,108.8,80.2,93.1,180.6,133.9,121.1,88.5,10.3,97.6,137.6,107.2,49.8,53.8,97.2,110.8,67.7,117.2,169.9,124.4,107.4,123.1,160.7,50.3,54.1,114.7,97,137.7,118,64.1,46.8,147.3,136.6,51.3,122.8,190.6,72.6,73.7,79.5,100.1,80.4,131.8,25.8,67.7,166.1,111.1,121.9,158.9,116.8,132.3,27,109.2,147.2,70.3,111.8,105.4,93.6,136.5,104.6,140,77.6,21.8,120.3,58.3,166.3,43.8,103.7,87.8,84.1,134.9,89.2,51.3,97.3,141.9,137.3,175.3,58.1,130.8,77.1,25
"CuyahogaCounty",241.2,170.8,65.7,65.2,186.2,189,134,241.8,245.8,81.4,170.4,190.9,251.1,204.4,76.8,97.1,97.6,18.2,216.8,165.3,124,60.1,153.6,181.3,138.1,138.9,232.8,38.2,201,109.1,241.8,125.7,143.1,100.6,139.4,208.2,167.5,72.8,70.6,217.7,113.1,104.9,29.1,261,131,169.1,31.6,122.3,165.4,70.4,114.1,34.6,202.7,208.6,219.3,144.8,211.8,160.1,106.1,133.1,133.1,86.9,181.9,155.1,164.1,207,35.9,235,159.7,78.2,190.7,86.6,236.8,93.9,201.2,54.1,36.4,57.6,75.1,143.8,195.7,191.5,221.5,161.2,51.7,167.4,122.3,120.1
"DarkeCounty",135.4,69.8,157.8,275.3,176.1,48.4,221.2,127.3,53.7,246.8,49.4,56,105.8,79.7,240.3,175,137.6,216.8,12.6,87.6,102,177.9,130.4,91.9,102.2,120.4,177.1,243.6,57.6,184.9,88.1,100,91,226.1,115.9,102.4,151.1,182.5,165.6,154.5,239.4,131,241.9,197.8,133.2,70.4,209.5,148.3,82.9,250.9,100.9,186.8,199.2,33.9,23.9,232,44.7,181.2,117.3,158.1,204.7,166.8,70.4,154.4,113.2,143.8,223.8,27.5,81.9,144.8,124.2,149.5,173.6,127.1,37,207,203.3,254,217.1,76.3,52.5,154,73.5,215.9,177.2,102,125.3,112.7
"DefianceCounty",225,52.8,140.4,225.3,227.9,71.3,264.7,216.9,140.6,232.3,122.6,145.5,195.3,169.3,228.8,181.5,107.2,165.3,87.6,10.5,133.9,106,182.2,181.4,152.7,34.9,257.2,196.4,147.1,228.3,177.6,58.5,82,219.4,29.5,191.9,203,168.7,112.3,234.5,241.3,148.1,189.2,277.9,165,102.1,139.7,59.3,153.3,221.9,107,151.4,251,61.8,111.3,275.5,134.3,224.7,123.8,201.6,248.2,89.3,18.7,197.8,184,223.8,187.9,114.4,38.4,126.5,207.5,77.6,253.6,88.6,85.3,205,187.3,215.3,193.9,113.9,36.6,226.9,163,267.8,162.8,23.9,53.4,82.4
"DelawareCounty",124.3,89,65.1,182.5,98.4,87,142.1,124.8,126.6,135.1,55.6,71.7,134.1,87.4,147.5,71.7,49.8,124,102,133.9,11,90.7,52.7,64.3,23.2,143.9,123.4,150.8,81.8,105.7,124.8,76.9,59.4,123.3,123.7,91.2,73.5,75.9,92.7,100.7,160.2,38.3,149.1,144.1,37.4,54.3,105.9,126.8,46.2,158.2,28,94.1,121.5,106.7,100.1,152.8,92.7,102.1,27.9,79,125.6,106.5,138.5,75.2,47.1,90,131,115.8,104.3,52,73.7,89.2,119.8,70.5,81.9,114.3,110.5,161.3,115.6,28.9,124,97.4,104.5,138.2,84.5,157.5,103.8,51.7
"ErieCounty",210.6,113.7,51.2,120.2,184.7,131.8,164.8,211.1,191.8,127.2,121.2,134.1,220.4,173.7,123.7,107.7,53.8,60.1,177.9,106,90.7,12.9,139.1,150.6,109.5,89.3,209.7,91.3,148.4,139.8,201.7,68.5,92,131.4,82.3,177.5,159.8,83.2,21.7,187.1,158.9,91,84.1,230.4,117.1,111.6,33.3,65.7,121.4,116.7,66.7,62,207.9,151.5,162.2,175.6,157.8,168,74.9,144.9,163.9,27.3,122.7,141.1,133.4,176.4,82.8,181,102.5,51.9,160.1,29.4,206.1,40.5,144.1,99.9,82.2,110.1,105.9,92.3,138.5,183.8,178.3,192,74.8,117.8,60.8,62.9
"FairfieldCounty",96,125.3,89.4,212.1,49,122.1,109.9,123.9,120.8,135.6,75.4,82.1,133.2,86.5,160.9,65.9,97.2,153.6,130.4,182.2,52.7,139.1,11.6,55.2,29,192.3,90.1,180.4,92.2,73.6,123.9,125.3,95.7,114.8,172,79.3,24,85.4,122.3,67.4,128.1,54.7,178.7,110.8,26.3,89.4,135.5,175.1,52.2,179,76.3,123.7,72.1,141.8,110.5,120.7,103,57.3,71.6,46.9,93.5,154.8,173.3,30.4,32.8,61.8,164.4,126.2,152.6,81.6,45.5,137.5,91.6,118.8,106.9,133.9,153.1,191.1,105.8,64.1,155.4,48,103.6,88.8,99.8,205.8,152.1,100
"FayetteCounty",63.8,124.2,122.3,239.8,94.4,113.1,159.3,63.8,69.6,184.9,58.2,43.6,65.8,26.3,210.3,115.3,110.8,181.3,91.9,181.4,64.3,150.6,55.2,10.4,44.6,180.4,89.2,208.1,34.6,123,72.7,113.5,89.4,164.2,170.4,30.8,67.7,123.9,149.9,66.5,177.5,93.1,206.4,109.8,72.7,77.1,163.2,163.3,33.3,215.4,82.4,151.4,114.2,132.8,72,170.1,51.7,97.1,85.2,96.3,142.8,166.4,164.3,74.7,30.2,55.8,188.3,87.7,146.4,109.3,36.2,149.1,85.6,130.4,91.4,171.5,167.8,218.5,155.2,57.8,146.4,66,52.4,137.1,141.7,195.8,140.3,111.6
"FranklinCounty",104.6,97.1,78.3,195.7,74.4,93.9,122.6,105.1,102,148.2,47.2,53.9,114.4,67.7,160.7,75.3,66.8,137.2,102.2,151.7,22.2,108.6,28.7,44.6,12,161.8,103.7,164,64,86.2,105.1,94.8,67.5,127.4,141.5,71.5,49.5,82.8,105.8,81,140.7,51.5,162.3,124.4,33.5,61.2,119.1,144.6,28.4,171.4,45.8,107.3,97.6,113.6,82.3,133.4,74.8,82.6,41.1,59.5,106.1,124.3,145.1,55.7,27.4,70.3,144.2,98,122.2,65.2,54,107,100.1,88.3,78.7,127.4,123.7,174.4,118.5,35.9,127.2,73.5,84.8,114.3,97.6,175.3,121.7,69.6
"FultonCounty",231.1,64.3,122.1,199,237.9,87,235.7,223,173.9,206,133.2,150.1,201.4,175.4,202.4,178.6,117.2,138.9,120.4,34.9,143.9,89.3,192.3,180.4,162.7,10.4,253.5,170.1,153.3,210.7,183.8,68.5,96.6,202.3,25.1,198,213,154.1,94,230.9,224.2,158.1,162.9,274.2,175.1,116.2,113.3,30.3,154.3,195.5,117,133.1,261.1,94.7,117.4,246.5,140.4,234.7,133.8,211.6,234.8,63,51.5,207.8,180.3,220.2,161.6,147.3,49.8,124.6,203.9,60.5,249.9,73.8,99.3,178.7,160.9,188.9,176.8,123.4,69.5,237,169.2,262.9,145.7,29.3,40.8,92.4
"GalliaCounty",84.5,192.1,181.4,279.8,50.3,188.9,164.6,115.6,156.9,190.2,142.2,128.9,122.7,108.9,215.5,134.3,169.9,232.8,177.1,257.2,123.4,209.7,90.1,89.2,103.6,253.5,11.2,242.9,118.1,128.2,150.6,186.6,162.5,169.4,233.3,96.8,63.9,157.9,209,28.2,182.7,134.6,256.5,53.3,112.3,156.2,222.2,236.4,110.5,233.6,146.9,210.4,27,208.6,157.3,122.6,135.2,84.5,144.2,103.4,110.1,225.5,240,88.5,79.3,54.2,219,157.2,214.5,168.4,61.5,208.2,57.4,189.5,176.7,188.6,207.8,245.8,160.5,130.8,222.2,44,135.9,74.9,198.8,267.1,213.4,170.7
"GeaugaCounty",268,194.4,92.5,48.1,196.3,213.3,148.4,268.6,272.6,77.3,197.2,217.7,277.9,231.1,76.1,117,124.4,38.2,243.6,196.4,150.8,91.3,180.4,208.1,164.9,170.1,242.9,10.4,227.8,119.2,268.6,172.2,169.9,110.7,170.6,235,191,99.6,101.7,244.5,120.4,131.7,22.5,287.9,157.8,195.9,62.7,153.5,192.2,56.3,140.9,61.4,212.8,233,246.1,154.9,238.6,170.2,132.9,143.2,143.2,118.1,213.1,171.8,190.9,233.8,25,261.8,190.8,105,217.5,117.8,263.6,125.1,225.6,56.1,47,39.5,85.2,170.6,219.2,215,248.3,171.3,78.5,198.5,153.4,146.9
"GreeneCounty",80.9,89.9,142.1,259.5,123.3,78.9,183.1,62.6,48.1,208.7,33.9,19.3,62,25.2,224.5,136.8,107.4,201,57.6,147.1,81.8,148.4,92.2,34.6,64,153.2,118.1,227.8,10.5,146.7,52.7,120.1,73.3,187.9,136.1,47.8,113,144.4,141.4,95.4,201.2,115.3,226.1,138.8,95,52.8,182.9,168.4,44.8,235.2,81.7,171.1,143.1,98.6,37.7,193.9,17.5,143.1,104.9,120,166.6,154.4,130,116.2,63.3,84.7,208,53.4,112.2,129,65.1,137.2,114.5,118.5,57.1,191.3,187.5,238.3,178.9,57.1,112.1,94.9,27.9,177.8,161.5,161.6,145.5,97.1
"GuernseyCounty",165.5,180.9,91.4,156.1,81.6,177.7,39.6,183.4,180.4,66.4,129.9,136.6,192.8,146,91.8,40.3,123.1,109.1,184.9,228.3,105.7,139.8,73.6,123,86.4,210.7,128.2,119.2,146.7,11.8,183.5,171.4,151.3,45.7,218.1,149.9,76.3,63.1,122,123,59,73.8,132.7,166.3,64.7,145,126.3,194.2,111.1,109.8,122.4,95.6,98.1,197.4,165,50.4,157.5,55.5,102.7,28.5,28.5,161.2,228.9,57.1,104.4,131.3,95.3,180.7,198.7,103.7,115,152.5,161.1,150.3,161.4,64.8,84,122,36.7,119.7,211,100.3,163.2,56.6,75,239.2,198.2,146.1
"HamiltonCounty",83.1,120.4,182.9,300.3,161.4,109.4,219.9,54.6,21.6,245.5,87.2,72.5,33,48.8,270.8,175.8,160.7,241.8,88.1,177.6,124.8,201.7,123.9,72.7,105.1,183.7,150.6,268.6,52.7,183.5,10.5,150.6,126.6,224.7,166.6,61.9,144.7,184.4,210.5,126.1,238,153.7,266.9,148.1,133.2,106,223.7,198.9,88.1,276,135,211.9,175.6,129,68.2,230.6,46.4,179.9,145.7,156.8,203.4,217.4,160.5,153,101.4,100.6,248.8,48,142.7,169.8,103.2,200.1,118.4,177.8,87.6,232,228.3,279,215.7,110.4,142.6,133,28.1,209.4,202.2,192.1,176,163.4
"HancockCounty",187.4,35.7,84.1,203.9,171,53.8,207.7,189.9,140.7,156.5,66.2,83.1,168.3,142.2,168.9,124.5,50.3,125.7,100,58.5,76.9,68.5,125.3,113.5,95.7,68.5,186.6,172.2,120.1,171.4,150.6,11.9,29.6,162.4,48.3,164.9,146,111.8,66.1,163.9,184.4,91.1,149.6,207.2,108.1,49.2,100.1,51.4,87.3,179.5,50.1,115.4,194.1,73.5,84.3,218.5,107.2,167.7,66.8,144.6,191.2,57.3,75,140.9,113.3,153.2,152.4,127.4,28.9,69.5,136.9,40,182.9,27.6,66.1,135.6,131.9,182.6,136.9,56.4,60.5,170,136,210.8,105.8,82.1,28.4,25.4
"HardinCounty",163.4,30.1,81.8,201.6,141.4,44.8,187.6,138.5,116.7,154.2,42.2,59,144.3,101.1,166.6,107,54.1,143.1,91,81.9,59.4,92,95.7,89.4,67.5,96.6,162.5,169.9,73.3,151.3,126.6,29.6,11.2,160.2,76.3,123.7,116.5,109.5,88.1,139.8,182.1,73.6,168.2,183.2,87.4,25.1,114.8,79.4,63.2,177.3,29.7,113.2,164.5,64.5,75.3,198.4,82.8,147.7,49.3,124.6,171.2,86.6,78.4,120.8,89.3,129.1,150.1,105.9,52.3,66.2,112.8,69.3,158.9,50.6,57.1,133.3,129.6,180.3,134.6,32.3,63.8,139.3,103.2,181.2,103.5,110.1,56.5,29.3
"HarrisonCounty",206.7,184.6,83,140.1,122.8,203.6,41.5,224.7,221.6,33.4,171.1,177.8,234,187.3,64.3,51.8,114.7,100.6,226.1,219.4,123.3,131.4,114.8,164.2,127.7,202.3,169.4,110.7,187.9,45.7,224.7,162.4,160.2,10.4,196.9,191.1,117.5,57.4,113.6,164.2,22.6,85.2,124.3,207.6,93.2,172.8,117.9,185.8,152.3,86.4,131.1,87.2,139.3,223.3,206.2,61.5,198.7,96.7,123.1,69.7,69.7,152.8,224,98.3,145.6,172.5,86.8,221.9,189.8,95.3,156.2,144,202.3,141.9,202.6,56.4,75.6,100.1,28.7,147.4,209.5,141.5,204.4,97.8,66.6,230.8,175.4,137.2
"HenryCounty",214,47.2,116.7,199.5,217.7,69.9,230.3,205.9,156.8,194.4,112.9,134.6,184.3,158.3,203,171.3,97,139.4,116,29.5,123.7,82.3,172,170.4,142.5,25.1,233.3,170.6,136.2,218.1,166.7,48.3,76.3,196.9,10.5,180.9,192.8,158.5,88.5,210.6,218.8,137.9,163.4,254,154.8,91.2,113.8,42.5,134,196.1,96.8,127.6,240.8,89.3,100.3,241,123.3,214.5,113.6,191.4,237.9,72.5,46.2,187.6,160.1,199.9,162.1,143.5,32.7,116.3,183.6,53.8,229.7,64.8,82.2,167.1,161.5,189.4,171.3,103.1,64.1,216.7,152.1,257.5,140.2,39.6,29.6,72.2
"HighlandCounty",36.5,134.7,149.2,266.7,100.5,123.6,186.2,39,68.2,211.8,84.2,69.6,41,27.2,237.2,142.2,137.7,208.2,102.4,191.9,91.2,177.5,79.3,30.8,71.5,197.9,96.8,235,47.8,149.9,61.9,164.9,123.7,191.1,180.8,12.2,92.1,150.8,176.8,72.4,204.4,120,233.3,94.3,99.6,103.1,190.1,213.2,66.4,242.3,114.8,178.2,121.9,143.3,82.5,197,60.6,121.3,112.1,123.1,169.7,193.3,174.8,98.8,58.7,46.8,215.2,81.6,156.9,136.2,34.3,176,64.7,157.3,101.9,198.4,194.7,245.4,182.1,95.3,156.9,72.1,51.1,143.2,168.6,206.3,190.2,138.5
