"County","AlbanyCounty","AlleganyCounty","BronxCounty","BroomeCounty","CattaraugusCounty","CayugaCounty","ChautauquaCounty","ChemungCounty","ChenangoCounty","ClintonCounty","ColumbiaCounty","CortlandCounty","DelawareCounty","DutchessCounty","ErieCounty","EssexCounty","FranklinCounty","FultonCounty","GeneseeCounty","GreeneCounty","HamiltonCounty","HerkimerCounty","JeffersonCounty","KingsCounty","LewisCounty","LivingstonCounty","MadisonCounty","MonroeCounty","MontgomeryCounty","NassauCounty","NewYorkCounty","NiagaraCounty","OneidaCounty","OnondagaCounty","OntarioCounty","OrangeCounty","OrleansCounty","OswegoCounty","OtsegoCounty","PutnamCounty","QueensCounty","RensselaerCounty","RichmondCounty","RocklandCounty","StLawrenceCounty","SaratogaCounty","SchenectadyCounty","SchoharieCounty","SchuylerCounty","SenecaCounty","SteubenCounty","SuffolkCounty","SullivanCounty","TiogaCounty","TompkinsCounty","UlsterCounty","WarrenCounty","WashingtonCounty","WayneCounty","WestchesterCounty","WyomingCounty","YatesCounty"
"CortlandCounty",152.9,145.5,221.1,38,192,40.6,231.8,62.4,51.2,269.5,166.5,11.5,85.9,181.9,173.3,222.7,217.6,151.9,138.1,141.5,157,110.7,110.5,224.2,122.4,124.5,51.5,113.4,137.3,244.6,217.1,184,81.6,38.5,80.9,165.4,150.9,74.6,78.5,201.4,231.4,169.9,219.2,201,168.3,162.8,142.5,119.2,59.7,64.1,101.3,272.2,127.1,52.5,29.3,158.1,199.1,215.2,82.3,211.6,155.6,85.2
"DelawareCounty",104.3,212.2,166.2,65.2,258.8,122.3,299.8,125.6,67.2,251.4,103.4,85.9,19.7,105.9,260.3,204.6,262.2,104.4,219.9,78.3,155.6,85.8,182.1,172.4,139.2,205.1,95,195.1,91.2,189.7,170.6,265.7,98.4,120.2,154.7,103.1,232.6,154,42.7,137.1,176.6,121.3,177.3,138.6,213.1,114.2,93.9,70.6,122.3,130,168.1,217.4,64.7,95.2,99.5,80.5,150.5,166.6,164,149.3,228.4,151.7
"DutchessCounty",84.7,288.4,80.7,146.2,334.9,218.6,376,201.8,161.6,246.8,58,182.2,106.2,14.8,336.5,200,257.6,131.5,310.1,57.7,178.6,165.7,267.3,102.4,224.4,281.3,170.6,306,125.3,101.3,90.7,376.6,183.6,216.5,251,48.7,343.5,236.9,137.1,35,89.2,88,111.6,55.9,281.3,113.8,98.2,92.9,210,226.3,244.2,128.9,70.9,171.4,195.8,44.9,145.9,138.7,260.3,64.9,304.6,239.5
"ErieCounty",283.1,70.5,375.3,196.1,48.6,132.8,59,136.1,219.5,376.4,323.8,173.5,260.3,336.2,18,329.6,321.8,258.7,39.4,297,263.9,217.6,214.7,378.5,231.4,61.9,178.3,71.2,244.1,398.9,371.4,25,188.5,147.7,90.6,319.7,54.5,156.3,240.1,355.7,385.7,300,373.5,355.3,272.6,279,269.1,266.8,142,116.5,101.9,426.5,281.4,178.4,154.7,312.4,313.5,322.2,118.6,365.9,38.3,116.2
"EssexCounty",117.2,327.4,270.8,232.5,377.7,215.7,388,292.9,217.9,63.7,151.9,222.7,204.6,199.7,329.6,22.5,61.1,104.1,294.4,157.7,89.1,135.4,157.1,277,148.7,296.7,177.4,269.6,116.5,294.3,275.2,340.3,146.6,188.8,251.7,222.2,307.1,195,193.3,227.7,281.1,121.5,281.9,243.2,108.5,90.8,111.4,146.9,267.5,237,286.2,322,223.9,262.5,239.4,181.1,54.7,113.1,241.4,253.9,311.9,254.9
"FranklinCounty",174.8,319.7,328.4,251.4,369.9,207.9,380.3,267.4,216.3,67.6,209.5,217.6,262.2,257.3,321.8,61.1,21.2,153.2,286.6,215.3,105.4,162.4,113.3,334.6,134.4,288.9,194.1,261.9,165.6,351.9,332.8,332.5,163.3,181.9,244,279.8,274.6,159.8,204.8,285.3,338.7,179.1,339.5,300.8,50,148.4,169,204.4,259.7,229.3,278.4,379.6,281.5,257.5,234.3,238.7,112.3,170.7,213.9,311.5,304.1,247.2
"FultonCounty",48.6,256.6,202.2,132.3,306.8,144.8,317.2,192.7,110.9,150.9,89.3,151.9,104.4,131.2,258.7,104.1,153.2,11.9,223.5,71.1,58,58.5,160.1,208.4,117.2,225.8,96.7,198.8,17.2,225.8,206.7,269.4,76.4,118,180.9,153.7,236.3,129.7,75.9,159.1,212.6,65.6,213.4,174.7,165.7,37.3,34.7,48.9,196.6,166.2,215.3,253.4,155.4,162.3,168.6,112.6,65.9,74.7,170.6,185.3,241,184.1
"GeneseeCounty",247.9,71.8,349,169.7,87.5,97.6,97.8,109.8,184.3,341.2,288.6,138.3,220.1,309.8,39.4,294.4,286.6,223.5,11.5,261.8,228.7,182.4,179.6,352.2,196.2,35.1,143.1,35.2,208.9,372.5,345.1,50.1,153.3,112.5,49,293.4,22,121.1,204.9,329.4,359.4,264.9,347.1,329,237.4,243.8,233.9,231.6,106.8,81.3,75.6,400.2,255.1,152.1,119.5,286.1,278.3,287,83.4,339.6,26.4,74.7
"GreeneCounty",42.3,267.8,128.5,120.8,314.4,159,355.4,181.2,106.2,204.5,26.1,141.5,78.3,57.4,297,157.7,215.3,71.1,261.8,13.2,122.9,96.8,198.3,134.7,155.4,264.1,113.9,237,57.9,152,132.9,307.6,114.7,141.4,219.1,79.9,274.5,168,81.6,85.4,138.8,52,139.6,100.9,229.4,71.4,55.8,36.3,177.9,204.4,223.7,179.7,81.6,150.8,155.1,38.8,103.6,102.9,208.8,111.6,279.3,222.3
"HamiltonCounty",95.8,261.8,249.4,172.8,312,150,322.4,206.8,133.9,135.9,136.5,157,155.6,178.3,263.9,89.1,105.4,58,228.7,122.9,21.9,69.8,134.4,255.6,101.2,231,111.7,203.9,70.5,273,253.9,274.6,80.9,123.1,186,200.8,241.4,129.3,110.9,206.3,259.8,112.8,260.5,221.9,117.9,84.3,81.8,100.7,201.8,171.3,220.5,300.6,202.6,197,173.8,159.8,59.1,117.9,175.7,232.5,246.2,189.3
