"FAFZone","FairfieldCounty","HartfordCounty","LitchfieldCounty","MiddlesexCounty","NewHavenCounty","NewLondonCounty","TollandCounty","WindhamCounty"
"241",257.157142857143,316.757142857143,297.485714285714,310.057142857143,282.857142857143,326.557142857143,333.342857142857,354.457142857143
"242",301.06,360.52,340.84,353.96,326.76,370.46,377.26,398.36
"249",294.6,353.95,333.9,347.5,320.3,364.008333333333,370.791666666667,391.9
"251",169.6125,109.45,146.9125,125.2625,142.45,102.1125,89.475,74.825
"259",151.683333333333,92.3666666666666,115.35,112.683333333333,124.433333333333,117.316666666667,90.7833333333333,93.9666666666667
"261",695.1,738.5,713.13,741.7,719.91,761.93,756.9,778.02
"262",811.5,854.9,829.5625,858.1,836.3375,878.3875,873.3125,894.4375
"269",899.714615384615,943.142307692307,917.777692307692,946.33,924.565384615385,966.580769230769,961.557692307692,982.67
"271",1296.47368421053,1339.91578947368,1314.53684210526,1343.10526315789,1321.33157894737,1363.33684210526,1358.33157894737,1379.43684210526
"279",1395.56617647059,1438.98088235294,1413.625,1442.17794117647,1420.41323529412,1462.43676470588,1457.4,1478.52352941176
"280",1243.98841463415,1301.4506097561,1276.08841463415,1296.88780487805,1269.68780487805,1313.39451219512,1320.18048780488,1341.29573170732
"291",1266.51538461538,1327.57692307692,1302.20769230769,1330.75384615385,1309,1335.91538461538,1345.98461538462,1367.11538461538
"292",1061.8875,1122.95,1097.6,1126.125,1104.3625,1131.3125,1141.35,1162.5
"299",1193.37553191489,1254.9085106383,1229.55,1257.5585106383,1232.01489361702,1262.04361702128,1273.25,1294.37234042553
"300",2198.37142857143,2241.79107142857,2216.42857142857,2244.98214285714,2223.21785714286,2265.24107142857,2260.20357142857,2281.32857142857
"311",1326.41666666667,1369.86666666667,1344.51666666667,1373.01666666667,1351.28333333333,1393.31666666667,1388.28333333333,1409.41666666667
"319",1515.15229885057,1558.57528735632,1533.20574712643,1561.7591954023,1540,1582.02068965517,1576.99540229885,1598.10689655172
"321",2614.15,2657.6,2632.2,2660.75,2639,2681,2676,2697.1
"329",2657.68666666667,2701.12,2675.76666666667,2704.3,2682.56666666667,2724.56666666667,2719.55333333333,2740.66666666667
"331",213.16,147.4,184.86,171.18,181.14,150.68,127.44,118.98
"339",242.9,176.96,202.76,200.92,210.86,197.64,174.88,165.94
"341",99.3142857142857,158.671428571429,136.564285714286,151.985714285714,125.171428571429,168.728571428571,174.707142857143,195.835714285714
"342",171.242857142857,231.2,212.928571428571,224.128571428571,196.928571428571,240.642857142857,247.428571428571,268.542857142857
"350",2080.69848484848,2141.74696969697,2116.40151515152,2144.93484848485,2123.18939393939,2150.10757575757,2160.18181818182,2181.29848484848
"361",156.55,130.18,120.66,163.19,146.57,182.51,146.61,161.02
"362",384.2,402.333333333333,389.1,425.8,408.133333333333,447.933333333333,418.333333333333,435.433333333333
"363",63,112.9,93.3423076923077,112.523076923077,88.4384615384616,133.153846153847,130.561538461539,151.676923076924
"364",314.76875,327.975,320.8,356.4875,336.7125,380.2,342.775,357.2
"369",249.7,254.182142857143,241.375,277.164285714286,259.625,300.65,271.353571428571,287.260714285714
"371",703.738888888889,761.205555555556,735.85,756.65,729.438888888889,773.161111111111,779.938888888889,801.072222222222
"372",629.37,687.06,662.44,682.28,655.08,698.78,705.55,726.68
"373",559.136363636364,619.109090909091,600.827272727273,612.027272727273,584.827272727273,628.536363636364,635.327272727273,656.445454545454
"379",632.621428571429,691.584285714285,670.480714285714,685.518571428571,658.319285714286,702.031428571428,708.81,729.931428571428
"380",1707.50377358491,1750.92452830189,1725.55471698113,1754.11509433962,1732.34905660377,1774.35849056604,1769.33962264151,1790.45471698113
"391",693.15,759.4,734.033333333333,746.05,718.85,762.55,771.733333333333,792.866666666667
"392",519.811538461538,561.9,537.865384615385,566.419230769231,544.657692307692,586.673076923077,579.234615384616,599.311538461538
"393",599.758823529412,652.952941176471,627.585294117647,651.591176470588,626.961764705883,668.264705882353,671.076470588235,692.208823529412
"394",673.007142857143,725.807142857142,700.478571428572,729.007142857143,707.271428571428,741.507142857143,744.25,765.378571428571
"399",600.322222222222,648.985555555555,623.627777777778,649.42,625.845555555556,668.777777777778,667.343333333333,688.456666666667
"401",1534.275,1595.3625,1569.975,1598.5625,1576.775,1603.7125,1613.775,1634.875
"402",1432.48,1493.55,1468.18,1496.75,1474.97,1501.88,1511.96,1533.08
"409",1560.57457627119,1622.2,1596.8406779661,1624.4406779661,1602.49661016949,1629.98474576271,1639.94745762712,1661.06101694915
