"FAFZone","AlamedaCounty","AlpineCounty","AmadorCounty","ButteCounty","CalaverasCounty","ColusaCounty","ContraCostaCounty","DelNorteCounty","ElDoradoCounty","FresnoCounty","GlennCounty","HumboldtCounty","ImperialCounty","InyoCounty","KernCounty","KingsCounty","LakeCounty","LassenCounty","LosAngelesCounty","MaderaCounty","MarinCounty","MariposaCounty","MendocinoCounty","MercedCounty","ModocCounty","MonoCounty","MontereyCounty","NapaCounty","NevadaCounty","OrangeCounty","PlacerCounty","PlumasCounty","RiversideCounty","SacramentoCounty","SanBenitoCounty","SanBernardinoCounty","SanDiegoCounty","SanFranciscoCounty","SanJoaquinCounty","SanLuisObispoCounty","SanMateoCounty","SantaBarbaraCounty","SantaClaraCounty","SantaCruzCounty","ShastaCounty","SierraCounty","SiskiyouCounty","SolanoCounty","SonomaCounty","StanislausCounty","SutterCounty","TehamaCounty","TrinityCounty","TulareCounty","TuolumneCounty","VenturaCounty","YoloCounty","YubaCounty"
"280",2177.98902439025,2183.08902439024,2197.06585365854,2278.90853658537,2185.89390243903,2261.48902439025,2183.81829268292,2542.55731707317,2227.75365853659,2029.18536585366,2297.28780487805,2473.67743902439,1744.44573170732,1959.04146341464,1895.25,2008.09695121951,2305.50853658537,2256.75487804878,1900.50426829269,2053.62560975609,2212.62439024391,2110.82804878049,2336.33292682927,2095.13902439025,2313.12317073171,2055.09512195122,2110.48841463415,2221.50853658537,2246.67073170732,1891.41524390244,2233.76463414634,2227.51097560975,1845.47195121951,2192.11097560975,2104.25609756097,1824.38536585366,1847.10121951219,2200.66341463414,2153.94146341464,2026.31646341464,2187.62439024391,2015.22378048781,2158.39878048781,2159.14390243903,2371.73902439025,2216.24268292683,2443.52317073171,2206.08658536586,2249.83292682927,2116.95365853658,2239.47926829268,2330.17804878048,2417.95853658537,1981.37987804878,2168.45365853658,1945.92012195121,2222.21646341463,2254.40853658537
"291",1823.26153846154,1655.95384615385,1712.80769230769,1747.98461538462,1743.55384615385,1783.16923076923,1795.39230769231,2005.16923076923,1687.07692307692,1786.70769230769,1783.06153846154,1945.90384615385,1611.58461538462,1640.31538461538,1652.76923076923,1764.39230769231,1827.18461538462,1706.73846153846,1660.81538461538,1811.13846153846,1817.3,1831.30769230769,1884.3,1826.20769230769,1763.11538461538,1667.27692307692,1870.86153846154,1791.38461538462,1670.28461538462,1658.27692307692,1691.09230769231,1677.5,1657.42307692308,1728.52307692308,1856.00769230769,1583.91538461538,1706.33846153846,1815.83846153846,1771.84615384615,1782.59230769231,1842.00769230769,1762.65384615385,1847.52307692308,1872.34615384615,1794.13076923077,1666.23846153846,1836.90769230769,1772.96153846154,1825.6,1800.66923076923,1726.05384615385,1794.95384615385,1849.43461538462,1738.9,1772.36153846154,1693.44615384615,1744.59230769231,1707.49230769231
"292",2050.225,1887.575,1944.45,1979.6,1975.175,2014.7875,2027.0375,2236.8,1918.6875,1947.1875,2014.6875,2177.525,1721.0125,1841.3625,1813.2375,1924.85,2058.8,1938.375,1819.425,1971.6125,2048.9375,2028.8125,2115.95,2011.225,1994.75,1841.7625,2027.2375,2023,1901.9125,1816.9125,1922.725,1909.15,1791.225,1960.1625,2021,1742.55,1838.2125,2047.475,2003.475,1943.075,2067.85,1921.2875,2062.675,2072.225,2025.775,1897.875,2068.55,2004.575,2057.2375,2017.5875,1957.675,2026.575,2081.05625,1899.375,2003.975,1852.0875,1976.225,1939.1375
"299",1950.92021276596,1822.69468085106,1877.82127659574,1914.72553191489,1904.12234042553,1948.05106382979,1938.97234042553,2171.98882978723,1853.81595744681,1859.56489361702,1950.24361702128,2112.88563829787,1657.25,1755.43191489362,1725.61914893617,1837.23723404255,1992.07659574468,1873.49255319149,1732.43829787234,1884.00319148936,1963.87978723404,1917.46595744681,2046.3085106383,1907.94042553191,1929.86489361702,1808.32978723404,1941.16382978723,1948.26382978723,1837.02765957447,1729.9170212766,1857.83829787234,1844.25744680851,1713.77446808511,1891.98936170213,1930.34893617021,1655.55212765957,1762.54574468085,1957.57553191489,1912.53563829787,1855.45531914894,1965.22234042553,1834.29680851064,1951.62340425532,1962.71170212766,1960.88510638298,1832.98085106383,2003.6670212766,1930.57021276596,1981.19893617021,1907.92978723404,1892.57872340426,1961.74893617021,2016.17659574468,1811.75638297872,1919.52978723404,1765.1,1909.44361702128,1874.24787234043
"300",1232.18214285714,1067.87946428572,1125.33035714286,1150.15267857143,1156.68928571429,1182.04375,1204.31785714286,1158.14642857143,1098.87142857143,1316.74107142858,1170.5125,1249.02678571428,1333.51071428571,1202.72857142857,1300.77767857143,1343.1375,1226.37946428571,1085.55089285714,1311.15178571429,1282.72321428572,1226.22321428572,1242.8125,1283.49821428571,1245.82142857142,994.828571428572,1123.37946428572,1336.58214285715,1199.68928571429,1082.22410714285,1308.625,1101.93571428571,1086.46071428571,1311.42678571429,1139.69464285715,1300.18928571429,1234.26428571429,1358.9,1224.76071428572,1182.84553571429,1411.08214285714,1250.94107142857,1406.04910714286,1257.59821428572,1284.44107142857,1132.98392857143,1076.78482142858,1163.975,1181.87857142858,1234.53125,1211.80446428572,1134.45,1158.40089285714,1185.13303571429,1367.36607142858,1185.50178571429,1343.04821428571,1153.57767857143,1117.03392857142
"311",1666.85,1499.53333333333,1556.4,1591.58333333333,1587.13333333333,1626.75,1638.98333333333,1848.76666666667,1530.65,1678,1626.65,1789.48333333333,1574.61666666667,1527.93333333333,1544.03333333333,1655.65,1670.78333333333,1550.33333333333,1552.26666666667,1702.41666666667,1660.9,1673.03333333333,1727.9,1678.26666666667,1606.71666666667,1555.03333333333,1771.25,1634.98333333333,1513.88333333333,1549.73333333333,1534.68333333333,1521.1,1552.53333333333,1572.11666666667,1734.7,1475.38333333333,1600,1659.41666666667,1615.43333333333,1673.88333333333,1685.61666666667,1654.11666666667,1692.26666666667,1719.11666666667,1637.73333333333,1509.81666666667,1680.5,1616.53333333333,1669.2,1644.25,1569.63333333333,1638.53333333333,1693.03333333333,1630.18333333333,1615.93333333333,1584.91666666667,1588.18333333333,1551.1
"319",1527.97701149425,1360.67011494253,1417.54137931034,1452.69540229885,1448.27126436782,1487.87816091954,1500.10689655172,1710.64827586207,1391.78965517241,1540.62873563218,1487.77701149425,1650.62068965518,1426.70919540229,1390.57586206897,1406.68045977012,1518.29252873563,1531.89425287356,1411.47011494253,1414.89367816092,1561.22413793103,1522.02413793103,1534.14597701149,1589.03333333333,1539.1367816092,1467.84137931034,1414.74022988506,1627.51494252874,1496.09540229885,1374.99425287356,1412.37356321839,1395.80804597701,1382.23448275862,1415.1724137931,1433.24597701149,1595.02298850575,1337.99885057471,1462.64367816092,1520.55747126437,1476.57011494253,1536.50977011495,1546.73908045977,1516.74827586207,1553.38965517241,1580.23908045977,1498.86091954023,1370.95862068966,1541.64022988506,1477.67586206897,1530.33448275862,1505.37816091954,1430.77126436782,1499.67011494253,1554.14540229885,1492.81436781609,1477.07701149425,1447.55057471264,1449.30804597701,1412.21954022989
"321",509.7,380.75,462.85,546.5,473.4,555.4,522.65,806.925,422.65,448.25,573.25,742.875,428.9,222.55,320.75,432.35,599.4,485.15,355.55,472.75,548,399.6,643.4,469.6,541.5,252.85,523.85,539.5,448.65,366.2,494.9,455.9,369,477.25,498.95,291.8,416.45,541.35,466.95,450.55,523.9,446.85,506.7,520.5,616,444.65,674.2,522.6,570.8,463.5,515.85,595.65,666.75,400.45,479.1,377.7,516.45,514
"329",383.78,202.44,259.286666666667,319.56,290.046666666667,353.426666666667,365.206666666667,570.613333333333,236.433333333333,444.313333333333,355.72,520.473333333333,595.9,315.953333333333,437.82,464.506666666667,397.44,281.326666666667,494.646666666667,418.053333333333,387.12,355.773333333333,454.553333333333,385.653333333333,335.793333333333,216.386666666667,473.853333333333,361.206666666667,241.86,514.586666666667,262.66,252.066666666667,513.226666666667,290.086666666667,436.933333333333,451.78,560.666666666667,385.653333333333,322.713333333333,518.686666666667,401.9,558.38,402.246666666667,427.34,368.72,237.646666666667,411.48,342.793333333333,395.42,355.366666666667,297.64,366.533333333333,424.003333333333,466.48,318.853333333333,507.76,314.84,279.066666666667
"331",3114.24,2946.94,3003.78,3038.94,3034.52,3074.14,3086.36,3296.14,2978.04,3125.36,3074.04,3236.89,2936.58,2975.34,2991.44,3103.04,3118.14,2997.72,2999.64,3149.8,3108.28,3120.42,3175.28,3125.64,3054.08,3002.44,3218.64,3082.34,2961.24,2997.14,2982.06,2968.48,3006.82,3019.48,3182.08,2922.74,3050.94,3106.8,3062.83,3121.26,3132.98,3101.48,3139.64,3166.48,3085.12,2957.22,3127.88,3063.94,3116.58,3091.64,3017.02,3085.94,3140.39,3077.56,3063.34,3032.28,3035.56,2998.48
