"County","AlamedaCounty","AlpineCounty","AmadorCounty","ButteCounty","CalaverasCounty","ColusaCounty","ContraCostaCounty","DelNorteCounty","ElDoradoCounty","FresnoCounty","GlennCounty","HumboldtCounty","ImperialCounty","InyoCounty","KernCounty","KingsCounty","LakeCounty","LassenCounty","LosAngelesCounty","MaderaCounty","MarinCounty","MariposaCounty","MendocinoCounty","MercedCounty","ModocCounty","MonoCounty","MontereyCounty","NapaCounty","NevadaCounty","OrangeCounty","PlacerCounty","PlumasCounty","RiversideCounty","SacramentoCounty","SanBenitoCounty","SanBernardinoCounty","SanDiegoCounty","SanFranciscoCounty","SanJoaquinCounty","SanLuisObispoCounty","SanMateoCounty","SantaBarbaraCounty","SantaClaraCounty","SantaCruzCounty","ShastaCounty","SierraCounty","SiskiyouCounty","SolanoCounty","SonomaCounty","StanislausCounty","SutterCounty","TehamaCounty","TrinityCounty","TulareCounty","TuolumneCounty","VenturaCounty","YoloCounty","YubaCounty"
"SantaClaraCounty",38.5,192.4,127.3,195.9,127.3,150.4,53.5,398.8,158,165.4,186.2,329.8,541.6,430.3,266.2,178.4,160.7,323.4,341.2,131.3,70.3,166.8,192.6,110.9,382,322.4,87.8,91.2,190.3,377.2,165,263,439.2,122.3,60.6,401.6,456.7,52.7,74.8,181.9,32.4,249.9,18.6,32.2,260.6,261.1,334.2,80.8,106.1,88,148.7,219.1,306.8,211.1,134.6,325.1,114.6,171.4
"SantaCruzCounty",66.3,219.3,154.1,222.7,154.1,177.2,80.3,425.1,184.8,166.1,213,356.1,542.3,431,267,179.1,187.5,350.2,341.9,132,94.7,167.5,219,111.6,408.9,349.2,59.7,118,217.1,377.9,191.8,289.9,439.9,149.2,50.5,402.3,457.5,77.1,101.7,158.7,56.8,226.6,32.2,12.7,287.5,288,361.1,107.6,132.5,114.8,175.5,245.9,333.6,211.8,161.4,301.8,141.4,198.2
"ShastaCounty",235.2,291.2,225.8,102.8,246.2,111.7,207.4,223.1,227.9,355.9,85.6,169.7,754.9,490.5,479.6,391.7,158.2,130.3,554.5,321.8,229.3,336.4,215.4,284.9,121.5,354.3,339.6,196.4,176.9,590.5,178.5,144.1,652.5,179.1,312.5,614.9,670.1,227.8,219.6,433.8,254,501.8,260.6,287.5,31.9,205.6,98.1,184.9,237.6,250.9,132.2,50.7,73.2,398,275,556.2,157.3,135.2
"SierraCounty",235.7,111.9,172,125.5,192.3,128.3,207.9,401.7,126.3,318.1,156.9,348.2,643.8,336.9,436.6,345.9,172.3,135.3,527,284,229.8,298.6,229.5,247.1,210.6,200.7,340.1,203.9,82.8,562.9,103.6,54.3,541.4,141,303.6,487.6,642.5,228.3,184.4,414.8,254.5,491,261.1,288,205.6,16,279.2,185.4,238.1,213.1,99.9,173.4,251.8,360.2,221.1,528.6,157.1,81.4
"SiskiyouCounty",308.8,364.8,299.4,176.4,319.8,185.3,281,169.3,301.5,429.5,159.2,219.7,828.5,533.3,553.2,465.3,231.8,157.6,628.1,395.4,302.9,410,289,358.5,148.8,397.1,413.2,270,250.5,664.1,252.1,217.7,726.1,252.7,386.1,688.5,743.7,301.4,293.3,507.4,327.6,575.3,334.2,361.1,98.1,279.2,41,258.5,311.2,324.5,205.8,124.3,142.3,471.6,348.6,629.8,230.9,208.8
"SolanoCounty",55.4,164.2,89.1,120.2,94.2,74.7,27.5,342.8,101,190.2,110.5,273.8,589.3,417.3,313.9,226.1,93,247.6,388.9,156.2,49.4,170.7,136.6,119.3,306.3,281.1,159.8,23.5,114.6,424.9,89.3,187.3,486.9,51.3,132.6,449.3,504.4,47.9,54,253.9,74.1,321.9,80.8,107.6,184.9,185.4,258.5,15.5,57.7,85.3,72.9,143.4,231.1,232.4,123,390.5,38.9,95.7
"SonomaCounty",74.6,216.9,150.7,172.8,150.9,127.3,66.2,298.1,153.6,247,163.1,229.1,633,469.9,357.7,269.8,88.7,300.3,432.6,212.9,47.7,227.5,91.9,176,359,333.8,186.7,47.8,167.2,468.6,141.9,240,530.6,104,159.6,493,548.2,59.7,110.7,280.9,79.9,348.8,106.1,132.5,237.6,238.1,311.2,57.7,21.6,142,125.6,196,283.7,289.1,179.7,434.3,91.5,148.3
"StanislausCounty",74.4,146.2,81.1,158.1,71.5,140.7,80.2,427.1,111.8,107.5,176.5,358,507.5,377.3,226,135.4,184.7,293.4,307.1,73.5,109,88,220.9,36.6,372.3,276.1,137.8,107.8,142.3,343,116.9,225.2,405,76.1,94.1,361.4,422.6,97,33.1,194.9,93.1,271.1,88,114.8,250.9,213.1,324.5,85.3,142,20,118.7,209.4,297.1,149.6,61.7,308.7,101.4,133.6
"SutterCounty",123.3,156.5,93.6,49.2,113.9,40.5,95.4,328.3,93.3,223.6,76.3,274.8,622.7,396.7,347.3,259.4,84.6,177.8,422.3,189.6,117.3,204.1,141.7,152.7,253.6,260.5,227.6,91.4,63.3,458.2,57.8,116.3,520.2,46.8,198.9,482.6,537.8,115.8,87.4,310.1,142,386.3,148.7,175.5,132.2,99.9,205.8,72.9,125.6,118.7,12.7,87.5,178.4,265.7,142.8,423.9,37.1,21.7
"TehamaCounty",193.6,249.6,184.3,58.2,204.6,70.2,165.8,246.8,186.4,314.3,44,193.3,713.4,465.6,438,350.1,116.7,142.5,513,280.3,187.7,294.8,173.8,243.4,172.1,329.4,298,154.9,132.2,548.9,133.8,111.9,610.9,137.5,270.9,573.3,628.5,186.2,178.1,392.2,212.4,460.2,219.1,245.9,50.7,173.4,124.3,143.4,196,209.4,87.5,28,96.9,356.4,233.4,514.6,115.7,90.6
"TrinityCounty",281.5,337.4,272.1,149.1,292.5,158,253.6,160,274.2,402.2,131.8,106.6,801.2,545.8,525.8,438,204.5,197.3,600.8,368.1,275.5,382.7,243.3,331.2,194.6,409.7,385.9,242.7,223.1,636.8,224.8,190.4,698.8,225.4,358.7,661.2,716.3,274.1,265.9,480,300.2,548,306.9,333.7,73.2,251.9,142.3,231.2,283.8,297.2,178.5,97,29.1,444.3,321.3,602.5,203.5,181.5
"TulareCounty",221.4,293.3,228.2,305.2,218.6,287.8,227.3,574.2,258.9,61.9,323.5,505.1,375.9,241.7,90.5,44.7,331.8,440.4,175.5,86.3,256.1,143.5,368,127.8,519.4,337.7,174.6,254.9,289.4,211.5,264,372.3,273.5,223.2,184,225.8,291,244.1,180.2,122.1,240.2,198.3,211.1,211.8,398,360.2,471.6,232.4,289.1,149.6,265.7,356.4,444.2,35.8,201.1,177.2,248.5,280.7
"TuolumneCounty",121,89.1,66.2,178.8,39.7,164.8,126.8,471.1,102,159,200.6,395.8,561.2,270.8,277.5,186.9,208.8,301.5,360.8,125,155.6,77.7,258.6,88.1,396.4,134.7,191.5,145.5,150.3,396.8,118.5,254.1,458.8,96.2,147.8,412.9,476.3,143.6,77.5,248.6,139.7,324.8,134.6,161.4,275,221.1,348.6,123,179.7,61.7,142.8,233.4,321.2,201.1,24.5,362.4,125.5,154.3
"VenturaCounty",362.4,456,390.9,463.4,390.8,445.9,368.3,727,421.5,225,481.7,657.9,260.2,241.3,120.8,192.5,490,598.6,58.9,249.4,397.1,306.6,520.8,290.9,677.6,337.4,254.3,406,457.7,96.3,432.4,530.5,157.8,385.9,265.7,142.4,175.9,374.6,338.4,152.2,354.3,77.6,325.1,301.8,556.2,528.6,629.8,390.5,434.3,308.7,423.9,514.6,602.3,177.2,362.4,24.2,406.7,438.9
