County,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
FillmoreCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
FreebornCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
GoodhueCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
GrantCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
HennepinCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
HoustonCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
HubbardCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
IsantiCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
ItascaCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
JacksonCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
KanabecCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
KandiyohiCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
KittsonCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
KoochichingCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
LacquiParleCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
LakeCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
LakeoftheWoodsCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
LeSueurCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
LincolnCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
LyonCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
McLeodCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
MahnomenCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
MarshallCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
MartinCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
MeekerCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
MilleLacsCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
MorrisonCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
MowerCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
MurrayCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
NicolletCounty,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032,1.6286032
