"County","AdamsCounty","BarnesCounty","BensonCounty","BillingsCounty","BottineauCounty","BowmanCounty","BurkeCounty","BurleighCounty","CassCounty","CavalierCounty","DickeyCounty","DivideCounty","DunnCounty","EddyCounty","EmmonsCounty","FosterCounty","GoldenValleyCounty","GrandForksCounty","GrantCounty","GriggsCounty","HettingerCounty","KidderCounty","LaMoureCounty","LoganCounty","McHenryCounty","McIntoshCounty","McKenzieCounty","McLeanCounty","MercerCounty","MortonCounty","MountrailCounty","NelsonCounty","OliverCounty","PembinaCounty","PierceCounty","RamseyCounty","RansomCounty","RenvilleCounty","RichlandCounty","RoletteCounty","SargentCounty","SheridanCounty","SiouxCounty","SlopeCounty","StarkCounty","SteeleCounty","StutsmanCounty","TownerCounty","TraillCounty","WalshCounty","WardCounty","WellsCounty","WilliamsCounty"
"HettingerCounty",32.9,255.3,278.5,87.3,271.3,71.2,226.9,134.6,304.8,368.3,286.4,236,97.2,275.6,191.4,258.8,105.6,365.3,45.3,288.1,17.3,181.4,263.4,216.3,235.4,235.8,141.7,155.2,111.1,104.2,172.3,331,112.6,409.7,266.4,315.6,305.4,247.9,360.2,306.7,335.2,206.5,112.4,61.2,58.3,318.8,222.2,329.2,345.6,377.4,211.4,237,199.4
"KidderCounty",200.8,93.8,112.8,194.2,163.4,238.4,237.4,55.5,143.3,202.6,124.9,281.2,180.1,110,78.3,93.1,212.5,203.8,131.9,126.6,181.4,19.5,101.9,54.8,135.6,80.3,248.6,100.8,112.5,89.5,194.1,158.4,104.6,248.2,100.7,149.9,143.9,193.6,198.7,150.3,173.7,70.4,119.4,219.5,154.5,157.3,60.7,163.6,184.1,215.9,157,71.3,250.7
"LaMoureCounty",282.8,69.1,141.5,276.2,238.5,320.4,306.5,137.5,118.6,208.1,43,350.3,262.1,115.1,94.2,98.2,294.5,182.8,213.9,105.6,263.4,101.9,17.5,78.5,210.7,76.7,330.6,202.9,215,171.5,296.2,148.6,186.6,227.2,175.8,155,56.8,262.6,98.8,220.1,73.3,168.6,201.4,301.5,236.5,132.6,54.5,179.8,159.4,194.9,226.1,124.4,319.8
"LoganCounty",235.6,98.2,166.4,229,214.4,273.2,292.3,90.4,147.6,233.5,88.8,336.1,214.9,140,56.8,123.2,247.3,208.2,166.7,130.9,216.3,54.8,78.5,16.4,186.6,53.1,283.4,155.8,167.9,124.3,249,173.9,139.4,252.6,151.7,180,109.5,248.5,161.6,201.4,136,121.4,154.2,254.3,189.3,161.6,65,204.7,188.4,220.3,211.9,122.3,305.6
"McHenryCounty",254.8,201.4,86.5,226.2,60.5,292.3,130,132.8,250.8,146.4,233.7,173.8,172.9,125.7,171.4,134.6,266.5,175.1,205.2,172,235.4,135.6,210.7,186.6,22.5,212.2,168.6,82.8,126.7,145.8,99,142.4,122.3,192.2,47.3,108.7,251.5,86.2,305.6,82.2,281.3,77,191.3,273.4,208.4,189.5,166.3,107.4,211.3,170.9,49.7,89.9,143.3
"McIntoshCounty",217.1,130.4,189.4,248.5,240,256.1,311.8,109.9,179.8,265.7,71.2,355.6,234.5,172.2,46.3,155.4,266.9,240.4,186.2,163.1,235.8,80.3,76.7,53.1,212.2,16.2,303,175.3,187.4,143.9,268.6,206.1,159,284.8,177.3,212.2,117.7,268,157.3,226.9,117.3,147,150.9,273.8,208.9,193.8,97.2,236.9,220.6,252.4,231.5,147.8,325.1
"McKenzieCounty",167.1,322.5,230.7,75.6,204.5,137.1,149.2,201.8,371.9,304.1,353.6,95.6,74.8,240.9,258.6,249.8,111.2,332.8,186.6,282.8,141.7,248.6,330.6,283.4,168.6,303,27.5,146,116.2,171.4,83.1,300.1,140.7,349.9,205,266.4,372.6,152,427.3,239.9,402.4,192.3,239.4,118.2,99.3,313,289.3,265.1,339.9,328.7,136.6,205.1,59
"McLeanCounty",174.6,194.8,145,168,118.8,212.2,139.2,67.3,244.3,218.4,225.9,183,92.7,140.3,130.9,123.4,186.3,247.1,125.1,156.5,155.2,100.8,202.9,155.8,82.8,175.3,146,24.8,46.5,78.4,96,188.6,52.1,264.2,119.3,180.7,244.9,95.4,299.7,154.2,274.7,68.7,125.8,193.3,128.3,186.7,161.7,179.4,213.5,242.9,58.9,101.6,152.6
"MercerCounty",130.5,206.9,173.9,123.8,162.6,168.1,183.1,79,256.4,262.3,238,210.5,48.6,171.1,143,154.2,142.2,290.9,81,187.3,111.1,112.5,215,167.9,126.7,187.4,116.2,46.5,17.2,55.8,139.8,219.4,26.9,308,163.1,224.5,257,139.2,311.8,198,286.8,99.5,123.8,149.1,84.2,217.5,173.8,223.2,244.3,286.8,102.7,132.4,173.9
"MortonCounty",123.6,163.4,186.6,116.9,194.5,161.2,214.9,42.7,212.8,276.3,194.5,258.8,102.9,183.7,99.5,166.9,135.3,273.4,74.1,196.2,104.2,89.5,171.5,124.3,145.8,143.9,171.4,78.4,55.8,22.7,171.7,239.1,32.7,317.8,174.5,223.7,213.5,171.1,268.2,224.1,243.3,114.6,80.3,142.3,77.3,226.8,130.2,237.3,253.7,285.5,134.6,145,229.1
