"County","AlachuaCounty","BakerCounty","BayCounty","BradfordCounty","BrevardCounty","BrowardCounty","CalhounCounty","CharlotteCounty","CitrusCounty","ClayCounty","CollierCounty","ColumbiaCounty","DeSotoCounty","DixieCounty","DuvalCounty","EscambiaCounty","FlaglerCounty","FranklinCounty","GadsdenCounty","GilchristCounty","GladesCounty","GulfCounty","HamiltonCounty","HardeeCounty","HendryCounty","HernandoCounty","HighlandsCounty","HillsboroughCounty","HolmesCounty","IndianRiverCounty","JacksonCounty","JeffersonCounty","LafayetteCounty","LakeCounty","LeeCounty","LeonCounty","LevyCounty","LibertyCounty","MadisonCounty","ManateeCounty","MarionCounty","MartinCounty","MiamiDadeCounty","MonroeCounty","NassauCounty","OkaloosaCounty","OkeechobeeCounty","OrangeCounty","OsceolaCounty","PalmBeachCounty","PascoCounty","PinellasCounty","PolkCounty","PutnamCounty","StJohnsCounty","StLucieCounty","SantaRosaCounty","SarasotaCounty","SeminoleCounty","SumterCounty","SuwanneeCounty","TaylorCounty","UnionCounty","VolusiaCounty","WakullaCounty","WaltonCounty","WashingtonCounty"
"JacksonCounty",210.5,195.1,55,206.8,377.3,518.6,27.4,430.8,248.4,227.3,496.3,171.4,402.1,171.2,230.6,129.9,292.3,89.9,44.3,192.3,439.4,71,160.5,377.1,461.6,265.7,390.9,340.3,40.1,420.7,15.9,92.3,156.3,289.2,464.2,70.3,207.4,56.1,117.9,376.7,250.6,450,553.5,661.3,239.5,89.4,415.1,319.2,336.7,482.2,286.2,322.5,353.2,254.9,273.7,429.2,112.9,401.4,324.8,274.7,153.6,128.9,190.4,329.5,87.4,61.5,31.5
"JeffersonCounty",124.1,108.7,127.1,120.4,290.8,432.2,89.5,344.4,162,140.9,409.9,85,315.7,84.7,144.2,219.4,205.8,94.8,54.3,105.9,353,126.9,74.1,290.7,375.1,179.3,304.5,253.9,129.7,334.3,92.3,13,69.9,202.8,377.8,28.7,120.9,78.2,31.5,290.3,164.2,363.5,467.1,574.9,153,179,328.7,232.8,250.3,395.8,199.7,236,266.8,168.4,187.3,342.8,202.4,315,238.4,188.3,67.2,42.4,104,243.1,51.2,151,121.1
"LafayetteCounty",65.8,77,191.1,78.7,232.6,373.9,153.5,286.1,116.6,97.9,351.6,46.7,257.4,39.3,112.5,283.5,174.2,127.8,118.3,45.1,294.7,191,42.4,232.4,316.9,133.9,246.2,178.9,193.7,276,156.3,69.9,12,144.5,319.5,92.7,75.5,142.3,42.5,232,105.9,305.3,408.8,516.6,121.4,243,270.5,174.5,192,337.5,154.3,190.6,208.5,110.2,155.6,284.5,266.5,256.7,180.1,130,32.8,33.7,66.3,171.4,85.6,215.1,185.1
"LakeCounty",88.8,135.3,324,97.3,99.2,240.6,286.4,177.6,57.4,104.5,216.9,121.4,131.5,116,149.4,416.4,73.8,255.4,251.2,105.5,160,323.9,150.1,106.5,182.1,62.7,111.5,87.1,326.6,142.7,289.2,202.8,144.5,17.5,184.8,225.6,91.7,275.1,175.4,123.5,38.8,171.9,275.5,373.9,154.2,375.9,137.1,35.2,58.7,204.2,76.3,107.2,73.8,66.9,111.9,151.2,399.4,148.2,39.5,31.4,139.8,159.4,115.2,52.2,213.2,348,318
"LeeCounty",263.8,315.5,499,277.5,191.5,136,461.4,41.5,209.9,292.6,39,296.4,54.5,279.6,325.6,591.4,241.5,418.9,426.2,280.5,59.5,498.9,325.1,72.3,56.5,182.5,85.7,130.6,501.6,152.4,464.2,377.8,319.5,178.6,17.9,400.6,250.7,450.2,350.5,93.8,224.2,133.2,147.3,233.4,334.5,550.9,105.8,165.7,163.7,124.9,157,131.2,106.6,274.8,266,130.8,574.4,66.9,181.4,191.3,314.8,323,289.8,206.3,376.7,523,493
"LeonCounty",146.9,131.5,105.1,143.2,313.6,455,67.5,367.2,178.2,163.7,432.7,107.8,338.5,100.9,167,197.5,228.7,73.2,32.3,128.4,375.8,105,96.9,313.5,398,195.5,327.3,240.6,107.7,357.1,70.3,28.7,92.7,225.6,400.6,13.6,137.1,56.3,54.3,313.1,187,386.3,489.9,597.7,175.8,157,351.5,255.6,273.1,418.6,215.9,252.2,289.6,191.3,210.1,365.6,180.5,337.8,261.2,211.1,90,58.6,126.8,265.9,29.6,129.1,99.1
"LevyCounty",42.2,106.3,242.1,62.1,179.7,321.1,204.6,217.3,51.7,83.2,282.8,74.8,195.1,39.5,110.2,334.5,115.9,178.9,169.4,35.1,241.9,226.3,103.5,170.1,264,69,193.4,114.1,244.8,223.2,207.4,120.9,75.5,91.7,250.7,137.1,19.3,176.7,108.6,163.2,53.1,252.4,356,463.8,119,294.1,217.6,121.7,139.2,284.7,89.4,125.7,145.3,75.9,109.6,231.7,317.5,187.9,127.3,77.2,73.3,82.9,68.8,120.7,136.7,266.1,236.2
"LibertyCounty",196.4,181.1,74.7,192.8,363.2,504.6,37.1,416.8,217.8,213.3,482.3,157.4,388,140.5,216.5,183.2,278.2,49.3,32.4,178.3,425.4,74.6,146.4,363,447.5,235.1,376.9,280.2,93.5,406.6,56.1,78.2,142.3,275.1,450.2,56.3,176.7,14.9,103.9,362.7,236.6,435.9,539.5,647.3,225.4,142.8,401.1,305.2,322.7,468.1,255.5,291.8,339.2,240.8,259.7,415.2,166.2,387.3,310.8,260.7,139.6,98.2,176.4,315.5,50.4,114.8,84.8
"MadisonCounty",96.7,81.4,152.7,93.1,263.5,404.9,115.1,317,159.7,113.6,382.5,57.6,288.3,83.8,116.8,245.1,178.5,120.4,79.9,78.6,325.6,152.6,34,263.3,347.8,167,277.1,226.6,155.4,306.9,117.9,31.5,42.5,175.4,350.5,54.3,108.6,103.9,13.8,263,136.9,336.2,439.8,547.6,125.7,204.6,301.4,205.4,222.9,368.4,211.1,242,239.5,141.1,160,315.5,228.1,287.6,211,161,39.9,41.5,76.7,215.7,76.9,176.7,146.7
"ManateeCounty",179.8,231.6,415,193.5,169.6,222.9,377.4,60.4,125.9,208.6,125.9,212.4,50.7,195.6,241.6,507.4,198.6,334.9,342.2,196.5,113.5,414.9,241.1,51.6,133.4,98.5,75.8,46.7,417.7,159.2,380.3,293.8,235.6,127,93.8,316.6,166.7,366.2,266.5,15.4,140.2,158.4,234.2,320.3,250.5,467,114.1,122.8,120.8,201.8,73,38.1,85.4,190.8,223.2,150,490.4,31,138.5,107.3,230.8,239,205.8,163.4,292.7,439,409
