,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
0-2-0-2-0-2,0,0.000718089880916761,0,0.000125570899123515,0,0.000254685875947328
0-2-0-2-1-0,0,0.00113697564478487,0,0.000204501178572582,0.000341625123364628,0
0-2-0-2-1-1,0,0.000279257175912074,0,5.0228359649406e-05,8.85694764278665e-05,4.81838143684134e-05
0-2-0-2-1-2,0,3.98938822731534e-05,0,7.17547994991515e-06,1.26527823468381e-05,1.3766804105261e-05
0-2-0-2-2-0,0,0.00011968164681946,0,2.15264398497454e-05,7.59166940810284e-05,0
0-2-0-2-2-2,0,3.98938822731534e-05,0,7.17547994991515e-06,3.79583470405142e-05,3.44170102631525e-05
0-2-1-0-0-0,0,0.00476731893164183,0.00113314447592068,0,0,0
0-2-1-0-0-1,0,3.98938822731534e-05,1.11092595678498e-05,0,0,6.88340205263049e-06
0-2-1-0-1-0,0,0.000279257175912074,7.77648169749486e-05,0,8.85694764278665e-05,0
0-2-1-0-1-1,0,0.00023936329363892,6.66555574070988e-05,0,7.59166940810284e-05,4.1300412315783e-05
0-2-1-0-2-0,0,0.000378991881594957,9.99833361106482e-05,0,0.000227750082243085,0
0-2-1-1-0-0,0,0.00558514351824148,0.00146642226295617,0.0004735816766944,0,0
0-2-1-1-0-1,0,0.000378991881594957,9.99833361106482e-05,3.22896597746182e-05,0,6.19506184736744e-05
0-2-1-1-0-2,0,3.98938822731534e-05,1.11092595678498e-05,3.58773997495757e-06,0,1.3766804105261e-05
0-2-1-1-1-0,0,0.00135639199728722,0.000344387046603344,0.000111219939223685,0.00039223625275198,0
0-2-1-1-1-1,0,9.97347056828835e-05,2.22185191356996e-05,7.17547994991515e-06,2.53055646936761e-05,1.3766804105261e-05
0-2-1-1-2-0,0,7.97877645463068e-05,1.11092595678498e-05,3.58773997495757e-06,2.53055646936761e-05,0
0-2-1-2-0-0,0,0.0124069973869507,0.00332166861078709,0.00218493364474916,0,0
0-2-1-2-0-1,0,0.000458779646141264,0.000122201855246348,0.000100456719298812,0,7.57174225789354e-05
0-2-1-2-0-2,0,0.00023936329363892,6.66555574070988e-05,5.0228359649406e-05,0,9.63676287368269e-05
0-2-1-2-1-0,0,0.000438832705004688,9.99833361106482e-05,7.53425394741091e-05,0.000113875041121543,0
0-2-1-2-1-1,0,7.97877645463068e-05,2.22185191356996e-05,1.43509598998303e-05,2.53055646936761e-05,1.3766804105261e-05
