"County","BarbourCounty","BerkeleyCounty","BooneCounty","BraxtonCounty","BrookeCounty","CabellCounty","CalhounCounty","ClayCounty","DoddridgeCounty","FayetteCounty","GilmerCounty","GrantCounty","GreenbrierCounty","HampshireCounty","HancockCounty","HardyCounty","HarrisonCounty","JacksonCounty","JeffersonCounty","KanawhaCounty","LewisCounty","LincolnCounty","LoganCounty","McDowellCounty","MarionCounty","MarshallCounty","MasonCounty","MercerCounty","MineralCounty","MingoCounty","MonongaliaCounty","MonroeCounty","MorganCounty","NicholasCounty","OhioCounty","PendletonCounty","PleasantsCounty","PocahontasCounty","PrestonCounty","PutnamCounty","RaleighCounty","RandolphCounty","RitchieCounty","RoaneCounty","SummersCounty","TaylorCounty","TuckerCounty","TylerCounty","UpshurCounty","WayneCounty","WebsterCounty","WetzelCounty","WirtCounty","WoodCounty","WyomingCounty"
"LewisCounty",38,198.8,126.9,33.7,128.2,139.4,59,74.4,50,91.4,29.6,106,116.9,135.7,142.6,116.6,30.2,94.9,214.2,99,10.2,130.6,156.4,166.4,45.4,107,118.7,152.5,118.7,167.6,58,144.6,178.3,65.5,133.4,101,81.4,103.4,69.9,119.4,112.1,47.4,58,75.7,139.3,40.6,66,82.1,20.2,164.3,66.9,87.6,74.4,81.2,143.6
"LincolnCounty",168,328.8,35.2,99.1,230.5,39.5,103.4,79.5,156.6,90.4,118.6,236,140.3,265.7,240.8,246.6,160.2,73.8,344.2,36.6,130.6,10.8,56.7,116.5,175.4,184.8,84.4,132.9,248.6,68,188,164.4,308.3,120.7,214.1,231,132.5,179.7,199.9,54.6,92.6,177.4,143.1,76.5,122.7,170.6,196,158.1,150.2,54.5,154.6,169.2,103.8,109.1,80.6
"LoganCounty",193.8,338.4,42.2,124.8,256.3,72.3,129.1,105.3,182.4,85.1,144.4,261.8,118.6,291.5,266.5,272.4,186,99.6,338.9,62.3,156.4,56.7,11,62,201.2,210.5,110.1,89,274.4,35.4,213.7,127.2,334.1,115.8,239.9,231.3,158.3,175.3,225.7,80.3,67.8,203.1,168.8,102.3,101.1,196.4,221.7,183.8,176,75.4,149.7,194.9,129.5,134.8,41
"McDowellCounty",203.8,323.9,80.3,134.9,294,132,174.2,128.1,201,75.5,166.6,246.9,104.1,285,308.4,257.5,196,152.5,324.5,111.7,166.4,116.5,62,11.9,211.2,263.5,169.9,41,284.4,61.6,223.8,86.1,332.7,106.3,292.8,213.1,211.2,160.7,235.7,140.1,55.4,194,206.2,155.2,76.8,206.4,231.8,236.8,186,130.9,140.2,247.9,182.5,187.8,27.8
"MarionCounty",37.7,163.2,171.8,78.5,90.8,184.2,104.3,119.2,47.5,136.2,72.6,97.2,161.7,128.6,105.3,123.5,27.7,135.2,178.7,143.9,45.4,175.4,201.2,211.2,9.1,61.9,149.5,197.3,107.8,212.4,20.6,189.4,142.8,110.3,69.8,121.9,78.8,124.4,43.3,164.2,156.9,68.3,73.4,118.6,184.1,24.3,74.3,79.5,50.9,209.1,97.5,42.4,119.5,97,188.4
"MarshallCounty",99.3,215.3,181.1,140.1,34.5,174.3,108.7,154.6,80.1,197.8,115.5,157.5,223.3,180.6,49.8,183.8,89.3,117,230.8,153.2,107,184.8,210.5,263.5,61.9,9.1,131.3,249.5,159.9,221.8,65.7,251.1,194.9,171.9,16.9,183.6,59.7,186,95.4,153.6,209.2,129.9,77.9,129.7,239.3,85.9,144.4,50.7,112.5,199.2,159.1,41.3,101.3,78.8,240.7
"MasonCounty",152.9,302.8,83.1,117.7,177.1,46.9,73.8,98.1,103.2,109,89.1,217.6,158.9,239.7,187.4,243.9,124.9,27.9,318.3,55.2,118.7,84.4,110.1,169.9,149.5,131.3,10.8,151.6,222.7,121.4,162,183,282.4,139.3,160.6,217.1,79.1,198.3,174,31.5,111.2,163.6,89.6,58.5,141.3,144.7,182.1,104.6,136.4,71.7,173.2,115.7,68.7,55.6,142.7
"MercerCounty",189.9,283,106.1,120.9,280.1,141.7,160.3,114.2,187.1,61.6,152.7,206,72,244.1,294.5,216.6,182.1,138.6,283.5,97.8,152.5,132.9,89,41,197.3,249.5,151.6,10.6,236.9,93.9,209.9,45.2,291.8,92.3,278.9,172.2,197.3,123.7,221.8,121.8,41.5,170.6,192.3,141.3,35.9,192.5,217.9,222.8,172.1,166.6,126.3,233.9,168.6,173.9,48.1
"MineralCounty",95.8,89.9,245,151.7,145,257.4,177.5,192.4,120.7,209.4,145.8,35.1,185.1,34.5,159.4,46,100.9,208.4,95,217.1,118.7,248.6,274.4,284.4,107.8,159.9,222.7,236.9,9.3,285.6,94.3,192.4,72.1,183.5,150.2,69.2,152.1,126.6,51.7,237.4,230.2,94.2,146.6,191.8,217.4,79.4,54.5,152.7,108.9,282.3,150.9,149.1,192.7,170.2,261.6
"MingoCounty",205,353.2,53.4,136.1,267.5,93.5,140.4,116.5,193.6,109,155.6,273,133.5,302.7,277.8,283.6,197.2,110.8,353.8,73.6,167.6,68,35.4,61.6,212.4,221.8,121.4,93.9,285.6,10.6,225,137.9,345.3,139.8,251.1,246.1,169.6,190.1,236.9,91.6,84.8,214.4,180.1,113.5,115.9,207.6,233,195.1,187.2,71.4,173.7,206.2,140.8,146.1,57.2
"MonongaliaCounty",44.9,149.8,184.3,91.1,70.3,196.8,116.8,131.7,60,148.8,85.1,91.9,174.3,115.1,84.7,118.2,40.2,147.7,165.2,156.4,58,188,213.7,223.8,20.6,65.7,162,209.9,94.3,225,9.8,202,129.3,122.9,75.5,126.1,91.4,131.6,29.9,176.8,169.5,75.6,86,131.1,196.6,28.5,78.9,92.1,63.4,221.6,110.1,54.9,132,109.5,201
"MonroeCounty",151.9,234.7,137.5,113.1,272.2,173.1,152.4,117.3,179.2,83,144.8,161.4,33.9,199.5,286.6,172,174.3,170,235.3,129.2,144.6,164.4,127.2,86.1,189.4,251.1,183,45.2,192.4,137.9,202,11.2,243.6,84.5,277.4,127.6,201,79.2,184.9,153.2,72.9,121.9,184.4,172.7,51.3,184.6,157.7,210.2,164.3,198,110.3,231.6,180.7,205.3,86.3
"MorganCounty",162.7,31.1,304.6,211.4,179.9,317.1,237.1,252.1,180.4,269.1,205.4,102,236.3,42,194.3,89.4,160.6,268,46.6,276.7,178.3,308.3,334.1,332.7,142.8,194.9,282.4,291.8,72.1,345.3,129.3,243.6,7.8,243.2,185.1,117.1,211.7,176.1,117.4,297.1,280.4,161.1,206.3,251.5,268.4,146.2,121.4,212.4,183.8,342,230.4,184.1,252.3,229.9,309.8
"NicholasCounty",102.9,263.6,94.3,34,193.1,129.4,73.3,54.3,100.1,31.2,65.7,170.9,56.8,200.6,207.5,181.5,95.1,105.5,277,74,65.5,120.7,115.8,106.3,110.3,171.9,139.3,92.3,183.5,139.8,122.9,84.5,243.2,13.2,198.3,140.4,121.9,76.9,134.8,109.5,52,90.4,105.3,87.8,79.1,105.5,130.9,131.1,85.1,154.3,36.6,152.4,101.6,124.9,83.5
"OhioCounty",120.3,205.6,210.4,166.5,23,203.7,121.1,207.1,92.5,224.2,160.5,167.3,249.7,170.9,38.3,191,115.7,146.3,221.1,182.5,133.4,214.1,239.9,292.8,69.8,16.9,160.6,278.9,150.2,251.1,75.5,277.4,185.1,198.3,5.4,201.5,72.2,207.1,105.3,183,238.5,151,90.3,159.1,268.6,103.9,154.3,63.2,138.9,228.5,185.5,53.7,130.6,108.2,270
"PendletonCounty",84.4,123.8,227.3,134.1,196.3,239.8,157.5,174.7,135.6,167.5,128.1,38.3,120.3,74.8,210.7,47.3,115.8,193.3,134.9,199.4,101,231,231.3,213.1,121.9,183.6,217.1,172.2,69.2,246.1,126.1,127.6,117.1,140.4,201.5,13.6,167,68.9,96.3,219.8,164.5,68,161.6,174.2,152.4,101.8,67.5,167.7,90.4,264.6,107.5,164.1,172.9,185.2,193.9
"PleasantsCounty",82.2,232.2,128.9,98.6,89.8,122.1,49.8,95.7,32.5,154.8,67.9,146.9,173.3,169.1,104,173.2,54.3,64.8,247.6,101,81.4,132.5,158.3,211.2,78.8,59.7,79.1,197.3,152.1,169.6,91.4,201,211.7,121.9,72.2,167,6,169.4,103.3,101.4,157,113.4,19,77.5,187.1,74,132,31,86.8,147,133.5,42.1,49.1,26.6,188.4
"PocahontasCounty",86.8,182.8,170,108.2,201.9,188.5,147.5,124.9,138.1,101.8,130.6,95.7,68.2,133.8,216.3,106.3,118.3,179.7,189,144.5,103.4,179.7,175.3,160.7,124.4,186,198.3,123.7,126.6,190.1,131.6,79.2,176.1,76.9,207.1,68.9,169.4,15.8,119.8,168.5,108.5,56.9,164,162.1,96.4,104.3,92.6,170.1,92.9,213.3,65,166.5,175.8,187.6,137.9
"PrestonCounty",47.1,137.8,196.3,103,100.1,208.7,128.8,143.7,72,160.7,97.1,62.2,186.3,78.4,114.5,88.5,52.2,159.7,153.3,168.4,69.9,199.9,225.7,235.7,43.3,95.4,174,221.8,51.7,236.9,29.9,184.9,117.4,134.8,105.3,96.3,103.3,119.8,13.1,188.8,181.5,63.8,97.9,143.1,208.6,30.7,49.2,104,71,233.6,117.7,84.6,144,121.5,212.9
"PutnamCounty",156.8,317.6,53.3,87.9,199.4,25.6,92.2,68.3,125.5,79.2,107.4,224.8,129.1,254.5,209.7,235.4,149,42.7,333,25.4,119.4,54.6,80.3,140.1,164.2,153.6,31.5,121.8,237.4,91.6,176.8,153.2,297.1,109.5,183,219.8,101.4,168.5,188.8,9.6,81.4,166.2,112,65.3,111.5,159.4,184.8,126.9,139,50.4,143.4,138.1,91,78,112.9
"RaleighCounty",149.5,271.6,65.7,80.6,239.7,101.4,119.9,73.8,146.7,21.2,112.3,198.5,51.9,247.2,254.1,209.1,141.8,98.2,272.1,57.4,112.1,92.6,67.8,55.4,156.9,209.2,111.2,41.5,230.2,84.8,169.5,72.9,280.4,52,238.5,164.5,157,108.5,181.5,81.4,12.7,139.7,151.9,100.9,34.3,152.1,177.5,182.5,131.8,126.2,85.9,193.6,128.2,133.5,32.6
"RandolphCounty",30.8,160.1,173.7,80.5,145.8,186.2,103.9,121.1,82,119,74.5,73,110.2,111.1,160.2,83.6,62.3,139.7,166.4,145.8,47.4,177.4,203.1,194,68.3,129.9,163.6,170.6,94.2,214.4,75.6,121.9,161.1,90.4,151,68,113.4,56.9,63.8,166.2,139.7,16.6,108,120.6,138.4,48.2,36.6,114.1,36.8,211,57.6,110.5,119.3,131.6,171.2
"RitchieCounty",76.8,226.8,139.4,80,107.9,132.7,33.2,79.2,27.1,131.2,49.3,141.5,156.7,163.7,122.1,167.8,48.8,75.3,242.2,111.5,58,143.1,168.8,206.2,73.4,77.9,89.6,192.3,146.6,180.1,86,184.4,206.3,105.3,90.3,161.6,19,164,97.9,112,151.9,108,11,62.9,179,68.6,126.6,49.2,81.4,157.5,128.1,60.3,59.6,37.2,183.4
"RoaneCounty",111.2,271.9,72.8,66.2,175.5,85.3,30.9,46.3,87.6,98.8,46.1,179.2,139.2,208.9,185.8,189.8,103.4,34.7,287.4,44.9,75.7,76.5,102.3,155.2,118.6,129.7,58.5,141.3,191.8,113.5,131.1,172.7,251.5,87.8,159.1,174.2,77.5,162.1,143.1,65.3,100.9,120.6,62.9,11.3,131.1,113.8,139.1,103,93.4,110.2,121.7,114.1,30.7,54,132.4
"SummersCounty",176.6,259.5,95.8,107.7,266.8,131.5,147,100.9,173.8,48.3,139.4,186.4,39.8,224.5,281.2,197,168.9,128.3,260.1,87.5,139.3,122.7,101.1,76.8,184.1,239.3,141.3,35.9,217.4,115.9,196.6,51.3,268.4,79.1,268.6,152.4,187.1,96.4,208.6,111.5,34.3,138.4,179,131.1,9.9,179.2,174.2,212.6,158.9,156.3,99.8,223.7,158.3,163.6,63.7
"TaylorCounty",17.5,166.7,166.9,73.7,98.7,179.4,99.4,114.4,42.7,131.4,67.7,74.2,156.9,96.4,113.1,100.5,22.9,130.4,157,139,40.6,170.6,196.4,206.4,24.3,85.9,144.7,192.5,79.4,207.6,28.5,184.6,146.2,105.5,103.9,101.8,74,104.3,30.7,159.4,152.1,48.2,68.6,113.8,179.2,6.8,51.4,74.7,39.6,204.3,86.2,66.4,114.6,92.2,183.6
"TuckerCounty",49.3,127.9,192.3,99.1,149.1,204.8,122.5,139.7,100.6,156.8,93.1,41.8,146,72.5,163.5,68.1,80.8,158.3,133.1,164.4,66,196,221.7,231.8,74.3,144.4,182.1,217.9,54.5,233,78.9,157.7,121.4,130.9,154.3,67.5,132,92.6,49.2,184.8,177.5,36.6,126.6,139.1,174.2,51.4,10.6,132.7,55.4,229.6,93.3,116.5,137.9,150.1,209
"TylerCounty",82.9,232.9,154.4,99.3,80.8,147.6,80,125.9,33.2,157,68.6,147.6,182.5,169.8,96.1,173.9,55,90.3,248.3,126.5,82.1,158.1,183.8,236.8,79.5,50.7,104.6,222.8,152.7,195.1,92.1,210.2,212.4,131.1,63.2,167.7,31,170.1,104,126.9,182.5,114.1,49.2,103,212.6,74.7,132.7,8.3,87.5,172.5,134.2,36,74.6,52.1,214
"UpshurCounty",27.5,204.2,146.6,53.3,133.6,159,76.8,94,55.5,111,47.4,95.5,136.5,126.9,148.1,106.1,35.7,112.6,187.5,118.7,20.2,150.2,176,186,50.9,112.5,136.4,172.1,108.9,187.2,63.4,164.3,183.8,85.1,138.9,90.4,86.8,92.9,71,139,131.8,36.8,81.4,93.4,158.9,39.6,55.4,87.5,9.7,183.9,48.5,93,92.1,105,163.2
"WayneCounty",201.6,362.4,80.6,132.7,244.9,25.3,137,113.2,171.1,124.1,152.3,269.6,173.9,299.3,255.2,280.2,193.9,92.8,377.9,70.2,164.3,54.5,75.4,130.9,209.1,199.2,71.7,166.6,282.3,71.4,221.6,198,342,154.3,228.5,264.6,147,213.3,233.6,50.4,126.2,211,157.5,110.2,156.3,204.3,229.6,172.5,183.9,11.6,188.2,183.6,137.4,123.5,114.6
"WebsterCounty",74.1,216.8,128.2,67.9,180.3,163.4,107.2,88.3,102.1,65.2,99.6,129.8,82.6,167.8,194.7,140.4,82.3,139.4,223.1,107.9,66.9,154.6,149.7,140.2,97.5,159.1,173.2,126.3,150.9,173.7,110.1,110.3,230.4,36.6,185.5,107.5,133.5,65,117.7,143.4,85.9,57.6,128.1,121.7,99.8,86.2,93.3,134.2,48.5,188.2,12.1,139.7,135.5,151.7,117.4
"WetzelCounty",79.8,204.6,165.5,120.6,71.3,158.8,91.1,137,65.4,178.4,100.8,139.3,203.9,169.9,86.6,165.6,64,101.4,220,137.6,87.6,169.2,194.9,247.9,42.4,41.3,115.7,233.9,149.1,206.2,54.9,231.6,184.1,152.4,53.7,164.1,42.1,166.5,84.6,138.1,193.6,110.5,60.3,114.1,223.7,66.4,116.5,36,93,183.6,139.7,9.8,85.7,63.3,225.1
"WirtCounty",122.8,272.8,100.1,80,147,112.6,30.9,73.5,73.2,127.5,45.8,187.5,153,209.7,157.3,188.5,94.9,54.4,288.3,72.2,74.4,103.8,129.5,182.5,119.5,101.3,68.7,168.6,192.7,140.8,132,180.7,252.3,101.6,130.6,172.9,49.1,175.8,144,91,128.2,119.3,59.6,30.7,158.3,114.6,137.9,74.6,92.1,137.4,135.5,85.7,7.9,25.6,159.7
"WoodCounty",100.4,250.3,105.4,103.3,124.6,98.7,56.5,96.8,50.7,131.3,72.6,165.1,181.2,187.3,134.9,191.4,72.4,41.3,265.8,77.5,81.2,109.1,134.8,187.8,97,78.8,55.6,173.9,170.2,146.1,109.5,205.3,229.9,124.9,108.2,185.2,26.6,187.6,121.5,78,133.5,131.6,37.2,54,163.6,92.2,150.1,52.1,105,123.5,151.7,63.3,25.6,10,165
"WyomingCounty",181,301,52.6,112.1,271.2,111.5,151.4,105.3,178.2,52.7,143.8,227.9,81.3,266,285.6,238.5,173.2,129.7,301.6,88.9,143.6,80.6,41,27.8,188.4,240.7,142.7,48.1,261.6,57.2,201,86.3,309.8,83.5,270,193.9,188.4,137.9,212.9,112.9,32.6,171.2,183.4,132.4,63.7,183.6,209,214,163.2,114.6,117.4,225.1,159.7,165,11.5
