,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
1-0-2-0-1-1,0.000121006776379477,0,0.000361761779867957,0,0.000213972397560715,0.000139733109760358
1-0-2-0-2-0,0.000181510164569216,0,0.000633083114768925,0,0.000641917192682144,0
1-0-2-1-0-0,0.00102855759922556,0,0.0033462964637786,0.000521456397043035,0,0
1-0-2-1-0-1,6.05033881897386e-05,0,0.000180880889933978,3.06739057084139e-05,0,6.98665548801789e-05
1-0-2-1-0-2,0.000181510164569216,0,0.000542642669801935,9.20217171252416e-05,0,0.000419199329281073
1-0-2-1-1-0,0.000544530493707648,0,0.00180880889933978,0.000276065151375725,0.000962875789023216,0
1-0-2-2-0-0,0.00217812197483059,0,0.0066925929275572,0.00223919511671421,0,0
1-0-2-2-0-1,6.05033881897386e-05,0,0.000180880889933978,6.13478114168277e-05,0,6.98665548801789e-05
1-0-2-2-2-0,6.05033881897386e-05,0,0.000180880889933978,6.13478114168277e-05,0.000213972397560715,0
1-1-0-0-0-0,0.00127057115198451,0.00334821428571429,0,0,0,0
1-1-0-0-0-1,6.05033881897386e-05,0.000159438775510204,0,0,0,6.98665548801789e-05
1-1-0-0-0-2,0.000121006776379477,0.000318877551020408,0,0,0,0.000279466219520715
1-1-0-0-1-0,0.000363020329138432,0.000956632653061224,0,0,0.000641917192682144,0
1-1-0-0-1-1,6.05033881897386e-05,0.000159438775510204,0,0,0.000106986198780357,6.98665548801789e-05
1-1-0-0-2-0,0.000242013552758955,0.000637755102040816,0,0,0.000855889590242859,0
1-1-0-0-2-1,6.05033881897386e-05,0.000159438775510204,0,0,0.000213972397560715,6.98665548801789e-05
1-1-0-1-0-0,0.010890609874153,0.0286989795918367,0,0.00552130302751449,0,0
1-1-0-1-0-1,0.000665537270087125,0.00175382653061224,0,0.000337412962792552,0,0.000768532103681967
1-1-0-1-0-2,6.05033881897386e-05,0.000159438775510204,0,3.06739057084139e-05,0,0.000139733109760358
1-1-0-1-1-0,0.00145208131655373,0.0038265306122449,0,0.000736173737001932,0.00256766877072858,0
1-1-0-1-1-1,0.000181510164569216,0.000478316326530612,0,9.20217171252416e-05,0.000320958596341072,0.000209599664640537
1-1-0-1-2-0,0.000181510164569216,0.000478316326530612,0,9.20217171252416e-05,0.000641917192682144,0
1-1-0-1-2-1,6.05033881897386e-05,0.000159438775510204,0,3.06739057084139e-05,0.000213972397560715,6.98665548801789e-05
1-1-0-2-0-0,0.0435624394966118,0.114795918367347,0,0.0444158154657833,0,0
1-1-0-2-0-1,0.000847047434656341,0.00223214285714286,0,0.000889543265544002,0,0.000978131768322504
1-1-0-2-1-0,0.000121006776379477,0.000318877551020408,0,0.000122695622833655,0.000213972397560715,0
1-1-0-2-1-1,0.000181510164569216,0.000478316326530612,0,0.000245391245667311,0.000320958596341072,0.000209599664640537
1-1-0-2-2-0,6.05033881897386e-05,0.000159438775510204,0,6.13478114168277e-05,0.000213972397560715,0
1-1-1-0-0-0,0.00350919651500484,0.00924744897959184,0.00524554580808538,0,0,0
1-1-1-0-1-0,6.05033881897386e-05,0.000159438775510204,9.04404449669892e-05,0,0.000106986198780357,0
1-1-1-1-0-0,0.00217812197483059,0.00573979591836735,0.00325585601881161,0.0011042606055029,0,0
1-1-1-1-0-1,6.05033881897386e-05,0.000159438775510204,9.04404449669892e-05,3.06739057084139e-05,0,6.98665548801789e-05
1-1-1-1-1-0,0.000786544046466602,0.00207270408163265,0.00117572578457086,0.00039876077420938,0.00139082058414465,0
1-1-1-2-0-0,0.0045377541142304,0.0119579081632653,0.00678303337252419,0.00463175976197049,0,0
1-1-1-2-0-1,0.000181510164569216,0.000478316326530612,0.000271321334900968,0.000214717339958897,0,0.000209599664640537
1-1-1-2-1-0,0.000121006776379477,0.000318877551020408,0.000180880889933978,0.000122695622833655,0.000213972397560715,0
1-1-2-0-0-0,0.000242013552758955,0.000637755102040816,0.000723523559735914,0,0,0
1-1-2-0-0-1,0.000121006776379477,0.000318877551020408,0.000452202224834946,0,0,0.000139733109760358
1-1-2-0-1-0,6.05033881897386e-05,0.000159438775510204,0.000180880889933978,0,0.000106986198780357,0
1-1-2-1-0-0,0.000121006776379477,0.000318877551020408,0.000361761779867957,6.13478114168277e-05,0,0
