"County","AdamsCounty","AlexanderCounty","BondCounty","BooneCounty","BrownCounty","BureauCounty","CalhounCounty","CarrollCounty","CassCounty","ChampaignCounty","ChristianCounty","ClarkCounty","ClayCounty","ClintonCounty","ColesCounty","CookCounty","CrawfordCounty","CumberlandCounty","DeKalbCounty","DeWittCounty","DouglasCounty","DuPageCounty","EdgarCounty","EdwardsCounty","EffinghamCounty","FayetteCounty","FordCounty","FranklinCounty","FultonCounty","GallatinCounty","GreeneCounty","GrundyCounty","HamiltonCounty","HancockCounty","HardinCounty","HendersonCounty","HenryCounty","IroquoisCounty","JacksonCounty","JasperCounty","JeffersonCounty","JerseyCounty","JoDaviessCounty","JohnsonCounty","KaneCounty","KankakeeCounty","KendallCounty","KnoxCounty","LakeCounty","LaSalleCounty","LawrenceCounty","LeeCounty","LivingstonCounty","LoganCounty","McDonoughCounty","McHenryCounty","McLeanCounty","MaconCounty","MacoupinCounty","MadisonCounty","MarionCounty","MarshallCounty","MasonCounty","MassacCounty","MenardCounty","MercerCounty","MonroeCounty","MontgomeryCounty","MorganCounty","MoultrieCounty","OgleCounty","PeoriaCounty","PerryCounty","PiattCounty","PikeCounty","PopeCounty","PulaskiCounty","PutnamCounty","RandolphCounty","RichlandCounty","RockIslandCounty","StClairCounty","SalineCounty","SangamonCounty","SchuylerCounty","ScottCounty","ShelbyCounty","StarkCounty","StephensonCounty","TazewellCounty","UnionCounty","VermilionCounty","WabashCounty","WarrenCounty","WashingtonCounty","WayneCounty","WhiteCounty","WhitesideCounty","WillCounty","WilliamsonCounty","WinnebagoCounty","WoodfordCounty"
"ChristianCounty",130.7,203.8,59.1,218.1,99.5,163.3,97.7,212.2,73.3,83,13.8,106.1,92,86.2,64,202.9,108.6,75.7,196,57.6,72.5,198.4,101.9,129.3,63.7,53.4,104.1,126.5,102.4,174,81.3,152.2,132.7,150.5,190.6,187.4,169.7,136.6,144.2,87.4,103.1,80.4,261.3,162.9,204.6,155.3,174.4,143.3,238.6,151.7,125.4,177,119.9,57.5,121.3,242.5,83.8,32.1,48.9,79,78.2,132,85.7,186.6,56.2,183.4,113.4,36.5,63.6,58.4,204.2,106.7,123.2,62.7,104.8,186.3,184.4,147.9,129.4,105.1,190.8,98.7,155.5,33.2,95.6,81.3,32.4,143.8,241.4,88.3,171.2,113.8,146.5,172.5,99.7,117.2,160.1,192.2,179.7,143,217.4,113.1
"ClarkCounty",251.8,216.9,101.8,276.4,220.6,221.6,175.5,294.9,194.4,85.6,106.1,11.6,77.9,120.6,47.8,201.6,45,30.9,254.4,126.7,63.4,210.1,31.8,86.6,53.2,77.9,127,139.6,221.7,142.1,174.2,177.8,145.9,271.5,168.1,265.2,247.4,121,172,40.8,116.2,159.3,341.5,176.1,230.1,140.9,199.9,221,240.2,210.1,62.1,235.3,154.6,131.2,242.4,250.6,142.2,97.1,138.3,140.9,93.8,190.4,181.8,199.7,165.3,261.1,168.9,113.4,184.7,72.5,262.5,184.4,157.8,94.1,225.9,199.5,197.5,206.2,184.5,62.5,268.5,154.2,168.6,154.3,216.6,202.4,79.9,221.6,299.7,169,184.4,67,87.9,250.3,137.7,103,114.3,268.5,180.9,156.1,275.7,171.5
"ClayCounty",234.6,158,84.7,294.8,203.4,240,158.4,313.2,177.2,111,92,77.9,11.2,62.1,64.7,244.1,72.8,54.2,272.7,122.2,82.1,252.6,102.6,53.1,36,60.7,145.4,80.7,208.7,81.1,157.1,196.1,63,254.4,107.2,283.6,265.8,164.6,113.1,51.7,57.3,136.1,359.8,117.2,248.5,183.3,218.3,239.4,282.6,228.4,50.7,253.7,172.9,130.9,225.2,293.1,160.6,96.8,121.2,109.7,34.9,208.8,175.6,140.8,146.7,279.5,123.7,96.2,167.5,72.3,280.9,202.8,98.9,109.1,208.7,140.6,138.6,224.6,125.5,30,286.9,100.6,86.4,137.1,199.5,185.2,65.8,239.9,318.1,187.4,125.5,141.8,68.2,268.6,78.8,29.9,67.3,286.9,223.3,97.2,294.1,189.8
"ClintonCounty",194.3,150.8,27.1,310.8,172.1,247.5,100.7,293.6,145.9,153.8,86.2,120.6,62.1,11.5,107.4,286.9,120.1,96.9,288.7,134.7,124.9,294.5,145.4,109.9,69.2,48.6,188.1,73.5,177.3,121.1,99.8,248.4,79.8,223.1,137.6,236.7,251.1,207.4,69.2,98.9,50.2,80.4,342.7,110,300.8,226.1,270.6,224.7,325.4,244.4,100.1,269.7,216.1,138.9,193.9,335.9,160.9,105.4,73.6,52.1,28.5,224.7,165,133.6,135.5,264.8,65.5,52.9,136.2,111.4,296.9,188.1,48.2,139.7,142.4,133.4,131.4,240.6,69.1,79.5,272.2,42.5,102.5,105.8,168.1,120.5,87.5,225.2,334,169.7,95.4,184.6,126.8,223.9,24.6,79.3,107.2,273.6,266.1,90.1,310,197.3
"ColesCounty",198.6,203.7,88.6,240.6,167.3,185.8,162.3,259.1,138.2,56.9,64,47.8,64.7,107.4,11.6,190,62.6,27.3,218.6,90.9,28,198.4,41.9,87.3,40,64.7,91.2,126.4,185.9,141.1,143.7,141.9,132.7,221.3,167.1,229.4,211.7,110.4,158.8,41.5,103,146.1,305.7,162.9,194.4,129.2,164.1,185.2,228.5,174.3,83.4,199.5,118.8,88.1,192.2,238.9,106.4,54,125.1,127.7,80.6,154.6,146,186.5,122.2,225.3,155.7,100.2,131.5,29.4,226.8,148.6,144.6,55,172.7,186.3,184.3,170.4,171.3,63.2,232.8,141,155.4,101.1,160.4,149.2,35.1,185.8,263.9,133.2,171.2,87.7,104.5,214.5,124.5,89.8,115,232.7,169.2,142.9,239.9,135.7
"CookCounty",294.3,383.2,261.2,74.7,247.7,108.7,292.9,134.9,225.8,141,202.9,201.6,244.1,286.9,190,20.8,248.7,206.8,57.8,153.9,166,20.9,176.9,273.4,219.4,244.1,111.9,305.9,204.6,320.5,255.8,60,312.1,268.2,346.6,225.1,152.2,91.1,338.2,227.5,282.5,275.5,160.1,342.4,42.9,61.5,45.8,191.8,48.2,79.3,241.1,89.6,87.4,158.8,236.3,58.7,127.6,171,244,274.1,260.1,122.7,185.2,366,197.1,193.8,308.6,238.6,227.2,195.4,95.3,151.5,324.1,159.5,268.3,365.8,363.8,104.7,324.5,249.2,165.2,293.8,334.9,196.7,228.8,244.8,208.3,152.4,118.4,162.4,350.6,148.7,290.6,210.2,304,269.3,301,121.3,40.3,322.4,87.8,124
"CrawfordCounty",251.2,216.4,101.3,299.4,220,244.6,174.9,317.8,193.8,108.4,108.6,45,72.8,120.1,62.6,248.7,10.9,44.9,277.3,149.7,86.7,257.2,54.2,66.1,52.6,77.3,150,139.1,225.3,109.3,173.7,200.7,100.9,271,135.4,288.2,270.4,143.3,171.4,21.2,115.7,158.7,364.4,144.9,253.1,187.9,222.9,244,287.3,233,25.6,258.3,177.5,145.2,241.8,297.7,165.1,111.1,137.8,140.3,93.3,213.4,204.7,165.7,163.3,284.1,168.4,112.8,184.1,86.6,285.5,207.4,157.3,113.7,225.3,139.6,196.9,229.2,183.9,42.9,291.5,153.6,114.7,153.7,216.1,201.8,82.4,244.6,322.7,191.9,183.8,89.3,51.4,273.2,137.2,82.3,81.6,291.5,227.9,155.6,298.7,194.4
"CumberlandCounty",210.9,193.2,78.1,257.4,179.6,202.6,151.8,275.9,150.5,73.7,75.7,30.9,54.2,96.9,27.3,206.8,44.9,9.6,235.4,107.7,44.8,215.2,55.7,69.6,29.5,54.2,108,115.9,202.7,125,150.5,158.8,122.2,227.6,151.1,246.2,228.4,127.2,148.3,23.8,92.5,135.6,322.5,152.4,211.1,146,180.9,202,245.3,191.1,65.7,216.3,135.6,100.4,198.5,255.7,123.2,66.3,114.6,117.2,70.1,171.4,162.8,176,134.5,242.1,145.2,89.7,143.8,41.7,243.6,165.4,134.1,71.8,185,175.8,173.8,187.2,160.8,45.5,249.6,130.5,144.9,113.4,172.7,161.5,46.8,202.6,280.7,150,160.7,90.8,86.8,231.3,114,79.3,97.3,249.5,186,132.4,256.7,152.5
"DeKalbCounty",247.8,411.8,250.8,52.1,223.1,68.3,282.5,77.9,215.4,169.6,196,254.4,272.7,288.7,218.6,57.8,277.3,235.4,13,147,194.6,43.8,235.4,302,248,240.3,119.6,334.5,174.4,349.1,245.4,56,340.7,215.3,375.2,172.2,109.2,121.6,344.1,256.1,311.1,265.1,117.1,371,23.8,92,30,138.9,68.2,47,294.3,42.6,86,148.4,183.4,50.4,123.4,164.1,233.6,263.7,288.7,91.5,174.8,394.6,186.7,140.9,298.2,228.2,216.8,193.6,38.2,120.3,323.1,178.8,257.9,394.4,392.4,73.5,314.1,277.8,107.4,283.4,363.5,186.3,204.2,234.4,201.4,111.5,75.4,141.2,379.3,200.3,319.2,157.3,299.6,297.9,329.6,64.3,62,351,51.4,103.1
"DeWittCounty",152.4,257.7,111.9,169.1,121.2,114.3,151,187.5,88,41.9,57.6,126.7,122.3,134.7,90.9,153.9,149.7,107.7,147,10.4,66.9,149.4,107.8,174.3,94,101.9,50.2,180.4,94.6,198.7,114,103.2,186.7,143.9,224.8,157.8,140.1,79,192.7,128.5,157.1,133.7,234.1,216.9,155.6,97.8,125.4,113.7,189.6,102.7,166.6,128,70.8,26.3,114.8,193.5,34.8,25.7,102.2,132.3,134.6,83,68.6,240.5,64.7,153.8,166.7,89.3,85.3,55.2,155.2,77.1,171.7,34.9,126.5,240.3,238.3,98.9,182.7,150.2,161.2,152,209.4,54.9,110.2,103,62.9,114.2,192.4,62,225.2,72.7,191.5,142.9,148.1,147.4,202,161.1,130.7,197,168.4,64.1
"DouglasCounty",186.2,221.2,106.1,216.7,155,161.9,179.8,235.1,125.8,32.9,72.4,63.4,82.1,124.9,28,166,86.7,44.8,194.6,66.9,10.5,174.4,40.8,111.4,57.4,82.1,67.2,143.9,161.9,158.5,147.8,118,150.1,197.3,184.6,205.4,187.7,86.5,176.3,65.6,120.5,163.5,281.7,180.4,170.4,105.2,140.2,161.3,204.5,150.3,103.3,175.6,94.8,75.7,168.2,214.9,82.4,41.6,116.4,145.1,98.1,130.6,122,204,109.8,201.4,173.2,117.7,119.1,33.5,202.8,124.6,162.1,34.3,160.3,203.8,201.8,146.4,188.7,87.2,208.8,158.4,172.9,88.7,148,136.8,52.6,161.8,239.9,109.2,188.7,63.7,128.6,190.5,142,107.3,139.1,208.7,145.2,160.4,215.9,111.7
"DuPageCounty",289.7,391.6,256.7,63.9,243.1,104.2,288.3,121,221.2,149.4,198.4,210.1,252.6,294.5,198.4,20.9,257.2,215.2,43.8,149.4,174.4,9.4,185.4,281.9,227.9,252.6,120.3,314.3,200,329,251.3,55.4,320.6,258.4,355,215.3,147.6,99.6,346.7,236,291,271,149.4,350.8,18.8,69.9,31.8,182,41.8,74.8,249.5,75.7,82.8,154.2,226.6,47.9,123,166.5,239.4,269.6,268.5,118.1,180.7,374.4,192.6,184.1,304,234.1,222.6,195.9,81.4,146.9,329,148.3,263.8,374.2,372.2,100.2,320,257.7,150.6,289.3,343.3,192.2,224.3,240.3,203.7,147.8,107.6,157.8,359.1,157.2,299,200.4,305.4,277.7,309.5,107.4,38.6,330.9,77,119.5
"EdgarCounty",220.5,241.7,126.6,257.5,189.2,202.7,200.3,276,160.1,66.4,101.9,31.8,102.6,145.4,41.9,176.9,54.2,55.7,235.4,107.8,40.8,185.4,12.9,111.4,77.9,102.6,108.1,164.4,202.8,155,182.1,158.8,170.6,238.2,181.1,246.3,228.5,96.3,196.7,65.5,141,184,322.5,200.9,192.2,116.2,181,202.1,215.5,191.2,71.3,216.4,135.6,110,209.1,225.9,123.3,75.9,163.1,165.6,118.6,171.5,162.8,224.5,144.1,242.2,193.7,138.1,153.4,59,243.6,165.5,182.6,71.5,194.6,224.3,222.3,187.3,209.2,87.2,249.6,178.9,160.3,123,182.3,171.1,73.1,202.7,280.8,150.1,209.1,42.3,97.1,231.4,162.5,127.8,127.2,249.6,156.1,180.9,256.8,152.6
"EdwardsCounty",281.5,159.2,125.9,324.1,240.7,269.3,196.5,342.5,214.5,140.3,129.3,86.6,53.1,109.9,87.3,273.4,66.1,69.6,302,174.3,111.4,281.9,111.4,7.7,73.3,98,174.6,81.9,245.9,56.5,195.5,225.4,50,291.6,82.6,312.8,295.1,193.9,114.3,45.9,51.7,176.1,389.1,92.1,277.8,212.6,247.6,268.7,311.9,257.7,44.9,283,202.2,168.2,262.5,322.4,189.8,134.1,169.7,146.4,85.9,238,212.9,112.9,184,308.8,148.2,133.5,204.8,109.6,310.2,232.1,100.1,138.4,240.3,86.8,139.8,253.9,126.8,24.3,316.2,129.9,61.9,174.4,236.7,216.3,103.1,269.2,347.4,216.6,126.7,146.6,18.3,297.9,89.6,24.3,28.8,316.1,252.6,98.4,323.4,219.1
"EffinghamCounty",203.4,165.1,53.4,270.1,172.2,215.3,127.1,288.5,146,86.3,63.7,53.2,36,69.2,40,219.4,52.6,29.5,248,93.9,57.4,227.9,77.9,73.3,11.3,29.5,120.7,87.8,177.4,135.3,125.9,171.4,94.1,223.2,151.9,258.9,241.1,139.9,120.2,31.4,64.4,110.9,335.1,124.3,223.8,158.6,193.6,214.7,257.9,203.7,69.3,229,148.2,102.6,194,268.4,135.8,68.5,90,92.5,42,184,147.3,147.9,135.6,254.8,120.5,65,136.3,44,256.2,178.1,106,84.4,177.5,147.7,145.7,199.9,132.6,49.1,262.2,105.8,116.8,105.9,168.3,154,37.5,215.2,293.4,162.6,132.6,117.1,90.5,243.9,85.9,61.1,121.5,262.1,198.6,104.3,269.4,165.1
"FayetteCounty",179.7,164.2,29.8,262.4,148.5,207.6,103.5,270,122.3,111.1,53.4,77.9,60.7,48.6,64.7,244.1,77.3,54.2,240.3,101.9,82.1,252.6,102.6,98,29.5,13.9,145.4,86.9,153.8,134.4,102.2,196.1,93.1,199.5,151,213.2,227.5,164.6,106.6,56.1,63.5,87.2,319.1,123.3,248.5,183.4,218.3,201.1,282.7,196.1,94.1,221.3,172.9,115.3,170.4,293.1,128.2,72.6,66.3,68.8,38.6,176.4,141.4,147,111.9,241.2,96.9,41.3,112.7,68.7,248.5,164.5,85.6,109.2,153.8,146.7,144.8,192.2,109.1,73.8,248.6,82.1,115.9,82.2,144.6,130.3,54.8,201.7,285.7,146.2,131.6,141.8,115.2,200.4,62.1,85.9,120.5,250.1,223.3,103.4,261.7,157.4
"FordCounty",210.6,284.4,169.3,176.9,179.3,126.3,209.2,199.5,142.1,42.2,104.1,127,145.4,188.1,91.2,111.9,150,108,119.6,50.2,67.2,120.3,108.1,174.6,120.7,145.4,11.4,207.1,133.4,221.8,172.2,70.3,213.4,176.9,247.8,176.9,159.2,32.4,239.5,128.8,183.7,191.9,246.1,243.6,122.7,51.1,92.5,132.7,150.4,100.7,166.9,140,47.1,75.1,147.8,160.9,41.9,71.1,160.3,190.5,161.3,95,101.6,267.2,113.5,172.8,224.9,135.7,143.5,96.7,167.2,96.1,225.3,51.4,184.7,267,265,110.9,252,150.5,180.3,210.2,236.1,113.1,140.1,161.2,105.1,133.3,204.4,88.8,251.9,73,191.8,162,205.2,170.5,202.3,173.1,91.1,223.6,189.9,83.2
"FranklinCounty",245.1,79.9,89.5,356.5,231.8,301.7,160.1,353.4,205.7,172.8,126.5,139.6,80.7,73.5,126.4,305.9,139.1,115.9,334.5,180.3,143.9,314.3,164.4,81.9,87.8,86.9,207.1,10.7,237.1,55.9,159.1,257.8,27.6,285.9,68.4,296.5,310.8,226.3,34.9,117.9,27.4,139.7,402.5,39,310.2,245.1,280,284.4,344.4,290.2,119.6,315.4,234.7,198.7,253.7,354.8,222.3,155,133.3,110,49.5,270.5,224.8,62.7,195.3,324.5,84.2,114,196,130.4,342.6,247.8,32.6,170.9,203.9,62.4,60.5,286.3,59.2,98,331.9,93.4,34.7,165.6,227.9,179.9,124,285,379.8,229.5,47.3,203.6,98.8,283.7,53.2,65.4,49.3,333.4,285.1,19.1,355.8,251.6
"FultonCounty",90.2,307.7,139.5,196.5,60.6,99.9,125.1,134,51.2,136.9,102.4,221.7,208.7,177.3,185.9,204.6,225.3,202.7,174.4,94.6,161.9,200,202.8,245.9,177.4,153.8,133.4,237.1,15.3,284.6,93.2,153.9,243.4,60.5,301.2,70.2,80,154.1,232.8,204.1,213.7,113.9,156.6,273.6,197.5,172.9,156.9,38.6,240.3,125.9,242,143.5,121.5,69.3,31.4,220.9,92.7,110.9,111.6,152.4,178.1,82.4,32.1,297.2,49.4,78.7,186.8,116.8,64.6,134.5,154.5,47.4,211.8,121.8,92.7,297,295,100.2,202.8,221.8,86.1,172.1,266.1,74.8,41.8,83.7,133.3,65.6,168.1,49.7,259,167.7,263.1,57.4,188.2,233.8,270.8,115.5,181.4,253.6,195.8,80.9
"GallatinCounty",292.6,106.1,137,371.2,279.4,316.4,207.6,389.6,253.2,187.4,174,142.1,81.1,121.1,141.1,320.5,109.3,125,349.1,198.6,158.5,329,155,56.5,135.3,134.4,221.8,55.9,284.6,9.3,206.6,272.5,36.2,333.4,32.4,344,342.2,241,65.2,101.3,63.1,187.3,436.2,51.4,324.9,259.7,294.7,315.8,359,304.8,88.3,330.1,249.3,246.2,301.2,369.5,236.9,173.2,180.9,157.5,97,285.1,272.3,72.3,242.8,355.9,137.4,161.5,243.5,148.7,357.3,279.2,85.9,185.5,251.4,57.8,86.7,301,112.5,79.7,363.3,141,21.2,213.1,275.5,227.4,142.2,316.3,394.5,277,73.5,190.2,67.5,331.2,100.8,51.6,30.8,363.2,299.7,45.3,370.5,266.2
"GreeneCounty",94.3,207.8,78.9,267.5,59.9,204.2,41.5,225.3,50.6,151.1,81.3,174.2,157.1,99.8,161,255.8,173.7,150.5,245.4,114,147.8,251.3,182.1,195.5,125.9,102.2,172.2,159.1,93.2,206.6,12,205.1,165.4,114.3,223.2,138.8,171.3,204.7,154.8,152.5,135.7,24.2,247.9,195.6,257.5,223.4,227.3,129.9,291.6,201.1,190.4,226.4,172.8,95.6,95.9,291.9,135.5,102.6,41.5,53,121.8,181.5,84.8,219.2,84,152,91.9,66.8,30.3,135.9,253.6,144.8,133.8,130.8,46.1,219,217,197.3,118.9,170.2,177.4,77.2,188.1,62.3,70.2,24.3,112.1,145.7,290.8,126.5,181,181.9,212.4,125.9,110.2,168.3,192.8,206.8,232.6,175.6,266.8,154
