,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
0-0-2-1-0-0,0,0,0.0180673974827446,0.00380372765310004,0,0
0-0-2-1-0-1,0,0,0.00203004466098254,0.000380372765310004,0,0.00105960264900662
0-0-2-1-1-0,0,0,0.00142103126268778,0.000285279573982503,0.00117554858934169,0
0-0-2-2-0-0,0,0,0.010353227771011,0.00484975275770255,0,0
0-0-2-2-0-1,0,0,0.000609013398294762,0.000190186382655002,0,0.000264900662251656
0-0-2-2-1-0,0,0,0.00101502233049127,0.000570559147965006,0.000783699059561128,0
0-0-2-2-1-1,0,0,0.000609013398294762,0.000190186382655002,0.000391849529780564,0.000264900662251656
0-0-2-2-2-0,0,0,0.000406008932196508,0.000190186382655002,0.000783699059561128,0
0-1-0-0-0-0,0,0.240770465489567,0,0,0,0
0-1-0-0-0-1,0,0.00909577314071696,0,0,0,0.00450331125827815
0-1-0-0-0-2,0,0.00107009095773141,0,0,0,0.00105960264900662
0-1-0-0-1-0,0,0.00909577314071696,0,0,0.00666144200626959,0
0-1-0-0-1-1,0,0.00267522739432852,0,0,0.00195924764890282,0.00132450331125828
0-1-0-0-2-0,0,0.00535045478865704,0,0,0.00783699059561128,0
0-1-0-1-0-0,0,0.0706260032102729,0,0.0125523012552301,0,0
0-1-0-1-0-1,0,0.00802568218298555,0,0.00142639786991251,0,0.00397350993377483
0-1-0-1-0-2,0,0.00267522739432852,0,0.000475465956637505,0,0.00264900662251656
0-1-0-1-1-0,0,0.0139111824505083,0,0.00247242297451502,0.0101880877742947,0
0-1-0-1-1-1,0,0.000535045478865704,0,9.5093191327501e-05,0.000391849529780564,0.000264900662251656
0-1-0-1-1-2,0,0.000535045478865704,0,9.5093191327501e-05,0.000391849529780564,0.000529801324503311
0-1-0-1-2-0,0,0.00374531835205993,0,0.000665652339292507,0.00587774294670846,0
0-1-0-2-0-0,0,0.043338683788122,0,0.0160707493343477,0,0
0-1-0-2-0-1,0,0.00321027287319422,0,0.00142639786991251,0,0.00158940397350993
0-1-0-2-0-2,0,0.000535045478865704,0,0.000190186382655002,0,0.000529801324503311
0-1-0-2-1-0,0,0.00321027287319422,0,0.00142639786991251,0.00235109717868339,0
0-1-0-2-1-1,0,0.00107009095773141,0,0.000380372765310004,0.000783699059561128,0.000529801324503311
0-1-0-2-2-1,0,0.000535045478865704,0,0.000190186382655002,0.00117554858934169,0.000264900662251656
0-1-1-0-0-0,0,0.00909577314071696,0.00345107592367032,0,0,0
0-1-1-0-0-1,0,0.00214018191546281,0.000812017864393017,0,0,0.00105960264900662
0-1-1-0-1-0,0,0.00160513643659711,0.000609013398294762,0,0.00117554858934169,0
0-1-1-0-1-2,0,0.000535045478865704,0.000203004466098254,0,0.000391849529780564,0.000529801324503311
0-1-1-0-2-0,0,0.000535045478865704,0.000203004466098254,0,0.000783699059561128,0
0-1-1-1-0-0,0,0.0165864098448368,0.00629313844904588,0.00294788893115253,0,0
0-1-1-1-0-1,0,0.00107009095773141,0.000406008932196508,0.000190186382655002,0,0.000529801324503311
0-1-1-1-1-0,0,0.00481540930979133,0.00182704019488429,0.000855838721947509,0.00352664576802508,0
0-1-1-1-2-0,0,0.00107009095773141,0.000406008932196508,0.000190186382655002,0.00156739811912226,0
0-1-1-2-0-0,0,0.0112359550561798,0.00426309378806334,0.00427919360973754,0,0
0-1-1-2-0-1,0,0.00160513643659711,0.000609013398294762,0.000570559147965006,0,0.000794701986754967
0-1-1-2-1-0,0,0.00160513643659711,0.000609013398294762,0.000855838721947509,0.00117554858934169,0
0-1-1-2-1-2,0,0.000535045478865704,0.000203004466098254,0.000380372765310004,0.000391849529780564,0.000529801324503311
0-1-2-0-0-0,0,0.00481540930979133,0.00385708485586683,0,0,0
0-1-2-1-0-0,0,0.00428036383092563,0.00406008932196508,0.000760745530620008,0,0
0-1-2-1-0-2,0,0.000535045478865704,0.000406008932196508,9.5093191327501e-05,0,0.000794701986754967
0-1-2-1-1-1,0,0.000535045478865704,0.000406008932196508,9.5093191327501e-05,0.000391849529780564,0.000264900662251656
0-1-2-2-0-0,0,0.00321027287319422,0.0026390580592773,0.00114111829593001,0,0
0-1-2-2-0-1,0,0.000535045478865704,0.000406008932196508,0.000380372765310004,0,0.000264900662251656
0-2-0-0-0-0,0,0.0101658640984484,0,0,0,0
0-2-0-0-0-1,0,0.00321027287319422,0,0,0,0.000794701986754967
0-2-0-0-1-0,0,0.00374531835205993,0,0,0.00117554858934169,0
0-2-0-1-0-0,0,0.0476190476190476,0,0.00408900722708254,0,0
0-2-0-1-0-1,0,0.00160513643659711,0,9.5093191327501e-05,0,0.000264900662251656
0-2-0-1-1-0,0,0.00321027287319422,0,0.000285279573982503,0.00117554858934169,0
0-2-0-1-1-1,0,0.00107009095773141,0,9.5093191327501e-05,0.000391849529780564,0.000264900662251656
0-2-0-1-2-1,0,0.00107009095773141,0,9.5093191327501e-05,0.000783699059561128,0.000264900662251656
0-2-0-2-0-0,0,0.019796682718031,0,0.00342335488779003,0,0
0-2-0-2-0-1,0,0.00695559122525415,0,0.00142639786991251,0,0.00158940397350993
0-2-1-1-0-0,0,0.00695559122525415,0.00101502233049127,0.000475465956637505,0,0
0-2-1-1-1-0,0,0.00107009095773141,0.000203004466098254,9.5093191327501e-05,0.000391849529780564,0
0-2-1-2-0-0,0,0.00695559122525415,0.00121802679658952,0.00114111829593001,0,0
0-2-1-2-1-0,0,0.00214018191546281,0.000203004466098254,0.000190186382655002,0.000391849529780564,0
0-2-2-0-0-0,0,0.00214018191546281,0.00142103126268778,0,0,0
0-2-2-0-0-2,0,0.00107009095773141,0.000406008932196508,0,0,0.000529801324503311
0-2-2-1-0-0,0,0.00107009095773141,0.000406008932196508,9.5093191327501e-05,0,0
0-2-2-1-1-1,0,0.00107009095773141,0.000406008932196508,9.5093191327501e-05,0.000391849529780564,0.000264900662251656
0-2-2-2-0-0,0,0.00107009095773141,0.000406008932196508,0.000190186382655002,0,0
1-0-0-0-0-1,0.00222446916076845,0,0,0,0,0.00291390728476821
1-0-0-0-0-2,0.00121334681496461,0,0,0,0,0.00344370860927152
1-0-0-0-1-0,0.00283114256825076,0,0,0,0.0054858934169279,0
1-0-0-0-1-1,0.000808897876643074,0,0,0,0.00156739811912226,0.00105960264900662
1-0-0-0-2-0,0.00242669362992922,0,0,0,0.00940438871473354,0
1-0-0-1-0-0,0.0501516683518706,0,0,0.0235831114492202,0,0
1-0-0-1-0-1,0.00546006066734075,0,0,0.00256751616584253,0,0.0071523178807947
1-0-0-1-0-2,0.00141557128412538,0,0,0.000665652339292507,0,0.00370860927152318
1-0-0-1-1-0,0.00728008088978766,0,0,0.00342335488779003,0.0141065830721003,0
1-0-0-1-1-1,0.000606673407482305,0,0,0.000285279573982503,0.00117554858934169,0.000794701986754967
1-0-0-1-2-0,0.000606673407482305,0,0,0.000285279573982503,0.00235109717868339,0
1-0-0-1-2-1,0.000202224469160768,0,0,9.5093191327501e-05,0.000783699059561128,0.000264900662251656
1-0-0-2-0-0,0.0626895854398382,0,0,0.0605743628756181,0,0
1-0-0-2-0-1,0.00343781597573306,0,0,0.00361354127044504,0,0.00450331125827815
1-0-0-2-0-2,0.00121334681496461,0,0,0.00142639786991251,0,0.00344370860927152
1-0-0-2-1-0,0.00182002022244692,0,0,0.00199695701787752,0.00352664576802508,0
1-0-0-2-2-0,0.000202224469160768,0,0,0.000285279573982503,0.000783699059561128,0
1-0-1-0-0-0,0.0240647118301314,0,0.0241575314656922,0,0,0
1-0-1-0-0-1,0.000606673407482305,0,0.000609013398294762,0,0,0.000794701986754967
1-0-1-0-0-2,0.000202224469160768,0,0.000203004466098254,0,0,0.000529801324503311
1-0-1-0-1-0,0.00202224469160768,0,0.00203004466098254,0,0.00391849529780564,0
1-0-1-0-1-1,0.000808897876643074,0,0.000812017864393017,0,0.00156739811912226,0.00105960264900662
1-0-1-0-2-0,0.000606673407482305,0,0.000609013398294762,0,0.00235109717868339,0
1-0-1-1-0-0,0.0200202224469161,0,0.0200974421437272,0.00941422594142259,0,0
1-0-1-1-0-1,0.00202224469160768,0,0.00203004466098254,0.000950931913275009,0,0.00264900662251656
1-0-1-1-0-2,0.000404448938321537,0,0.000406008932196508,0.000190186382655002,0,0.00105960264900662
1-0-1-1-1-0,0.00343781597573306,0,0.00345107592367032,0.00161658425256752,0.00666144200626959,0
