"FAFZone","KentCounty","NewCastleCounty","SussexCounty"
"339",459.18,413.42,492.62
"341",157.85,110.621428571429,191.192857142857
"342",91.1285714285715,45.9285714285714,110.028571428571
"350",1972.10909090909,1927.95757575757,1972.35606060606
"361",342.2,293.03,375.44
"362",407.583333333333,359.533333333333,440.85
"363",205.942307692308,159.142307692307,239.342307692307
"364",371.6375,322.475,404.88125
"369",348.4375,299.523214285715,381.6875
"371",483.927777777778,491.583333333333,485.333333333333
"372",419.84,422.09,421.55
"373",366.55,377,348.486363636364
"379",423.842857142857,448.737142857142,406.983571428572
"380",1642.69150943396,1597.78679245283,1653.00377358491
"391",581.5,541.1,578.775
"392",450.273076923077,404.480769230769,459.111538461538
"393",500.5,455.941176470588,498.244117647059
"394",565.185714285715,520.292857142858,563.892857142858
"399",507.706666666666,468.905555555555,513.691111111111
"401",1427.125,1382.2375,1425.85
"402",1325.3,1280.42,1324.05
"409",1442.63559322034,1406.34745762712,1444.54237288136
"411",2934.89444444444,2889.98333333333,2945.19444444444
"419",2839.86481481481,2794.97407407407,2850.17777777778
"421",94.4583333333333,46.2333333333333,128.633333333333
"422",330.877777777778,288.411111111111,338.955555555556
"423",162.22,113.28,195.68
"429",236.706382978723,190.887234042553,266.447872340426
"441",347.22,301.26,380.48
"451",610.45,629.466666666667,581.75
"452",589.2,589.35,592.685
"459",568.653030303031,582.045454545455,543.168181818182
"460",1525.40454545454,1480.5,1535.71439393939
"471",961.066666666667,956.5,969.966666666667
"472",782.594117647059,778.047058823529,791.511764705882
"473",598.815384615385,594.269230769231,607.769230769231
"479",757.436290322581,752.541129032258,766.384677419355
"481",1642.82,1638.28,1651.74
"482",1418.9375,1414.4125,1427.8375
"483",1744.05,1739.55,1752.98333333333
"484",1454.47894736842,1449.94210526316,1463.42631578947
"485",2050.55,2046,2059.45
"486",1536.83571428571,1532.28571428571,1545.75714285714
"487",1865.8,1861.2,1874.7
"488",1723.5125,1719,1732.4875
"489",1645.33461538462,1630.67641025641,1651.71538461539
"491",2188.495,2143.57,2198.78
"499",2226.77105263158,2181.87368421053,2227.31052631579
"500",464.142857142858,416.264285714286,497.535714285714
"511",225.217647058824,234.670588235294,227.570588235294
"512",208.846428571429,248.242857142857,181.192857142857
"513",144.044117647058,145.95,152.991176470588
"519",309.29011627907,312.357558139535,314.556395348837
"531",2906.18888888889,2861.28888888889,2916.48888888889
"532",2907.08333333333,2862.2,2917.43333333333
"539",2769.62407407407,2724.70740740741,2779.92222222222
"540",370.977272727273,357.259090909091,379.104545454545
"551",905.41875,860.5125,915.7375
"559",1065.11875,1020.21015625,1075.42421875
"560",1938.8347826087,1893.94347826087,1949.15217391304
